<br><font color=teal>*Mikaelson, Niklaus(Chedz) says: . . . - Tue Nov  3 18:18:40 2015
<br><br><font color=teal>*Yonbu(TenaciousDeeznuts) says: Father... - Tue Nov  3 18:20:22 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: My son . . - Tue Nov  3 18:20:22 2015
<br><br><font color=yellow>*Mikaelson, Niklaus(Chedz) rips out this nigga's heart.

"Fuck you staring at."* - Tue Nov  3 18:21:13 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Took you two long enough.. - Tue Nov  3 18:26:20 2015
<br><br><font color=yellow>*Mikaelson, Niklaus(Chedz) narrowed his eyes and allowed his hands to remain hin his pocket.

"Ah well, I do have other things to do such as paint-- but what is the occasion?" He'd ask.* - Tue Nov  3 18:28:03 2015
<br><br><font color=yellow>*Mikaelson, Niklaus(Chedz) shifted his eyes over to Kilm.

"Oh yes, I remember you . . If I recall, the one who betrayed me." * - Tue Nov  3 18:33:10 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Makes me wonder. - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Where -is- Zetsumo? - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I know he's dead. - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Was he technically soulless or something? - Tue Nov  3 18:34:01 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: We seriously worried about Zetsumo..? - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I ain't. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I think I surpassed him. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I was just curious. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: He was pretty cool... before he got all evil... - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I swear you told me you were going to defeat him Kronos. - Tue Nov  3 18:35:44 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I was but then I got stabbed by one of his peions... Survived his attack though - Tue Nov  3 18:37:26 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Where the hell is Niza? I know I sensed his soul.. - Tue Nov  3 18:37:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I dunno. - Tue Nov  3 18:37:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I only heard of him dying in Kumogakure. - Tue Nov  3 18:37:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Niklaus. - Tue Nov  3 18:37:26 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I heard Kumogakure got massacred. - Tue Nov  3 18:37:26 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Niza died too? So did all of Ride or Die... Die? - Tue Nov  3 18:38:17 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yep. - Tue Nov  3 18:38:17 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Only person left is Fujitora.. - Tue Nov  3 18:38:17 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm, Fuji. - Tue Nov  3 18:39:08 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Wait... he is still alive? That loner? - Tue Nov  3 18:39:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yeah. - Tue Nov  3 18:39:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I asked him to make a seal for me. - Tue Nov  3 18:39:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I was planning to make an S rank Storm technique. - Tue Nov  3 18:39:08 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Never had the time. - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Wasn't prepared enough. - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Well consider me suprised - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Needed the seal to make sure my arm actually doesn't explode while trying to perform the technique during training. - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Seals? - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Fuuinjutsu. - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: He was a swordsman - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: He is a master in fuuinjutsu. - Tue Nov  3 18:40:00 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: He learned and mastered Fuuinjutsu? - Tue Nov  3 18:40:51 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yeah. - Tue Nov  3 18:40:51 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Ha! Someone has been busy... - Tue Nov  3 18:40:51 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Speaking of Finnjutsu... Tethys... - Tue Nov  3 18:41:42 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Yo? - Tue Nov  3 18:41:42 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: How is Noriko? - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: ..Dead. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yeah. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: She passed on without me. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So did you find her soul. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Her and my two kids. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Oh... im sorry - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Told them to go without me. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Ikaro. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Is still alive. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Good, good. - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: ... that tragic... - Tue Nov  3 18:42:33 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: Him and Mizumi are the last Hogo's. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I hope Paine is ok... - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: He's gotten better at his techniques than you. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I swear he's better at hydrification. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: He is also better at ninjutsu than me. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: All the techniques he have, I taught him. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Not as strong physically as you though. - Tue Nov  3 18:43:24 2015
