<br><font color=teal>*Index(Jjking217) whispers: Since you're free. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: I'm unsure.... perhaps to Konoha again. I like Konoha.... but I couldn't see Ketsuki and Takeda again if I wanted.... they won't recognize me. - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I see.. - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: That girl.... and the new guys... Hmmm... - Sun Nov  8 00:12:48 2015
<br><br><font color=teal>*Index(Jjking217) whispers: You should have fun though. - Sun Nov  8 00:12:48 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I have no clue what I'll be doing. - Sun Nov  8 00:13:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...what...do you do when  you aren't around me or the other's with Ortho? - Sun Nov  8 00:15:21 2015
<br><br><font color=teal>*Index(Jjking217) whispers: You don't want to know. - Sun Nov  8 00:15:21 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...but I do. - Sun Nov  8 00:15:21 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Pre-Fetilization activities. - Sun Nov  8 00:15:21 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Joking. - Sun Nov  8 00:15:21 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Then...?? - Sun Nov  8 00:17:55 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Not much really, Training gets boring thogh. - Sun Nov  8 00:18:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: All you do is train? - Sun Nov  8 00:18:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Ortho. - Sun Nov  8 00:19:37 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Or play games when the opportunity presents itself. - Sun Nov  8 00:19:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: That's it? - Sun Nov  8 00:20:28 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) glanced at Ortho as he approached. "I got my old position with the Mizukage, I should be good to travel."* - Sun Nov  8 00:21:20 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I'm a boring person. - Sun Nov  8 00:21:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I think I might go to Konoha. - Sun Nov  8 00:22:11 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I was just about to head there. Came to let the Mizukage know. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Is he awake? - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes, but he seems rather irritated. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very well. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: And he is with a woman. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: --- - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I see. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Very well. I'll be departing now. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ..o-oh... - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: I guess he doesn't want me to come with him then. - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Are you coming or are you planning to stay for a bit? - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Oh... well the way you said that... sounded like. - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...fuckin' hell... right... let's go. - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: Konoha. - Sun Nov  8 00:24:44 2015
<br><br><font color=yellow>*Hajimari, Owari(TenaciousRiven) waved to Index and started to head towards Ortho.* - Sun Nov  8 00:24:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Thaenan is an idiot... - Sun Nov  8 00:28:09 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: How so? - Sun Nov  8 00:29:00 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: He believed that I was a spy shinobi that stayed out for long periods of time in other villages to gather information. - Sun Nov  8 00:29:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: ..And what did you tell him? - Sun Nov  8 00:29:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...I told him I wanted that old job. He let me have it. - Sun Nov  8 00:29:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Ahh, okay. - Sun Nov  8 00:30:43 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Would you have believed  that story? - Sun Nov  8 00:32:25 2015
