<br><font color=teal>*Lera(Bailey42) whispers: heh, you could call it that yes. - Sun Nov  8 10:58:46 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Man, I am on a roll aren't I? - Sun Nov  8 10:59:37 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Can't keep you serious anymore can I now? - Sun Nov  8 10:59:37 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Oh dear, You got me again?? Damn... - Sun Nov  8 10:59:37 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Jeez. I'll just have to try my hardest to stay serious... - Sun Nov  8 11:02:11 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Hows this? - Sun Nov  8 11:02:11 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: looks like I made you laugh this time! - Sun Nov  8 11:03:53 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Looks like you are ticklish. - Sun Nov  8 11:04:44 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Uh....no i'm not! - Sun Nov  8 11:05:36 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: I think you are fibbing.~ - Sun Nov  8 11:05:36 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Nu uh.... - Sun Nov  8 11:05:36 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Nooooo - Sun Nov  8 11:06:27 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Oh I gotchu. - Sun Nov  8 11:07:18 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Heh, would you like me to stop Lera-chan? - Sun Nov  8 11:09:52 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Uh....why would I tell you to stop if it has not effect!! - Sun Nov  8 11:10:43 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) says: Soooooooo you do want me to stop?~ - Sun Nov  8 11:13:16 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) thinks: Very. - Sun Nov  8 11:26:04 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: M-mhm. - Sun Nov  8 11:26:04 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Good~ - Sun Nov  8 11:26:56 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Are um... are you ...comfortable? - Sun Nov  8 11:26:56 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: O-oh no no.. nothing.~ - Sun Nov  8 11:29:29 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Hmmmm. - Sun Nov  8 11:30:20 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I'm not making you nervous am I? - Sun Nov  8 11:30:20 2015
