<br><font color=teal>*Hiroshi(Marchie15) thinks: I got chakra for days~ *nods* - Fri Dec  4 19:39:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Im confused. . .  - Fri Dec  4 19:39:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: We are both Hiro and Hiroshi. . .  - Fri Dec  4 19:39:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Umm Auntie. . . I know a lot of wind techniques. - Fri Dec  4 19:40:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I think I am Hiro. .. . .  - Fri Dec  4 19:40:09 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: So? I'm teaching it to Hiro, you're learning water. - Fri Dec  4 19:40:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ohhhhhhhh. - Fri Dec  4 19:40:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: So I am not Hiro. . .  - Fri Dec  4 19:40:09 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I'm Hiro and you're hiroshi bro - Fri Dec  4 19:41:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How did you know? - Fri Dec  4 19:41:00 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Cause that's what she calls me.. Hirp - Fri Dec  4 19:41:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ohhh. . . Ok. - Fri Dec  4 19:41:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Kaiko, what did you mean by "Bringing of water"? - Fri Dec  4 19:42:43 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: calling out all the uchihas - Fri Dec  4 19:45:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is an Uchiha? - Fri Dec  4 19:46:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Alright. - Fri Dec  4 19:48:41 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That was. . .Wow. .  - Fri Dec  4 19:52:57 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Good~ - Fri Dec  4 20:02:20 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yup yup!~ - Fri Dec  4 20:02:20 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Awesome...We should wrap it up there. Let you two save your chakra. - Fri Dec  4 20:03:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Right! - Fri Dec  4 20:04:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks for everything Auntie! - Fri Dec  4 20:04:03 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Kay - Fri Dec  4 20:04:03 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhm. - Fri Dec  4 20:04:03 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Thank you~ - Fri Dec  4 20:04:03 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You're welcome. - Fri Dec  4 20:04:03 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: This will definitely help in the finals. . . .  - Fri Dec  4 20:04:03 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Welp if that's it for now I'm gonna take nap~ - Fri Dec  4 20:07:28 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: And maybe do work... maybe. - Fri Dec  4 20:07:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I heard you were going to be a maid at the festival Auntie. - Fri Dec  4 20:50:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That true? - Fri Dec  4 20:50:08 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah... - Fri Dec  4 20:50:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm, I am trying to get Nami to do it too. - Fri Dec  4 20:50:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *starts to imagine it and smiles*  Heheheh - Fri Dec  4 20:50:59 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Fri Dec  4 20:56:06 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Well, Keep your pants on. - Fri Dec  4 20:56:06 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: S'all I can say. - Fri Dec  4 20:56:06 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . .Oh. .  - Fri Dec  4 20:56:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Sorry bout that Auntie heheheh. - Fri Dec  4 20:56:57 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: I don't think I can talk...I was barely a year older than him when I lost my virginity... - Fri Dec  4 20:58:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You have a funny accent Auntie. *laughs* - Fri Dec  4 20:58:40 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Ya think so? - Fri Dec  4 20:59:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs*  Yup yup.  I like it. - Fri Dec  4 20:59:31 2015
