<br><font color=teal>*Hideki(Assassin241) thinks: peace* - Sat Oct  3 06:02:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Why is Kuro so much smarter than Hideki.... - Sat Oct  3 06:03:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Sat Oct  3 06:03:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Sneezes* - Sat Oct  3 06:04:22 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fam - Sat Oct  3 06:06:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sat Oct  3 06:06:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Give me time. - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) whispers: [what do I get with my LC?] - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Whatever you want Misa lol) - Sat Oct  3 06:11:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: If only Hideki actually taught me jutsus... - Sat Oct  3 06:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sat Oct  3 06:12:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Sneezes* - Sat Oct  3 06:12:03 2015
<br><br><font color=yellow>*Misa(FatFreeCupcakes) 's body would tremble unable to focus on what was happening. The people she was suppose to care for were in the midst of combat against an opponent who aimed to kill. She couldn't do anything...she wasn't capable of..not while she was emotionally fatigued, without any physical willpower left. With that she collapsed onto her ass, her legs spread to each side, her head hanging slightly. *I'm...sorry.."* - Sat Oct  3 06:14:36 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I thought I was useless.. - Sat Oct  3 06:15:28 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: I'm as useless as Hideki... - Sat Oct  3 06:16:19 2015
