<br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And it'd be a secret. - Tue Sep 29 04:43:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Guess* - Tue Sep 29 04:43:18 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Between us. - Tue Sep 29 04:43:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That can be arranged. - Tue Sep 29 04:43:18 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You get the medic - Tue Sep 29 04:44:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I get the eyes. - Tue Sep 29 04:44:09 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: We both win in the end. - Tue Sep 29 04:44:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sounds good. - Tue Sep 29 04:44:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Zenaki would be ideal. - Tue Sep 29 04:44:09 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) extended her hand out toward him to seal the deal.* - Tue Sep 29 04:45:00 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) Has a flashback of zenaki performing surgery on Zetsumo and how it went horribly wrong -omit-
* - Tue Sep 29 04:45:52 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) squeezed his hand tightly "Do not fuck me on this." she simply warned as she released his hand "I do not intend to die just yet, and I do not think Zenaki would be a good choice considering Fujitora is in cahoots with her."* - Tue Sep 29 04:47:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Given the data collected from the village Fujitora is cousins with a known red eye holder Ushinawa. - Tue Sep 29 04:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I would think that things would get iffy. - Tue Sep 29 04:48:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Who? - Tue Sep 29 04:50:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Zenaki? - Tue Sep 29 04:50:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yeah. - Tue Sep 29 04:51:50 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I see. - Tue Sep 29 04:52:41 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: We shall speak about this later then. - Tue Sep 29 04:52:41 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oi. - Tue Sep 29 04:52:41 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Fujitora. - Tue Sep 29 04:52:41 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Tue Sep 29 04:53:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How good of a medic is Zenaki? - Tue Sep 29 04:53:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Welll.. - Tue Sep 29 04:53:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: She's pretty good.. - Tue Sep 29 04:53:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: She's a surgeon that I know.. - Tue Sep 29 04:53:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So. - Tue Sep 29 04:53:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Who do you prefer? - Tue Sep 29 04:53:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Zenaki or your wife? - Tue Sep 29 04:53:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I prefer my wife. - Tue Sep 29 04:54:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see. - Tue Sep 29 04:54:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Zenaki isn't exactly a lover of mine..I feel terrible actually inside..She's an assistant. - Tue Sep 29 04:55:15 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I see. - Tue Sep 29 04:56:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: The fact that she casually eats human flesh still frightens me... - Tue Sep 29 04:56:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I am looking to return to Suna of course.. - Tue Sep 29 04:56:57 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But I have to take care of much here to be sure it doesn't endanger my family. - Tue Sep 29 04:56:57 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Aight I'm heading to sleep-_ - Tue Sep 29 04:57:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) whispers: Once Again, I'm sorry about before, And you look nice today. - Tue Sep 29 04:57:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No problem. - Tue Sep 29 04:57:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Water under the bridge. - Tue Sep 29 04:58:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Fujitora. - Tue Sep 29 04:58:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? - Tue Sep 29 04:58:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Can I ask you a question? - Tue Sep 29 04:58:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Sure.. - Tue Sep 29 04:58:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What do you know about the red eyes? - Tue Sep 29 04:58:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ... - Tue Sep 29 04:58:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The wall flashed them at me as she threw her kicks. - Tue Sep 29 04:59:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well... - Tue Sep 29 04:59:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It's something within our clan. - Tue Sep 29 04:59:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can't really say or should. - Tue Sep 29 04:59:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Ah. - Tue Sep 29 04:59:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No worries. - Tue Sep 29 04:59:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Sorry I asked. - Tue Sep 29 04:59:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: It's fine. - Tue Sep 29 04:59:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I get my cast removed in a couple of days. - Tue Sep 29 05:00:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So I have that going for me. - Tue Sep 29 05:00:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That's great! - Tue Sep 29 05:01:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Means I can see those sexy legs again. -omit- - Tue Sep 29 05:01:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm.. - Tue Sep 29 05:02:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Now I wonder... - Tue Sep 29 05:02:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: How will Zenaki react when I tell her my wife is alive... - Tue Sep 29 05:02:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I would suggest you keep it a secret - Tue Sep 29 05:13:10 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I wouldn't..She'll be told. - Tue Sep 29 05:20:51 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'm an honest man. - Tue Sep 29 05:21:42 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm - Tue Sep 29 05:25:58 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then pray Tora. - Tue Sep 29 05:25:58 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ya... - Tue Sep 29 05:37:55 2015
<br><br><font color=teal>*Koeki(ZuuZuu) says: *blinks* - Tue Sep 29 05:38:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I wonder is Himura ok... - Tue Sep 29 15:52:19 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Havent seen him in a while... - Tue Sep 29 15:52:19 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: According to Kohaku he was seen speaking to a masked man. - Tue Sep 29 15:55:44 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No one has seen him since. - Tue Sep 29 15:55:44 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... *sigh... I assume he is dead - Tue Sep 29 15:56:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That is the most likely thing that might have happened. - Tue Sep 29 15:56:35 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Considering how weak he is. - Tue Sep 29 15:56:35 2015
<br><br><font color=yellow>*Al-Saachez, Kirie(AxelFraire) also cast is finally off yaaaaay for movement.* - Tue Sep 29 15:57:26 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: So we lost all of our chunin? Dead is knocking on our door - Tue Sep 29 15:59:08 2015
<br><br><font color=teal>*Lera(Bailey42) says: ... - Tue Sep 29 15:59:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not know about you but I do not plan on dying any time soon. - Tue Sep 29 16:00:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Even with Himura. - Tue Sep 29 16:00:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Death would still be at our door as you say. - Tue Sep 29 16:00:51 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So it is not much of a difference. - Tue Sep 29 16:00:51 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I agree I with you there, I still have things to do in this world; and I hope you ladies will be by my side till then, I dont... trust anyone else - Tue Sep 29 16:02:33 2015
<br><br><font color=teal>*Lera(Bailey42) says: *nod* Always. - Tue Sep 29 16:02:33 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Tue Sep 29 16:03:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: And if I want to protect them I have to master these blades... - Tue Sep 29 16:03:24 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Im worried about that new girl... she is oddly obsessed with me - Tue Sep 29 16:25:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Just tell her to go fuck off. - Tue Sep 29 16:26:27 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... now you know I cant do that... im not as blunt as you are.. - Tue Sep 29 16:29:00 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: She... kept staring at my chest... like she was undressing me with her eyes - Tue Sep 29 16:29:00 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ... - Tue Sep 29 16:29:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well if you do not want to keep feeling that way - Tue Sep 29 16:29:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You should just be blunt - Tue Sep 29 16:29:52 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I admit I can be distant but... I dont know if I can be blunt unless I go off my feelings - Tue Sep 29 16:31:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What happens if she pushes you enough to the point where your feelings tell her ot fuck off? - Tue Sep 29 16:34:59 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... I... dont know...I wouldnt want that; I mean Im not just for woman... I like men to but... ugh... I dont know Kirie - Tue Sep 29 16:40:06 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: .... - Tue Sep 29 16:40:57 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Well. - Tue Sep 29 16:40:57 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I honestly do not know what to say. - Tue Sep 29 16:41:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So. - Tue Sep 29 16:41:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hang in there? - Tue Sep 29 16:41:48 2015
