<br><font color=teal>*Uchiha, Hikaru(God of Fate) says: Ah, headband - Wed Dec  2 04:01:29 2015
<br><br><font color=teal>*Rias(LionHunter) says: You... whats your name? - Wed Dec  2 05:06:20 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: Hikaru Uchiha. - Wed Dec  2 05:06:20 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ok Hikaru, you are going to fight that guy next to you at the training field - Wed Dec  2 05:08:03 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: O-oh..? - Wed Dec  2 05:08:03 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: May I ask why? - Wed Dec  2 05:08:03 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im testing his abilities - Wed Dec  2 05:08:54 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: Oh, err, alright I guess. - Wed Dec  2 05:08:54 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: <A Genin fresh out of the Academy..> - Wed Dec  2 05:08:54 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: <Is this really a good idea..?> - Wed Dec  2 05:12:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Wed Dec  2 05:13:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Wed Dec  2 05:13:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You can't expect me to fight this kid.. - Wed Dec  2 05:14:01 2015
<br><br><font color=teal>*Rias(LionHunter) says: ... ummm... never mind - Wed Dec  2 05:14:01 2015
<br><br><font color=teal>*Rias(LionHunter) says: Bad idea... - Wed Dec  2 05:14:01 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: I can still try! - Wed Dec  2 05:14:01 2015
<br><br><font color=teal>*Rias(LionHunter) says: No... you cant... - Wed Dec  2 05:14:52 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: Why not? - Wed Dec  2 05:14:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Your in no condition to fight - Wed Dec  2 05:14:52 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: ... - Wed Dec  2 05:15:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: Z are you awake? - Wed Dec  2 05:17:26 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im the Hokage... but i cant give you meditate - Wed Dec  2 05:18:17 2015
<br><br><font color=teal>*Rias(LionHunter) says: -that was occ- - Wed Dec  2 05:19:08 2015
<br><br><font color=teal>*Rias(LionHunter) says: I will be right back - Wed Dec  2 05:20:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Wed Dec  2 05:23:24 2015
<br><br><font color=teal>*Rias(LionHunter) says: Sigh... fine... Hikaru was it? - Wed Dec  2 05:23:24 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: Yes mam? - Wed Dec  2 05:23:24 2015
<br><br><font color=teal>*Rias(LionHunter) says: If you land -1- hit on Osuda, you win the spar... thats your handicap - Wed Dec  2 05:24:16 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: Im really out of options here... - Wed Dec  2 05:24:16 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: Osuda? - Wed Dec  2 05:24:16 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: Oh, him. - Wed Dec  2 05:24:16 2015
<br><br><font color=teal>*Rias(LionHunter) says: That man next to you - Wed Dec  2 05:25:07 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: Alright I guess, sounds good enough~ - Wed Dec  2 05:25:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Wed Dec  2 05:25:07 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? - Wed Dec  2 05:25:07 2015
<br><br><font color=teal>*Ziare(Meekee) says: If it makes you feel better i'll fight you. - Wed Dec  2 05:27:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: Only this once. - Wed Dec  2 05:27:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: Z! Your awake good! - Wed Dec  2 05:27:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Wed Dec  2 05:27:40 2015
<br><br><font color=teal>*Uchiha, Hikaru(God of Fate) says: <That's no fun..> - Wed Dec  2 05:27:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: Come you all - Wed Dec  2 05:28:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Wed Dec  2 05:28:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So? - Wed Dec  2 05:29:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How are we doing this? - Wed Dec  2 05:29:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just hand-to-hand? - Wed Dec  2 05:29:23 2015
<br><br><font color=teal>*Ziare(Meekee) says: I can't fight well hand to hand. - Wed Dec  2 05:29:23 2015
<br><br><font color=teal>*Ziare(Meekee) says: That isn't more forte. - Wed Dec  2 05:29:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahaha. - Wed Dec  2 05:29:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Same. - Wed Dec  2 05:29:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Go all out. - Wed Dec  2 05:30:14 2015
<br><br><font color=teal>*Ziare(Meekee) says: So... - Wed Dec  2 05:31:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: You gonna attack me. - Wed Dec  2 05:31:56 2015
