<br><font color=teal>*Rokujou, Kida(Shiziru101) says: Why do you believe that? - Sun Dec  6 21:38:46 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Because I do. - Sun Dec  6 21:39:37 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: We should have Lord Mizukage come over here to confirm if you're truely a shinobi. - Sun Dec  6 21:40:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: It's not that hard to kill one of our own, dispose of the body and then. - Sun Dec  6 21:40:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Take their headband. - Sun Dec  6 21:40:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Wow, that's pretty brutal. - Sun Dec  6 21:40:28 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: That sounds like an over assumption. - Sun Dec  6 21:41:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Why is everyone so hostile? - Sun Dec  6 21:42:11 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: If he were here to kill us, I doubt we'd be talking right now. - Sun Dec  6 21:42:11 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Oh and we were attacked recently. - Sun Dec  6 21:42:11 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Really!? By who? - Sun Dec  6 21:42:11 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: No idea. - Sun Dec  6 21:42:11 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Some rogue group. - Sun Dec  6 21:43:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Was anyone hurt? - Sun Dec  6 21:43:02 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: .....Nope. - Sun Dec  6 21:43:02 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Wait, not that i know of. - Sun Dec  6 21:43:02 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: A few guards died, other than that no. - Sun Dec  6 21:43:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's pretty scary. - Sun Dec  6 21:43:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Scary? - Sun Dec  6 21:43:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Try having your eye and tongue taken out, for some sick reason. - Sun Dec  6 21:43:53 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: We are shinobi, we aren't supposed to be scared. - Sun Dec  6 21:44:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Woah! Is that why you have your headband covering your eye, and writing on the ground? - Sun Dec  6 21:45:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's pretty sickening.Who would do such a thing? - Sun Dec  6 21:45:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Some dude name Ichiro and Kida. - Sun Dec  6 21:45:36 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ichiro and Kida? Never heard of them. - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll keep an eye out on them. - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Right. They've disappeared since then. So, what brings you back in Kirigakure, after leaving for so long? - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I was out on a mission, and I was training. - Sun Dec  6 21:48:09 2015
