<br><font color=teal>***Hokage**(LionHunter) says: Becasue of the rebuilding - Sun Dec  6 04:21:07 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Bah. It takes time to rebuil.d, in the meantime.. - Sun Dec  6 04:33:04 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: You really should aim to make things more appealing. - Sun Dec  6 04:33:04 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Like? - Sun Dec  6 04:33:04 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: I mean I have no troops.. - Sun Dec  6 04:33:55 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Don't know. Hah, I'm not much of na idea person. - Sun Dec  6 04:33:55 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: --Oh? - Sun Dec  6 04:33:55 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: If any thing happens I cant prevent it - Sun Dec  6 04:33:55 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: No one has their eyes set on Konoha as of yet. - Sun Dec  6 04:35:37 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: But that can change in the drop of a hat - Sun Dec  6 04:43:18 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I suppose. - Sun Dec  6 04:44:09 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Regardless, I'll get to work on the items in a few days, - Sun Dec  6 04:44:09 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: You have anything on the agenda? - Sun Dec  6 04:44:09 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Yes a few things - Sun Dec  6 04:45:00 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ah. Such as? - Sun Dec  6 04:45:52 2015
<br><br><font color=teal>***Hokage**(LionHunter) says: Well thats for only me to know right? As you are just a visiter - Sun Dec  6 04:47:34 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm? I would call myself more of a visiter. - Sun Dec  6 04:48:25 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I do take orders for your village, after all. - Sun Dec  6 04:48:25 2015
<br><br><font color=teal>*Rias(LionHunter) says: Oh really? Then what do you call yourself? - Sun Dec  6 04:49:16 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: A part-time citizen. - Sun Dec  6 04:49:16 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Nice change of hair, by the by. - Sun Dec  6 04:50:08 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well this is still for ranks knowledge, but just know I will bring Leaf into the  golden age - Sun Dec  6 04:50:08 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ah. I figured you meant other things. Looks like you're all business these days,.' - Sun Dec  6 04:51:50 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well I do have some news thats a rather suprise in two reguards since I see you as a friend - Sun Dec  6 04:52:41 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yes, do you need something? - Sun Dec  6 05:01:13 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: The items will be handled in a week's time. In the meantime, is there anyone in Konoha looking to make a purchase? - Sun Dec  6 05:07:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: If not. I'll head on out. - Sun Dec  6 05:07:12 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ask this person here... - Sun Dec  6 05:08:03 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. I wouldn't have any money to make a purchase with... - Sun Dec  6 05:08:54 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Sorry... - Sun Dec  6 05:08:54 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Ah. Well what of you, young lass? I'm a craftman. - Sun Dec  6 05:08:54 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Mmm. Out of curiosity, what would you have asked for? - Sun Dec  6 05:08:54 2015
<br><br><font color=teal>*Rias(LionHunter) says: I can buy some for you if you really want something hun - Sun Dec  6 05:08:54 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Well... Honestly, I'm not sure.. I'm a Fuuinjutsu specialist, so.. I might have asked about some assorted weaponry to seal away into scrolls for later use... or maybe some kind of armor- I am kind of... frail, when it comes to being hit.. - Sun Dec  6 05:09:45 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: ...Armor would be the most practical thing, but... - Sun Dec  6 05:09:45 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ohhh, so cute... - Sun Dec  6 05:10:36 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I doubt it's any burden. - Sun Dec  6 05:10:36 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: This is your kage. - Sun Dec  6 05:10:36 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Armor is easy to make. I suppose you'd like light armor. - Sun Dec  6 05:10:36 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah, I suppose so... then... yeah, something I could... wear without much issue, just in case someone aims at me in a fight, mhrm. - Sun Dec  6 05:10:36 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: As for 'assorted weapons.' What does that even mean? - Sun Dec  6 05:11:28 2015
<br><br><font color=teal>*Rias(LionHunter) says: Think of special types of weapons hun - Sun Dec  6 05:12:19 2015
<br><br><font color=teal>*Rias(LionHunter) says: Like...hmmmm Kunai chained together as a net! - Sun Dec  6 05:13:10 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Shurikens and Kunais are trivial. - Sun Dec  6 05:13:10 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: A net? It'd be do-able. - Sun Dec  6 05:14:01 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Coupled with your fuuinjutsu, it can be used to catch your opponents off guard. - Sun Dec  6 05:14:52 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: Oh my she is adorable... - Sun Dec  6 05:17:26 2015
<br><br><font color=yellow>*Marco(Gtgoku55) narrowed his gaze suspiciously.

The stare is brief, as his features lighten up immediately afterwards, giving life to an ever briefer chuckle.

"Of course not. But as a shinobi, it is necessary to be capable of hurting potential opponents. After all, in the opposite scenery, it'd be you getting harmed. Regardless, what you suggested is well within my ability. Both requests will be done with Steel."

He pauses, jotting the information down.

"And that'll be all?"* - Sun Dec  6 05:20:51 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Such timidness. Do you fear me? - Sun Dec  6 05:24:16 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: I want to rub her head... - Sun Dec  6 05:26:49 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: She is so adorable! - Sun Dec  6 05:26:49 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: Like my Paine! - Sun Dec  6 05:27:40 2015
<br><br><font color=yellow>*Marco(Gtgoku55) turns to the young lad, Trices.

"To use the sheet, apply chakra onto your paper. It'll react based on your natural affinities."

A glance falls back onto Akechi.

"I see. I suppose everyone is different. I wasn't aware this village practiced squads."* - Sun Dec  6 05:27:40 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. w-well... I'm not sure either, but.. - Sun Dec  6 05:27:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: Squads? - Sun Dec  6 05:27:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: I dont have squads - Sun Dec  6 05:27:40 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: I just know I'm not suited to solo work... s-so I guess it's a good thing I'm a summoner! - Sun Dec  6 05:27:40 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Summoners. .A very type of shinobi. Albeit, the hardest to develop. - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Rias(LionHunter) says: Summons are so cute - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah... yes.. even if my contract isn't very suited for combat.. yet.. - Sun Dec  6 05:28:32 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well some of them that is - Sun Dec  6 05:29:23 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: And what do you summon? - Sun Dec  6 05:29:23 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah... - Sun Dec  6 05:29:23 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: ... Dobermans. - Sun Dec  6 05:30:14 2015
<br><br><font color=teal>*Rias(LionHunter) says: Marco you are very interested in my shinobi all of a sudden - Sun Dec  6 05:30:14 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm? - Sun Dec  6 05:31:05 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Just making small talk. - Sun Dec  6 05:31:05 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I haven't a clue what a doberman is.. - Sun Dec  6 05:31:05 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: It's... a type of dog. - Sun Dec  6 05:31:56 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: My contract is with dogs. - Sun Dec  6 05:31:56 2015
<br><br><font color=teal>*Rias(LionHunter) says: Dogs? Thats rather common - Sun Dec  6 05:31:56 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah.. I suppose so, yes.. - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Indeed. - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: In anycase. i suppose it's time I get back home. - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Well.. not the dobermans.. but the poodles are... - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: You all take care. - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: The Dobermans are nice and sleek... - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah, good bye. - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Rias(LionHunter) says: Bye hun - Sun Dec  6 05:32:48 2015
<br><br><font color=teal>*Rias(LionHunter) says: But I want to see this summon, hmm what wsa your name again? - Sun Dec  6 05:33:39 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Ah... - Sun Dec  6 05:36:12 2015
<br><br><font color=teal>*Akechi(SephirothMage) says: Senju Akechi. - Sun Dec  6 05:36:12 2015
<br><br><font color=yellow>*Marco(Gtgoku55) would step off that.

"You all take care. I'll have the items completed in two week's time at the most."* - Sun Dec  6 05:37:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I LOST CALLOUSES, TO THIS NERD SHIT! I will regain them the only way that works. - Sun Dec  6 05:37:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Being physically abused for hours at a time until I drop. - Sun Dec  6 05:38:46 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs* - Sun Dec  6 05:38:46 2015
