<br><font color=teal>*Alastor(LordxPatrick) says: Let's go, Trill. - Mon Oct  5 01:10:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Can I spar too? - Mon Oct  5 01:13:23 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: You want winner? - Mon Oct  5 01:13:23 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: This should be short... - Mon Oct  5 01:14:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah. - Mon Oct  5 01:14:14 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Sweet. - Mon Oct  5 01:14:14 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: You want first move...? - Mon Oct  5 01:15:05 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Sure. - Mon Oct  5 01:15:56 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Sweet. - Mon Oct  5 01:15:56 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) Alastor smiled. He had no idea what this mound of clay was, but he took no chances in a fight. As soon as the clay was out of Trill's hand he would have instantly thrown up his guard of semi-circle sand. It would flow casually, as the grenade came close and boomed. The shock of lightning it sent towards Alastor was faster than he expected. If not for the shield being directly in front of him, he would have been hit full-force. "Fucking hell...?" he muttered.

Coming up on his time to counter-attack, Alastor pondered for a second. A small trail of sand slid down his right leg and dug into the ground. It would not be noticible by anyone unless they were focusing on the area with above-average sight due to the small size. With that down, Alastor had to worry about the man charging towards him. 

With a swift flick of his right hand, ten sand shuriken would speed towards Trill. They would be slightly spread apart, but only about his torso's length. They were blunt shuriken, mainly meant for a slow-down than any long-term damage.* - Mon Oct  5 01:24:28 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) He watched as the man dug himself into the ground at a rapid pace. "Damn." He muttered, knowing he would have to resort to -that-. Forming a quick series of five hand seals, he knew he'd have to be light for this. He would toss his gourd over to Tetsu. "Hold that a minute, eh?" he said, as he began to gather his chakra. What could he possibly be planning...?* - Mon Oct  5 01:35:34 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I know alot of people that like to go underground... - Mon Oct  5 01:39:50 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) The man would have grappled Alastor, but he was assuming the man would attack from below. He would anitcipate the man attempting to somehow physically attack him, so when a hand popped up and attempted to get his foot he was ready. 

He would very narrowly dodge being dragged under, only to be hit with the two lightning grenades. "Gah!" he shouted...Before dissapearing n a puff of smoke. A puff of smoke would also encase Tetsu, as Alastor would be in his arms instead of the gourd now. The two had traded places.

Now, trying to use the element of surprise to his advantage, Alastor would send another ten shuriken towards the ground where the hand had popped out of. These would not go much below the surface, but if he was still at the top they could cause a minor cut.* - Mon Oct  5 01:44:57 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Mon Oct  5 01:49:13 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It was terrible. - Mon Oct  5 01:49:13 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I wasn't picked for a squad. - Mon Oct  5 01:49:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Replacement jutsu with his weapon. - Mon Oct  5 01:50:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huh. . ? This village got squads? - Mon Oct  5 01:51:47 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Yes... all are very youthful. - Mon Oct  5 01:51:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Must get pretty hot with all of that stuff on. - Mon Oct  5 01:52:38 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: ...Hm? - Mon Oct  5 01:54:20 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Squads? - Mon Oct  5 01:54:20 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) thinks: And I miss everything good. - Mon Oct  5 01:55:12 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Lord Kazekage. - Mon Oct  5 01:56:54 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: May I receive a squad? - Mon Oct  5 01:56:54 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) He watched as several rocks and the like would float into the air. "Fuck." he said, as he was dropped by Tetsu. He would quickly attempt to push him down to his knees, as he channeled his chakra. The sand that had been gathering inside the ground would suddenly shoot to life, as ten more shuriken shot towards Trill from behind him. Unless he was a sensor, he was probably gonna get hit.

