<br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Ugh...Better go find Kana. - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Of course. - Sun Dec  6 21:02:56 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: When isn't she? - Sun Dec  6 21:03:47 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: Kida?! - Sun Dec  6 21:05:29 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: 'Sup. - Sun Dec  6 21:08:03 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) thinks: Two strangers in one day. - Sun Dec  6 21:08:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: I see, he's recovered quite a bit.  - Sun Dec  6 21:14:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Business? - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Business here. - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ... - Sun Dec  6 21:37:55 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: A shinobi here? Right. - Sun Dec  6 21:37:55 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Tch, I don't need to rely on my squad members. - Sun Dec  6 21:37:55 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Ryo's at it again. - Sun Dec  6 21:38:46 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Why do you believe that? - Sun Dec  6 21:38:46 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: Because I do. - Sun Dec  6 21:39:37 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: We should have Lord Mizukage come over here to confirm if you're truely a shinobi. - Sun Dec  6 21:40:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: It's not that hard to kill one of our own, dispose of the body and then. - Sun Dec  6 21:40:28 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Take their headband. - Sun Dec  6 21:40:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Wow, that's pretty brutal. - Sun Dec  6 21:40:28 2015
<br><br><font color=teal>*Ryo(Ultimate_Odyssey) says: That sounds like an over assumption. - Sun Dec  6 21:41:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Why is everyone so hostile? - Sun Dec  6 21:42:11 2015
