<br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ushinawa? - Thu Oct  1 19:07:44 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Mhm. - Thu Oct  1 19:08:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: He's here for the Raiga as well? - Thu Oct  1 19:08:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Is Hideki still being Emo? - Thu Oct  1 19:08:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: I'm definately noticing a trend with those related to Ushinawa. - Thu Oct  1 19:09:26 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Hideki's anger has been transformed into something bigger than himself. - Thu Oct  1 19:09:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That so? - Thu Oct  1 19:09:26 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Aye. - Thu Oct  1 19:09:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I reccomend just heading home. - Thu Oct  1 19:10:17 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: That is something that I cannot abide. - Thu Oct  1 19:10:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Care for a small chat? - Thu Oct  1 19:12:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You treat me like an enemy. - Thu Oct  1 19:12:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Let me ask you a question. - Thu Oct  1 19:12:51 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: How much would the location of one who possesses your Doujutsu be to you? - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It was as it sound. - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Would you be willing to pay for information, on to the whereabouts of one of your bloodline? - Thu Oct  1 19:14:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I meant where they were, not specifically their abilities. - Thu Oct  1 19:15:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I figured you'd be trying to round them up by now. - Thu Oct  1 19:15:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A little bird flew by. - Thu Oct  1 19:17:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A whispered of a sweeter tomorrow. - Thu Oct  1 19:17:07 2015
