<br><font color=yellow>*Sabara, Izutora(Get Jazzy) eagerly regained his footing after performing the twin kicks. He'd take one cartwheel, well aware of his surroundings while doing such. The male would fish throughout his backpouch, demoralized when he found that he couldn't find a kunai knife. He clutched onto something that seemed to be much more useful for his tactics.

Suddenly, his hand would emerge from his backpouch...holding.... a fish. He'd whip the fish directly at Amon, and without a second thought he'd bound off of his feet, performing a quick spin backward throughout the air, before shooting toward Amon, his left leg tucked in and his right leg extended out. He aimed to smack his sole into Amon's jaw.

"Dynamic Entry!"* - Tue Oct  6 02:16:06 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Should I intervene? - Tue Oct  6 02:16:57 2015
<br><br><font color=teal>*Rosa(RainbowForce) says: ...... - Tue Oct  6 02:22:04 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) flew right past Amon. He'd roll forward, turning and gazing back at Amon. The jumpsuit wearing individual would sprint toward Amon, skidding to a stop.

"Kind sir, are you okay!?" He'd hollar, shaking the male. He'd take a gaze toward Kida, shaking his head.

"I'm sorry but I must decline! I must report to your village leader, correct!? But what about this man's health!? He might've been allergic to fish without me knowing! Killing someone with someone so measly as their allergies is not youthful!" He'd shout, glistening, manly tears forming at the corner of his beaty orbs.* - Tue Oct  6 02:23:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ------------ - Tue Oct  6 02:23:47 2015
<br><br><font color=teal>*Rosa(RainbowForce) says: . . . . . . - Tue Oct  6 02:25:29 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: ........................ - Tue Oct  6 02:26:20 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) thinks: Who is that female? - Tue Oct  6 02:26:20 2015
<br><br><font color=teal>*Rosa(RainbowForce) says: . . . . . . . . . . - Tue Oct  6 02:26:20 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Sabara, Izutora! The Green Beast of Sunagakure! I've traveled in pursuit of hand to hand combat training! I will leave if you wish not for a Sunagakure shinobi to be here! - Tue Oct  6 02:27:12 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Green.....Beast..... - Tue Oct  6 02:28:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Tue Oct  6 02:28:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Of Sunagakure---..... - Tue Oct  6 02:28:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: Agh. - Tue Oct  6 02:28:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I'm wanted in Sunagakure probably.. - Tue Oct  6 02:28:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I need treatment. - Tue Oct  6 02:28:03 2015
<br><br><font color=teal>*Masayoshi, Mamoru(KingSoraHearts) says: I think I got a brain tumor. - Tue Oct  6 02:28:03 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: I wonder how would a miso ramen soup taste with toasted bread. It would be so good right now. - Tue Oct  6 02:28:03 2015
<br><br><font color=yellow>*Sabara, Izutora(Get Jazzy) raced over toward Mamoru.

