<br><font color=teal>*Farkin(Jaime1997) says: Hi - Sun Nov  1 02:27:12 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Hi - Sun Nov  1 02:34:01 2015
<br><br><font color=teal>*Kami, Ryuu(Legendary_Darkness) says: Uh...Hi? - Sun Nov  1 02:34:01 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Sorry for crashing into you - Sun Nov  1 02:34:01 2015
<br><br><font color=teal>*Kami, Ryuu(Legendary_Darkness) says: No worries. - Sun Nov  1 02:34:01 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Do you know where i can train? - Sun Nov  1 02:34:01 2015
<br><br><font color=teal>*Kami, Ryuu(Legendary_Darkness) says: Train? Well....Anywhere? - Sun Nov  1 02:34:52 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Well, I suppose - Sun Nov  1 02:34:52 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: But f - Sun Nov  1 02:34:52 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Isn´t there a place where I can find a teacher or instucor of sort - Sun Nov  1 02:34:52 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Damn - Sun Nov  1 02:35:44 2015
<br><br><font color=teal>*Farkin(Jaime1997) thinks: Talk about having a long face - Sun Nov  1 02:35:44 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Hi - Sun Nov  1 02:38:17 2015
<br><br><font color=teal>*Gin(Plemith) says: Hello. - Sun Nov  1 02:38:17 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: New here? - Sun Nov  1 02:38:17 2015
<br><br><font color=teal>*Gin(Plemith) says: You could say that - Sun Nov  1 02:39:08 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Me too, really - Sun Nov  1 02:39:08 2015
<br><br><font color=teal>*Gin(Plemith) says: So, whats your name? - Sun Nov  1 02:40:00 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Farkin, yours? - Sun Nov  1 02:40:00 2015
<br><br><font color=teal>*Gin(Plemith) says: Gin - Sun Nov  1 02:40:00 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Huh - Sun Nov  1 02:40:00 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Nice name - Sun Nov  1 02:40:00 2015
<br><br><font color=teal>*Gin(Plemith) says: Thanks, you too - Sun Nov  1 02:40:00 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Its got a catch to it - Sun Nov  1 02:40:51 2015
<br><br><font color=teal>*Gin(Plemith) says: Really? - Sun Nov  1 02:40:51 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Seems as tough ive heard it before - Sun Nov  1 02:40:51 2015
<br><br><font color=teal>*Gin(Plemith) says: Maybe? - Sun Nov  1 02:40:51 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: But can´t really say where - Sun Nov  1 02:40:51 2015
<br><br><font color=teal>*Gin(Plemith) says: Huh - Sun Nov  1 02:40:51 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Well - Sun Nov  1 02:41:42 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Gotta go. - Sun Nov  1 02:41:42 2015
<br><br><font color=teal>*Farkin(Jaime1997) says: Nice meeting you - Sun Nov  1 02:41:42 2015
<br><br><font color=teal>*Gin(Plemith) says: Same - Sun Nov  1 02:41:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh yes, we upgraded a month ago. - Sun Nov  1 22:57:42 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Much more than a sushi bar now-----Dammit Ricky! Stop trying to steal free bread thats free! Just eat it sheesh! - Sun Nov  1 22:58:33 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ....Soo.... - Sun Nov  1 23:00:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: I'm not good at this... - Sun Nov  1 23:00:16 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: What did you want to talk about?...*looks towards Fuji* - Sun Nov  1 23:01:07 2015
<br><br><font color=yellow>*Farkin(Jaime1997) slowly stands up and leaves his money on the table.* - Sun Nov  1 23:19:02 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I don't. - Tue Nov  3 03:49:07 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) whispers: So um...you're going to laugh at me... - Tue Nov  3 03:51:40 2015
<br><br><font color=yellow>*Farkin(Jaime1997) sonres rather loudly* - Tue Nov  3 03:52:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) whispers: I was talking to Ziare and he was getting a little rude like usual... - Tue Nov  3 03:54:14 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) whispers: He wanted to know why I was wandering around so I told him it was to find you... - Tue Nov  3 03:55:05 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) whispers: Then he told me I must be lonely without my girlfriend...meaning you...and it kinda just got me really mad... - Tue Nov  3 03:55:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) whispers: It's stupid I know...i don't even know why i'm annoyed over it... - Tue Nov  3 03:56:48 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) whispers: . . . . - Tue Nov  3 04:02:46 2015
