<br><font color=teal>*Rokujou, Kida(Shiziru101) says: Say what? - Fri Nov 27 00:59:18 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: .... - Fri Nov 27 01:00:09 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I missed you two assholes. - Fri Nov 27 01:00:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Oh. - Fri Nov 27 01:00:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I missed you too. - Fri Nov 27 01:00:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It's kind of awkward without you. - Fri Nov 27 01:00:09 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Since I have no purpose otherwise... - Fri Nov 27 01:00:09 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) just had a blank expression for a second. It was almost as if it took an entire second for his mind to process the entire thing.  He instantly broke out into smile, "Huuh? What was that? I didn't hear what you said," he spoke out, placing his hand by his ear and leaning it towards Shiro.  He spoke the words out in a rather playful way.  He understood what she meant, but he just wanted to have a bit of fun, a byproduct of being around the two.* - Fri Nov 27 01:01:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Haha. - Fri Nov 27 01:02:43 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hey I think that being a person thing is working. - Fri Nov 27 01:02:43 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Don't you guys think? - Fri Nov 27 01:02:43 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah. You don't seem like a robot anymore. - Fri Nov 27 01:02:43 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Fri Nov 27 01:04:25 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Good, good. - Fri Nov 27 01:05:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Fri Nov 27 01:06:08 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) got what was coming to him. He leaned over, reaching over for his testicles, gripping them in pain. "Fuuuuuuuck!", he called out. For a moment, it sounded as though his voice went up a full pitch, but that was probably someone's imagination.  He hurled over for a period, waiting for the pain to fade before trailing behind. * - Fri Nov 27 01:08:41 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hey. - Fri Nov 27 01:08:41 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Get a cup. - Fri Nov 27 01:08:41 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Next time. - Fri Nov 27 01:09:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I-I'll buy one.. - Fri Nov 27 01:09:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: I didn't expect that..Not at all. - Fri Nov 27 01:09:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Hehe.~ - Fri Nov 27 01:10:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Oh man. - Fri Nov 27 01:10:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I hope your balls didn't invert from that hit. - Fri Nov 27 01:10:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: But anywho, what do I care? - Fri Nov 27 01:11:15 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'm not the one worrying about procreation in my future. - Fri Nov 27 01:11:15 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Heh. - Fri Nov 27 01:11:15 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Hey...That's better. - Fri Nov 27 01:11:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Fri Nov 27 01:11:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: This hurts like a bitch. - Fri Nov 27 01:12:06 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Maybe you'll learn. - Fri Nov 27 01:12:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: How to use your semen. - Fri Nov 27 01:12:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: To make your balls hard as steel. - Fri Nov 27 01:12:57 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Not everyone can secrete fluids from their body that hardens. - Fri Nov 27 01:13:48 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: They should learn. - Fri Nov 27 01:13:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That means you'll teach me? - Fri Nov 27 01:13:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: --- - Fri Nov 27 01:13:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Wait. - Fri Nov 27 01:13:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Ichiro. - Fri Nov 27 01:14:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You can make your balls as hard as steel? - Fri Nov 27 01:14:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Yeah. - Fri Nov 27 01:14:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Wait. - Fri Nov 27 01:14:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: What? - Fri Nov 27 01:14:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I lied. - Fri Nov 27 01:14:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's a lie! - Fri Nov 27 01:14:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I saw it before. - Fri Nov 27 01:14:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Dodged a bulle- - Fri Nov 27 01:14:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ..... - Fri Nov 27 01:14:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Fri Nov 27 01:14:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: What? - Fri Nov 27 01:14:40 2015
