<br><font color=teal>*Tengoku(Punka) thinks: Oi.~ A mock mission encounter? - Tue Dec  1 03:18:24 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: This is gonna be over rather quickly. I'll try to last as long as I could against them. - Tue Dec  1 03:19:15 2015
<br><br><font color=teal>*Tengoku(Punka) says: I'll just say this. - Tue Dec  1 03:19:15 2015
<br><br><font color=teal>*Tengoku(Punka) says: If I tap you, let's say you've been assassinated. - Tue Dec  1 03:20:06 2015
<br><br><font color=teal>*Tengoku(Punka) says: Just for the sake of the training. - Tue Dec  1 03:20:06 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Have one better. - Tue Dec  1 03:20:06 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Wait, what? - Tue Dec  1 03:21:48 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) reached into his back pouch, pulling out a small black notebook. Three pages would be ripped out and handed off to Tengoku - the words quickly scribbled about on the page to read out 'Death'.

"A clean hit with one of these and the target is out of play."* - Tue Dec  1 03:21:48 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I can still uh. . Defend myself though. . Right? - Tue Dec  1 03:22:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: ...Interesting. - Tue Dec  1 03:24:22 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: Don't go in yet. - Tue Dec  1 03:33:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) whispers: Wait out their chakra. - Tue Dec  1 03:34:36 2015
<br><br><font color=teal>*Tengoku(Punka) whispers: Right. - Tue Dec  1 03:34:36 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Why did I do that if I can't see? - Tue Dec  1 03:46:33 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) watched carefully, the child himself taking immediate notice of the fog beginning to envelop around the area. Much of it reminded Heiwa of some bad moments - very few good memories were held inside it. However, the sounds of the dog echoing out in the area, as well as the ever so subtle additional entires of the girl in question pattering near, made it clear to Heiwa that it was time to move.

Bringing his hands up quickly, he'd rotate through a single seal while flowing chakra down towards his feet. <Shunshin no Jutsu.> The chakra rapidly would begin energizing and revitalizing his muscles making them stronger and more capable for just a few brief moments. On taking a step forward, suddenly he'd disappear from any sort of sight - a brief plume of smoke being left in his wake.

The slight smell of soap and a smokey char  would disappear from the area, reappearing quite a distance out of the mist - more towards Nori.* - Tue Dec  1 04:15:34 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) remained relatively still, his ears being kept wide and aware to keep track on both Sekitsui and the rest of the attackers going about in the mist. The dog would be far more noticed, but it wouldn't drown out the fast, misplaced steps that were bound to appear off of Sekitsui. Even if he hadn't shown it he was aware of her coming.

His eyes point off in that direction, waiting carefully for the faint outline of her to appear out in the mist. His eyesight was great enough that he'd be given at least a couple more feet than the average person in total sight. Which hadn't helped him as much as if she kept in her charge, but, thankfully, he also hadn't needed to dodge anything.

With her taking control of the situation, Heiwa would comply while making minimal amounts of sound. <Fast. Efficient in her strikes. Even has great enough hearing to be able to track us.> Yes. He misjudged it to be hearing. No, the kid did not have any idea smell could work that well. Shh.* - Tue Dec  1 04:57:23 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) nodded, noticing the mist finally begin to exit out from the area. "That'll do - hostage saved and Nori wasn't injured." he says, somewhat congratulatory in his tone. In all honesty he wasn't fully expecting for Sekitsui to be moving so fast. It was interesting to say the least.

However, his voice dropped somewhat at the end with his tone lowering with it. "There is a matter of problem, however. Yumiko - that jutsu can be useful, but can also be a detriment."  As he said that, he pulled out a small paper with the word 'Explosive' sprawled across.* - Tue Dec  1 05:34:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: If this was on me would any of you be the wiser? - Tue Dec  1 05:34:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The technique itself could hinder you in many ways. - Tue Dec  1 05:34:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Be careful with that jutsu, Yumiko. - Tue Dec  1 05:35:47 2015
<br><br><font color=teal>*Yumiko(Ekario) says: I would have acted differently, I only use it to make it harder to shunshin an attack as quickly as he could since Nori could have been the first target of such a stratagy. - Tue Dec  1 05:37:29 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Paper* - Tue Dec  1 05:37:29 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . Can I come out now?! - Tue Dec  1 05:38:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Yes. You can come out. - Tue Dec  1 05:38:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Perhaps. Not every hostage will be a shinobi, however. - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Not every hostage will be capable of stating they're tagged.  - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Around near any person it's a good idea to be careful. - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Or develop some sensory ability. - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: The situation was saving -you-, our squad leader. - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Not a civilian. - Tue Dec  1 05:39:12 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Yeah, I screwed over your little lesson. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: Nice try though. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: This time - don't worry. Feeling around me would have been a mistake. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It wasn't a chastisement of you. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The lesson itself was rigged against Yumiko's usage of that technique. - Tue Dec  1 05:40:03 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: I don't see why her using the technique was a bad thing. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's strong. Invaluable even. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: I don't understand. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: But it can have detriments. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Collateral..unintentional actions or results - the use of the mist blinds us as shinobis from being able to react. - Tue Dec  1 05:40:54 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: ....oh that jutsu? - Tue Dec  1 05:41:45 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I thought you meant the other one. - Tue Dec  1 05:42:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. Tengoku, you aren't hurt, right? - Tue Dec  1 05:43:28 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Yes - Tue Dec  1 05:43:28 2015
<br><br><font color=teal>*Tengoku(Punka) says: No. - Tue Dec  1 05:43:28 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: I feel like I could have fotten murdered in that mist. - Tue Dec  1 05:44:19 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: You're lucky you moved. - Tue Dec  1 05:44:19 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I was about to knock you out. - Tue Dec  1 05:44:19 2015
<br><br><font color=teal>*Tengoku(Punka) says: Yeah. - Tue Dec  1 05:44:19 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) thinks: OOC OFF - Tue Dec  1 05:46:01 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Having her train against Yumiko or Nori could be hard. She'd likely even be capable of being me too. Especially in Taijutsu. - Tue Dec  1 05:46:01 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Her using that jutsu helped me. - Tue Dec  1 05:47:44 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: But I mean, she didn't know it would. - Tue Dec  1 05:47:44 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: Just worked out. - Tue Dec  1 05:47:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Right. Your sense of hearing synergized well. - Tue Dec  1 05:47:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Similar to mine. - Tue Dec  1 05:48:35 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: No, smell. - Tue Dec  1 05:48:35 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: I smelled him. - Tue Dec  1 05:48:35 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: And you. - Tue Dec  1 05:48:35 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh? - Tue Dec  1 05:48:35 2015
