<br><font color=teal>*Index(Jjking217) whispers: I'll explain everything when it's time. - Sun Nov  8 14:08:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I don't see why not. - Sun Nov  8 14:09:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Mutual grounds. - Sun Nov  8 14:09:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...okay. - Sun Nov  8 14:09:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Does that mean you two will ...talk? - Sun Nov  8 14:09:04 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Could you give me a sample of any kind? - Sun Nov  8 14:09:04 2015
<br><br><font color=teal>*Index(Jjking217) says: I suppose. - Sun Nov  8 14:09:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...wait...what... - Sun Nov  8 14:09:55 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: No..you...you want to give part of me to a scientist... - Sun Nov  8 14:09:55 2015
<br><br><font color=teal>*Index(Jjking217) whispers: No not neccessarily. - Sun Nov  8 14:09:55 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: Why would you need a sample? - Sun Nov  8 14:09:55 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Did I ever tell you, What I am? - Sun Nov  8 14:10:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ...you told me you were human. - Sun Nov  8 14:10:46 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I meant...Rank wise. - Sun Nov  8 14:11:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Well I suppose. - Sun Nov  8 14:11:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) whispers: ....no? - Sun Nov  8 14:11:37 2015
<br><br><font color=teal>*Index(Jjking217) says: There's no need to whisper. - Sun Nov  8 14:11:37 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm a Gezo Sergeant. - Sun Nov  8 14:11:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Sun Nov  8 14:12:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: No...you aren't taking any of me to them. - Sun Nov  8 14:12:28 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: They will hunt me down. - Sun Nov  8 14:12:28 2015
<br><br><font color=teal>*Index(Jjking217) says: They won't, I won't let them. - Sun Nov  8 14:13:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: You don't understand. - Sun Nov  8 14:13:20 2015
<br><br><font color=teal>*Index(Jjking217) says: But I won't force it, I have my own team who work beneath me. - Sun Nov  8 14:13:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm their -property-. - Sun Nov  8 14:13:20 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you want to be free Owari? - Sun Nov  8 14:14:11 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...yes but that isn't possible. - Sun Nov  8 14:15:02 2015
<br><br><font color=teal>*Index(Jjking217) says: There is a way. - Sun Nov  8 14:15:02 2015
<br><br><font color=teal>*Index(Jjking217) says: But it's risky. - Sun Nov  8 14:15:02 2015
<br><br><font color=teal>*Index(Jjking217) says: Nevermind. - Sun Nov  8 14:15:02 2015
<br><br><font color=teal>*Index(Jjking217) says: I shouldn't have bought it up. - Sun Nov  8 14:15:02 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Sun Nov  8 14:15:02 2015
<br><br><font color=teal>*Index(Jjking217) says: I was trying to help. - Sun Nov  8 14:15:02 2015
<br><br><font color=teal>*Index(Jjking217) whispers: I thought maybe, I could use my -private- team of Scientist. To help you. - Sun Nov  8 14:15:53 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...that's what I want but.... - Sun Nov  8 14:15:53 2015
<br><br><font color=teal>*Index(Jjking217) whispers: They don't have the opportunity to report to the Gezo. - Sun Nov  8 14:16:44 2015
<br><br><font color=teal>*Index(Jjking217) whispers: Not without my knowledge. - Sun Nov  8 14:16:44 2015
