<br><font color=teal>*Index(Jjking217) says: -omit- - Thu Nov  5 01:58:11 2015
<br><br><font color=yellow>*Index(Jjking217) did steal a glance though, but didn't say anything.* - Thu Nov  5 01:59:02 2015
<br><br><font color=yellow>*Index(Jjking217) with a swift motion his foot was raised as he was pushed back. Before aiming to make contact with Ortho's back, and with a small amount of force, he aimed to push him towards Ume, wondering if he could make this situation a lot more awkward for the male.* - Thu Nov  5 02:02:27 2015
<br><br><font color=yellow>*Index(Jjking217) whistled as he shrugged "I think you should stay seated, I hear it's good for blood flow." He suggested, offering a surprisingly straight-faced answer as he looked at her through the curtains.* - Thu Nov  5 02:16:06 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Any..ways. - Thu Nov  5 02:17:48 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: ...what now? - Thu Nov  5 02:25:29 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..Are you ready to go? - Thu Nov  5 02:28:03 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I guess. - Thu Nov  5 02:28:54 2015
<br><br><font color=teal>*Index(Jjking217) says: Hey, Ume-chan. - Thu Nov  5 02:29:45 2015
<br><br><font color=teal>*Index(Jjking217) says: Have you ever been swimming before? - Thu Nov  5 02:29:45 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: No. - Thu Nov  5 02:31:28 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ...... - Thu Nov  5 02:31:28 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Has Katsune been swimming before, Index? - Thu Nov  5 02:32:19 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm. - Thu Nov  5 02:33:10 2015
<br><br><font color=teal>*Index(Jjking217) says: No clue. - Thu Nov  5 02:33:10 2015
<br><br><font color=teal>*Index(Jjking217) says: But Ume. - Thu Nov  5 02:33:10 2015
<br><br><font color=teal>*Index(Jjking217) says: Ortho likes doing this thing. - Thu Nov  5 02:33:10 2015
<br><br><font color=teal>*Index(Jjking217) says: .Called - Thu Nov  5 02:33:10 2015
<br><br><font color=teal>*Index(Jjking217) says: Skinny dipping. - Thu Nov  5 02:33:10 2015
<br><br><font color=teal>*Index(Jjking217) says: You should try it with him. - Thu Nov  5 02:33:10 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: What's skinny dipping? - Thu Nov  5 02:34:01 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ....... - Thu Nov  5 02:34:52 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It's basically being naked when swimming. - Thu Nov  5 02:35:44 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Oh. - Thu Nov  5 02:36:35 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: 'Liberated'? - Thu Nov  5 02:36:35 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: What? - Thu Nov  5 02:38:17 2015
<br><br><font color=teal>*Index(Jjking217) says: I just want. - Thu Nov  5 02:38:17 2015
<br><br><font color=teal>*Index(Jjking217) says: Ume to experience all she can. - Thu Nov  5 02:38:17 2015
<br><br><font color=teal>*Index(Jjking217) says: And have fun. - Thu Nov  5 02:38:17 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: With no pace..? - Thu Nov  5 02:38:17 2015
