<br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Appreciated. - Sun Dec  6 23:10:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: *Nods* - Sun Dec  6 23:11:47 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I haven't quite decided on which path, I desire to take. - Sun Dec  6 23:11:47 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I feel like this is where I should be though. - Sun Dec  6 23:11:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I see. It was your leaders will to make sure you were safe. - Sun Dec  6 23:12:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I intend to keep said promise. - Sun Dec  6 23:12:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kari-Chan. - Sun Dec  6 23:12:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I need to speak with you. - Sun Dec  6 23:12:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Chan again.~ - Sun Dec  6 23:12:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm? Of course Raikage-sama. - Sun Dec  6 23:12:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Come here. - Sun Dec  6 23:13:29 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Give me your hand. - Sun Dec  6 23:14:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Sun Dec  6 23:14:20 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) extends his hand so that he was holding her hand.

"I need you to tell me something."* - Sun Dec  6 23:15:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uh....okay. - Sun Dec  6 23:16:03 2015
<br><br><font color=yellow>*Minatabi Eiyu(Dragonfile) continues to hold her hand. His blue eyes unwavering in it's conviction.

"Tell me everything that has happened."* - Sun Dec  6 23:16:54 2015
