<br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Y - Sat Dec  5 07:47:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: wonder if I need to blast him.... - Sat Dec  5 07:48:03 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hey Sanoke, need some help? - Sat Dec  5 07:48:03 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: You have this Momura! - Sat Dec  5 21:54:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: Y-YES. - Sat Dec  5 21:55:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I WILL WIN. - Sat Dec  5 21:55:24 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) thinks: Momura stop stuttering inside you're head! - Sat Dec  5 21:56:16 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Don't worry Sanoke, momura's got those magic fingers - Sat Dec  5 22:01:23 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: -omit- - Sat Dec  5 22:01:23 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) thinks: OH.... so jealous of you Sanoke. - Sat Dec  5 22:02:14 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 9riven? - Sat Dec  5 22:07:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: rivne - Sat Dec  5 22:07:21 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 9riven - Sat Dec  5 22:09:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: I wonder how she'd do against genjutsu.. - Sat Dec  5 22:23:34 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh! Do you surrender? - Sat Dec  5 22:42:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Phew. Was about to wrestle her down, and hold her face into mud. - Sat Dec  5 22:42:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Surrender? - Sat Dec  5 22:44:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. You said I'm too strong. - Sat Dec  5 22:44:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Sat Dec  5 23:12:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hmph.. - Sat Dec  5 23:12:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sure. - Sat Dec  5 23:12:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sweet! Call me by my name! - Sat Dec  5 23:12:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: San. - Sat Dec  5 23:12:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Sama! Don't make me push your face into the mud! - Sat Dec  5 23:12:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You're not my master. - Sat Dec  5 23:13:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So.. - Sat Dec  5 23:13:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-San. - Sat Dec  5 23:13:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? Hrm. . . What does Sama mean again? - Sat Dec  5 23:13:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-Better then.. - Sat Dec  5 23:13:55 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm... - Sat Dec  5 23:13:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: yes - Sat Dec  5 23:14:46 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-What's going on? - Sat Dec  5 23:14:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sparring.. - Sat Dec  5 23:14:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: San. . Chan. .  - Sat Dec  5 23:14:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: MMm. Senpai? - Sat Dec  5 23:14:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Where the fuck is sama? - Sat Dec  5 23:14:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi..hanai.. - Sat Dec  5 23:15:37 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-Hey Momura. - Sat Dec  5 23:15:37 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: H-How've you been? - Sat Dec  5 23:15:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well you know.. - Sat Dec  5 23:16:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Losing. - Sat Dec  5 23:16:28 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: D-Do you need me to help clean you up? - Sat Dec  5 23:16:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh sure.. - Sat Dec  5 23:17:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: 'S-San'oke-'san' - Sat Dec  5 23:18:11 2015
