<br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: It's a spar. - Sun Dec  6 02:48:06 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You guys are done already? - Sun Dec  6 02:48:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hah.... shit, I think I naerly cut her in half... and... ah, fuck.. - Sun Dec  6 02:48:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: My fuckin nose.. - Sun Dec  6 02:48:57 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Nah, you're not that strong.~ - Sun Dec  6 02:49:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Haha! Don't be fuckin sorry... that was fun.. and fuck you to, chick! - Sun Dec  6 02:49:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Rude. - Sun Dec  6 02:49:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I think I should spar you again and show you that I'm the one you couldn't hurt. - Sun Dec  6 02:49:48 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmph. - Sun Dec  6 02:49:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Momura-chan! - Sun Dec  6 02:50:40 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Are you okay? - Sun Dec  6 02:50:40 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Bah.. 's just my nose, I'll be fine.. - Sun Dec  6 02:52:22 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh? Bah! You've gotten a lot stronger than I remember.. - Sun Dec  6 02:52:22 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh..? If you wanna.. - Sun Dec  6 02:52:22 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I don't really care.. - Sun Dec  6 02:52:22 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You better be inviting me.~ - Sun Dec  6 02:53:13 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: She broke m' nose. That's bout it for anything serious. - Sun Dec  6 02:54:04 2015
