<br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Bet. - Sun Dec  6 12:03:37 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded his head. "Okay.. I'm game."* - Sun Dec  6 12:04:28 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's stroll come to an abrupt halt upon seeing someone within his common training grounds. A slightly annoyed expression forms on his face as he folds his arms across his chest and sized the person up..

"Who're you?"* - Sun Dec  6 16:52:54 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) 's eyes narrowed in on this "Shin" person, taking in as much visuals as possible. "Nothing much to look at," he mutters to himself, placing judgement on the male before him.* - Sun Dec  6 16:55:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Are you from this village? - Sun Dec  6 16:55:28 2015
<br><br><font color=yellow>*Hei, Sogeki(DhatBoiNick) nodded. His general expression lightens up a bit, "very well." He turns his back to leave the area. "Keep this place in tip-top shape until I get back."* - Sun Dec  6 16:58:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo. - Sun Dec  6 18:35:18 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Alberto. - Sun Dec  6 18:35:18 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Del. - Sun Dec  6 18:35:18 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Rio. - Sun Dec  6 18:35:18 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Have you seen Akarui anywhere? - Sun Dec  6 18:35:18 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Sun Dec  6 20:10:52 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Have...you two...seen Eiyu? - Sun Dec  6 20:10:52 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ... - Sun Dec  6 20:11:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I see... - Sun Dec  6 20:11:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ... - Sun Dec  6 20:11:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Thank...you - Sun Dec  6 20:11:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: He's always so distant and only looking for Eiyu.... - Sun Dec  6 20:13:26 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Sun Dec  6 20:16:00 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Are you trying to talk with uh, Akito? - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Takuma(Brosis55) says: He's pretty anti-social. - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: He understands... - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...I'm antisocial too. - Sun Dec  6 20:22:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Antisocial party? - Sun Dec  6 20:22:49 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Akito is pretty isolated, he doesn't really talk with many people. Once every blue moon, he'll conversate. - Sun Dec  6 20:22:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....Hah. - Sun Dec  6 20:24:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Is that his version of fuck off? - Sun Dec  6 20:24:32 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: So vulgar... - Sun Dec  6 20:25:23 2015
<br><br><font color=teal>*Takuma(Brosis55) says: It's just his version of wanting to be left alone. - Sun Dec  6 20:25:23 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: He knows what's up. - Sun Dec  6 20:26:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Eh, might not be able to wait for him. - Sun Dec  6 20:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Takuma do you train? - Sun Dec  6 20:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Course he trains. - Sun Dec  6 20:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: He's normal. - Sun Dec  6 20:27:56 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: Social interaction qouta met. - Sun Dec  6 20:27:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeah, I train. - Sun Dec  6 20:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Well, I was wondering if you wanted to train before I left... but also I was wondering if you'd make sure Sogeki trains while I'm gone. - Sun Dec  6 20:31:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He doesn't train at all apparently. - Sun Dec  6 20:32:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Sun Dec  6 20:32:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: That's sort of cute. - Sun Dec  6 20:32:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sun Dec  6 20:32:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Well, Sogeki is pretty strong. - Sun Dec  6 20:32:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...I kick his ass all the time. - Sun Dec  6 20:33:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sun Dec  6 20:33:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Word? - Sun Dec  6 20:33:04 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ...Un..true... - Sun Dec  6 20:33:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Akito-san that time doesn't count. - Sun Dec  6 20:33:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He used his poison. - Sun Dec  6 20:33:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo, string? - Sun Dec  6 20:33:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What kind of string? - Sun Dec  6 20:33:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....all he has to do is cut me -once- with the poison and I've lost. - Sun Dec  6 20:33:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: --- - Sun Dec  6 20:33:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Like, do you mean wires? - Sun Dec  6 20:34:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Crafty string. - Sun Dec  6 20:34:46 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Sun Dec  6 20:34:46 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ....It came from...inside of her mouth... - Sun Dec  6 20:34:46 2015
<br><br><font color=teal>*Takuma(Brosis55) says: --- - Sun Dec  6 20:34:46 2015
<br><br><font color=teal>*Takuma(Brosis55) says: So you're a spitter? - Sun Dec  6 20:34:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't know what that  means. - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: But. - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It's just chakra. - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I see. - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Anyway... - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You never asked to train with me... or teach me... so I assumed you didn't want to. - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So at the very least can you make sure he trains? - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh me? - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...uh yeah. - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I always make sure he trains. I even give him my jutsu scrolls. - Sun Dec  6 20:37:20 2015
<br><br><font color=teal>*Takuma(Brosis55) says: But if you want teachings, then I can teach you. - Sun Dec  6 20:37:20 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Man, I was actually looking for a Parthner. - Sun Dec  6 20:39:02 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hey, Ari-chan, Taco-san. - Sun Dec  6 20:39:02 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Taco? - Sun Dec  6 20:39:02 2015
<br><br><font color=teal>*Takuma(Brosis55) says: WHO THE FUCK IS TACO?! - Sun Dec  6 20:39:02 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Your new nickname. - Sun Dec  6 20:39:02 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: It was that.. - Sun Dec  6 20:39:02 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: OR... - Sun Dec  6 20:39:02 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Titduck. - Sun Dec  6 20:39:02 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I want the nickname Titduck. - Sun Dec  6 20:39:53 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Alright. - Sun Dec  6 20:39:53 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Either of you up for a spar? - Sun Dec  6 20:39:53 2015
<br><br><font color=teal>*Takuma(Brosis55) says: You up for wrestling this dick? - Sun Dec  6 20:40:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: omit - Sun Dec  6 20:40:44 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Weeelll, I just wanted to prove. - Sun Dec  6 20:42:27 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: You won't get me twice with that technique of yours. - Sun Dec  6 20:43:18 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I can teach you a thing or two, if you have the required elements for my teachings atleast. - Sun Dec  6 20:43:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....technique? - Sun Dec  6 20:45:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Oh right, you are all elemental stuff. - Sun Dec  6 20:45:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yep. - Sun Dec  6 20:46:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What elements? - Sun Dec  6 20:47:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Katon, and Doton. - Sun Dec  6 20:47:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...wait, what am I saying. - Sun Dec  6 20:47:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't know my elements. - Sun Dec  6 20:47:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm. . . - Sun Dec  6 20:47:34 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Er...Realy? - Sun Dec  6 20:47:34 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: really* - Sun Dec  6 20:48:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oh... okay. - Sun Dec  6 20:49:16 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Eh.. - Sun Dec  6 20:50:59 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: There is always. - Sun Dec  6 20:50:59 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: The leaf in water. - Sun Dec  6 20:50:59 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Trick. - Sun Dec  6 20:50:59 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Ari-chan, How've you been?\ - Sun Dec  6 20:53:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm alright, how are your taste buds? - Sun Dec  6 20:53:32 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Recovered. - Sun Dec  6 20:54:24 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I've learned my lesson. - Sun Dec  6 20:54:24 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ....How...do you...not know..your elemental..affininty.... - Sun Dec  6 21:22:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Hm. - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uh... - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean, that wasn't the focus of any of my training. - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: ....! - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Ari... - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Yeah? - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: -chan. - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Personal.... - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Question.. - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Can you....Climb up walls..? - Sun Dec  6 21:26:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... is that a real question? - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ... - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I can..... - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: .....Not really. - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: But I meant. - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't know suimen. - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Like... - Sun Dec  6 21:28:32 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Sun Dec  6 21:28:32 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: How.... - Sun Dec  6 21:28:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Sun Dec  6 21:28:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: That's kind of racist. - Sun Dec  6 21:29:23 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Suime...is something...basic... - Sun Dec  6 21:29:23 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: That'd be pretty cool in all honesty. - Sun Dec  6 21:29:23 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... I'm not all knowing, Akito-san. - Sun Dec  6 21:30:14 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I don't know Suimen Either. - Sun Dec  6 21:30:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And no.. I do not climb up the wall like that. - Sun Dec  6 21:30:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: I could probably. - Sun Dec  6 21:30:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Just have to apply webs to the wall. - Sun Dec  6 21:30:14 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Sun Dec  6 21:31:05 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I...can...teach..you both... - Sun Dec  6 21:31:05 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm.. - Sun Dec  6 21:31:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... you sure? - Sun Dec  6 21:34:30 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ....Why...not... - Sun Dec  6 21:36:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Alright, sure. - Sun Dec  6 21:37:04 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Come...with me... - Sun Dec  6 21:37:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hello Raikage-sama. - Sun Dec  6 22:21:26 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hello, Kari-San. - Sun Dec  6 22:21:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: San... - Sun Dec  6 22:22:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Hmph. - Sun Dec  6 22:22:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: He never calls me san. - Sun Dec  6 22:22:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Lucky I was in Kumogakure I guess. - Sun Dec  6 22:24:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: In two years. - Sun Dec  6 22:24:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Time. - Sun Dec  6 22:24:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will be stepping down. - Sun Dec  6 22:24:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Sun Dec  6 22:24:51 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm... - Sun Dec  6 22:24:51 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Why's that? - Sun Dec  6 22:24:51 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Several factors including. - Sun Dec  6 22:25:42 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kumogakure needs it's best to lead the village, and I am not that man anylonger. I've built it up from dust. - Sun Dec  6 22:26:33 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But now. - Sun Dec  6 22:26:33 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Someone more deserving. - Sun Dec  6 22:27:24 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Is needed. - Sun Dec  6 22:27:24 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Well... - Sun Dec  6 22:28:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Are you going to retire when that time comes? Or still be a shinobi? - Sun Dec  6 22:28:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will still be a shinobi. - Sun Dec  6 22:28:16 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I see, But if you aren't deserving shouldn't that motivate you to do better? - Sun Dec  6 22:28:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I didn't become the Raikage out of desire. - Sun Dec  6 22:28:16 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I did it because I had to. - Sun Dec  6 22:29:07 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I am not deserving of such a title, not yet. - Sun Dec  6 22:29:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: That means someone else will know details of my mission...or possibly not like them... crap. - Sun Dec  6 22:30:49 2015
