<br><font color=teal>*Haruna(ZenoKuthric) says: ye - Mon Oct  5 01:10:49 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: You sure do preach... - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Preach a lot about Kenshin. - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . . Hey. - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Ma-- - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Ah? - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Another recruit. - Mon Oct  5 03:11:08 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Welcome. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Yeah, I'm willing to do about anything for the price. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: For a price. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: So you're a mercenary. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I approve. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Does one million sound fine to you? - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . . Absolutely perfect. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I hope you're strong. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: ... - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: I'd think so. - Mon Oct  5 03:12:00 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'm glad. - Mon Oct  5 03:12:51 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I wouldn't care enough for you if you were weak. - Mon Oct  5 03:12:51 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I'll test if he's weak. - Mon Oct  5 03:12:51 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: If you'd like. - Mon Oct  5 03:12:51 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: And maybe you could release the seal. - Mon Oct  5 03:12:51 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Go ahead and fight him. - Mon Oct  5 03:13:42 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'd like to see his ability firsthand. - Mon Oct  5 03:13:42 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: You don't mind, do you? - Mon Oct  5 03:13:42 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . . No problem. - Mon Oct  5 03:13:42 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: No holding back? - Mon Oct  5 03:13:42 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: If that's okay with your leader. - Mon Oct  5 03:14:33 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: HE. - Mon Oct  5 03:14:33 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Is not my leader. - Mon Oct  5 03:14:33 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Go ahead. - Mon Oct  5 03:14:33 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: No holding back. - Mon Oct  5 03:14:33 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: If you lose to the man here. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: You might not be useful enough to me. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: But if you win without taking a single hit. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I'll think about an extra pay. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Towards you, of course, new recruit. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Sin'ichi is my name. - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: If I win, release the seal? - Mon Oct  5 03:15:24 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: They just keep fucking appearing. - Mon Oct  5 03:16:16 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) thinks: Just stop, Holy fuck. - Mon Oct  5 03:16:16 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Sin'ichi. - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: If you win, I'll release your seal. - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: My seal? - Mon Oct  5 03:17:07 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Sin'ichi, if you were to win, you'd receive extra pay. - Mon Oct  5 03:17:58 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Kohaku, if you were to win, you can get your seal released. - Mon Oct  5 03:17:58 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I think the bets are high for -both- of you. - Mon Oct  5 03:17:58 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: No reason for either of you to fall back. - Mon Oct  5 03:17:58 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: /// - Mon Oct  5 03:18:49 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Kohaku, Sin'ichi. - Mon Oct  5 03:19:40 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: Go on and start your fight outside in the arena. - Mon Oct  5 03:19:40 2015
<br><br><font color=teal>*Taiga, Edge(RuinousAnchor) says: I have business to speak of with a new potential supporter. - Mon Oct  5 03:20:32 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Okay . . . - Mon Oct  5 03:20:32 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Hmph. - Mon Oct  5 03:20:32 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) began a slow trot towards the exit, and if not met with an impediment, proceeded to the designated arena.* - Mon Oct  5 03:21:23 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Alright guy. - Mon Oct  5 03:22:14 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: How strong are you? - Mon Oct  5 03:23:05 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: Pretty strong, I guess. - Mon Oct  5 03:23:05 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Right. - Mon Oct  5 03:23:05 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: What about you? - Mon Oct  5 03:23:05 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: I'm weak. - Mon Oct  5 03:23:05 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: But I'll have to beat you. - Mon Oct  5 03:23:05 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: To get this seal off my chest. - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . . If you pay me money, I can just say you won. - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: How much? - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: How much do you have on your person? - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Ninety-six thousand. - Mon Oct  5 03:23:56 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: . . . Not enough. We'll just settle it the normal way, then. - Mon Oct  5 03:24:48 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: Right. - Mon Oct  5 03:24:48 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) assumed a callous stance, while withdrawing three scrolls in near simultaneuity, throwing one in the space above him, while holding two within his arms; small tinges of chakra were exonerated throughout theses vessels, encompassing his person with a plume of smoke within a moment's grasp.

Sin'ichi could then be seen withdrawing himself from the smog, accompanied by three bodies, towards which his hands were extended. Chakra perceptive individuals might see threads of chakra extended from his tips. Attention still affixed to the female, he began his strikes.

As the intentions of the female were apparent - to flank to his right side, one of the puppets suddenly moved forth in this direction. Should she proceed with her attacks, four of its arms would be raised in response; the rapid motion produced allowed for the short blades within its arms to function similarly to that of a buzzsaw - with obvious effects on the woman's leg, should she proceed witih her attack.

While doing this, even if the woman hadn't proceeded with her attack, the puppet simply shifted its faces, and the mouth facing the attempted attacker was opened, shooting forth with it a violent flamethrower - packed with enough intensity to turn rocks to moltenize materials. During the middle of this, Sin'ichi moved some distance away from the direct central fray.

Proceeding with this, the other two of his puppets attemptedly flanked either side of the woman - the macabre-esque puppet appearing to her left, while the one marked with a triablesque appearance was at her right. The puppet at her right launched forth a single one of its arms, armed with a sword in-hand, attempting to pierce her corresponding thigh - only if she moved out of the flamethrower's range.

The other simply shot forth a black smog from its right hand towards her position, regardless of if she moved or not, attemptedly hindering her and thereby locking her into place.* - Mon Oct  5 03:46:08 2015
<br><br><font color=yellow>*Sin&#39;ichi(Ras Trent) eyed the woman, as she predictably veered around the puppet - with intention to appear at its rear; however, as she aimed a strike for the puppet's face, which it hadn't an intention to dodge, it simply produced a jet-forced pumping of water, tweened to such a pressure that it could cut through rocks. This force was attemptedly applied to the woman's ribcage, with possibly serious internally damaging consequences if connected. Should she bare through the water's force, and manage to hit the puppet, would be pushed backwards by the damage, bearing a light chip on one of its faces as a result.

The other puppets quickly moved in unison to this action - the tiki-masked puppet readjusting its action, such that it released an adhesive substance towards the woman as well - its span being spread forth with the assistance of the water, attemptedly sprawling it across the woman's person. The other puppet simply retreated to its master, in case any further attempts at bolting directly towards him were made.
* - Mon Oct  5 04:10:52 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: You don't have enough money. - Mon Oct  5 04:21:07 2015
<br><br><font color=teal>*Kohaku(JustCallMeGromp) says: *Sigh* - Mon Oct  5 04:21:58 2015
<br><br><font color=teal>*Sin&#39;ichi(Ras Trent) says: If you're not going to continue, I'll assume that's a forfeit. - Mon Oct  5 04:21:58 2015
