<br><font color=teal>*Uchiha, Mitarashi(Maruka) says: It's worth a shot. - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Sogeki. - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: We mask the seal for the trigger behind a bunch of words. - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: I need to teach you Shadow Clone jutsu, when you have time. - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: (This nigga Sanoke suppose to be here rn?) - Wed Dec  9 02:35:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: (Not that I know of.) - Wed Dec  9 02:36:35 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: Sogeki. . . - Wed Dec  9 03:06:27 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: If he decides to meet with him in the middle. - Wed Dec  9 03:06:27 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: We're going inside my toad. - Wed Dec  9 03:06:27 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: And I want you to ready arrows. - Wed Dec  9 03:06:27 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: Do you understand? - Wed Dec  9 03:09:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Sooo - Wed Dec  9 03:09:52 2015
<br><br><font color=yellow>*Takuma(Brosis55) performed several hand signs, kneading chakra in his body's system for a short while. After he completed the hand signs, he held the last one. He reached into his back pouch and took out a smoke bomb, he released it from his hand. "Oops. . " was all he uttered. The smoke bomb, he used it as cover for what he was going to perform. 

Takuma slammed his palm against the grounds surface. A small dark green toad appeared. It opened it's maw, and sucked Takuma into it, but before he went inside the toad, he grabbed Sogeki's wrist, dragging him into the toad along with him. 

The small toad, hopped its way toward Eiyu, climbing its way onto the young male's shoulder. It croaked. Once the smoke subsided, it seemed as if Takuma and Sogeki magically vanished. * - Wed Dec  9 03:17:32 2015
<br><br><font color=yellow>*Takuma(Brosis55) ||
The frog opened it's maw, and out came Takuma and Sogeki.

"Well, that was interesting."* - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: What happened? - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kumogakure is free. - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: .... - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We've won. - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: That's great. - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I wouldn't. .  - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Celebrate just yet. - Wed Dec  9 03:32:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I know. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We will take this . - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Time. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What if this is all an act. . - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: To turn this place into a fortress. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: It probably is. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: After all. . . - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Why did they just give up? - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Takuma(Brosis55) says: It's ust a piece of paper. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Let us begin the construction effort. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We will no longer be passive. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: War has changed me. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: People understand power more than anything. - Wed Dec  9 03:32:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: If so, we will give them a display they will never forget. - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kunai Launcher's begin. - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Now. - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: I was going to have us hop out of the toad, and you ready your arrows and give the dude a headshot. - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: But my question is. - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Why did they just give up? - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: They did not wish to fight forever. - Wed Dec  9 03:33:45 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: So they march here. - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Either way... - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Get their troops killed for nothing..... - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: We should set up outposts. - Wed Dec  9 03:35:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Indeed. - Wed Dec  9 03:36:19 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Were you able to find out anything regarding purchasing a sword? - Wed Dec  9 03:37:10 2015
<br><br><font color=teal>*Takuma(Brosis55) whispers: Shame we couldn't perform it. - Wed Dec  9 03:38:01 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I will. - Wed Dec  9 03:38:01 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Now. - Wed Dec  9 03:38:01 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: I know there is a blacksmith in . - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sunagakure. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But I will give it a bit. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Yeah I've met him. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: He's...Eh. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I wouldn't trust him. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We need to hire our own blacksmith. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Only fifty kills.. - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: That's all I got..? - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Out of the massive amount of troops they had!? - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: FIFTY!? - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: ...I'm pathetic... - Wed Dec  9 03:38:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I need to step my game up! - Wed Dec  9 03:39:44 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I ain't kill a single one. Can I get my heroic perk, and pull a kronos? -omit- - Wed Dec  9 03:39:44 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) thinks: Multiply that by 5 and you got like..... 250 kills - Wed Dec  9 03:39:44 2015
<br><br><font color=yellow>*Takuma(Brosis55) patted Sogeki on the back.

"Cheer up, yo." he stated this, and placed his hands in his robe pockets. A smile formed on his face. "Freedom." was all he said. He diverted his gaze toward the Raikage.* - Wed Dec  9 03:52:32 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Eiyu. - Wed Dec  9 03:53:23 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hm? - Wed Dec  9 03:53:23 2015
<br><br><font color=teal>*Takuma(Brosis55) says: When you have time, think you could teach me Shunshin? - Wed Dec  9 03:54:14 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Atleast you got kills man. - Wed Dec  9 03:55:05 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I got zero. - Wed Dec  9 03:55:05 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Hey fag. - Wed Dec  9 04:00:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: What's happened so far? - Wed Dec  9 04:00:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck you. - Wed Dec  9 04:00:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We're Free. - Wed Dec  9 04:00:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: So we're warring? - Wed Dec  9 04:00:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: We kill the Hokage? - Wed Dec  9 04:00:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: No. - Wed Dec  9 04:01:04 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: The fuck are we waitin' for? - Wed Dec  9 04:01:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Sunagakure decided to do a peace treaty. - Wed Dec  9 04:01:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: But I mean. - Wed Dec  9 04:01:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: We can go fuck them up. - Wed Dec  9 04:01:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Right now. - Wed Dec  9 04:01:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: If you want. - Wed Dec  9 04:01:04 2015
