<br><font color=yellow>*Katsune(Shimizu3598) picks up the glass and eyes it absent-mindedly for a while as she speaks.

"Never wearing a headband again. I get restless sometimes though. Been to war. . .been forced to kill a lot of people. That made me restless." she says, careful to not say "bloodthirsty."

She reaches up to pour tea into her mouth. Eyes wander while she sips, visibly gulping once or twice. Her glass is emptied by an inch or two, showing that she really did drink it.

She sets the glass down afterwords.* - Sun Oct  4 05:23:50 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Sixteen and life forced me to start talking like a politian. . . - Sun Oct  4 05:26:24 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) || "You'd be surprised." she says, eyeing the glass.

"When people beat you....day after day...threaten to kill you if you step out of line. You learn to use the right words...and only the right words. To make sure no one misunderstands you...because a misunderstanding can mean death."* - Sun Oct  4 05:29:48 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's why. . . - Sun Oct  4 05:30:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Erebus thought I was playing him. - Sun Oct  4 05:30:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm good with words. I'm good at coercing people. - Sun Oct  4 05:30:40 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Never manipulated him though. Never. . .lied. - Sun Oct  4 05:30:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You're one who simply tried to voice her way.. - Sun Oct  4 05:32:22 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) lifts an eyebrow, making eye contact.* - Sun Oct  4 05:32:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Erebus has already threaten to kill me once because I did not understand his ..Religion.. - Sun Oct  4 05:32:22 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I...only ever used my talent to keep him from killing me. Nothing else. - Sun Oct  4 05:32:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But I do understand where you are coming from.. - Sun Oct  4 05:32:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well, now you are free. - Sun Oct  4 05:33:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Do you feel free? - Sun Oct  4 05:33:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Truly? - Sun Oct  4 05:33:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I do. Very free. Never felt so relaxed in my life. Don't have to jump at shadows anymore. - Sun Oct  4 05:33:13 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: -- 'Course, come to think of it. - Sun Oct  4 05:34:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Still some people that wanna kill me. - Sun Oct  4 05:34:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It's funny. I still feel safe. - Sun Oct  4 05:34:04 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I've dodged so many bullets now that I'm not afraid of anything other than immortals and Kenshin. - Sun Oct  4 05:34:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'm still surprised you accepted this offer and time to talk. - Sun Oct  4 05:35:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Most wouldn't take the risk with me. - Sun Oct  4 05:35:47 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Why's that? - Sun Oct  4 05:35:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Zen can easily mix in poison with my herbs...A single touch of my being can end in your body melting down...I can have something planned... - Sun Oct  4 05:37:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But none of that is true. - Sun Oct  4 05:37:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ...? - Sun Oct  4 05:37:29 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) lifts an eyebrow. She stares.* - Sun Oct  4 05:37:29 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I knew you might've poisoned the tea. - Sun Oct  4 05:37:29 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I've always tried to avoid major conflict by talking things out over tea, even with Zetsumo.. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: And you still took the risk?...Brave. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I like that. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not gonna lie to you with a smile on my face. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Even if I died, the town would connect the dots. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm.. - Sun Oct  4 05:39:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Let's say we do this again some time..Perhaps Zen along with us so y' don't feel so alone. - Sun Oct  4 05:40:03 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Or assume its a date haha.. - Sun Oct  4 05:40:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Maybe. - Sun Oct  4 05:40:03 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That is, if I'm around, and free at the time. - Sun Oct  4 05:40:54 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yes.. In the mean time though. - Sun Oct  4 05:40:54 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Perhaps we should go?...You've probably grown bored. - Sun Oct  4 05:40:54 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Yeah. Only stayed because you offered me tea. - Sun Oct  4 05:41:45 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) rises to her feet. Eyes wander off. Arms rest behind her back, with one hand holding the opposite arm. A submissive gesture, rather than the much more formal variant of that body language.* - Sun Oct  4 05:42:36 2015
<br><br><font color=yellow>*Katsune(Shimizu3598) remains where she is, as she'd rather not appear eager to leave. Eyes are averted when she says "I'll be traveling...but. I can't say details. Trust or no trust....I'm a shinobi. Gotta have secrets."
* - Sun Oct  4 05:50:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Could've lied to you. Didn't. - Sun Oct  4 05:50:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: But literally only traveling. - Sun Oct  4 05:51:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm..I see.. You'll see a lot of the world then, much like I did and learn from it. - Sun Oct  4 05:51:08 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Feels like I already have. Five years a slave. - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Move on from that five.. - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You have a life of freedom now. - Sun Oct  4 05:52:51 2015
