<br><font color=teal>*Hassan, Trilliam(ZaVante) says: How have you been? - Tue Dec  8 02:13:58 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Good - Tue Dec  8 02:18:14 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Hey, Kyu~ - Tue Dec  8 02:18:14 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Thats awesome i got put on another missing persons  case. - Tue Dec  8 02:19:05 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: It sucked so bad. - Tue Dec  8 02:19:05 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Wait...is it a person in the northern district of Suna? - Tue Dec  8 02:19:05 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Huh yeah... - Tue Dec  8 02:19:05 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Go find someone with superior chakra sensing or one of Mirai's family. They're the only ones that can see the culprit. - Tue Dec  8 02:19:56 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Yo. - Tue Dec  8 02:19:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Yeah. - Tue Dec  8 02:19:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Had Koji with us. - Tue Dec  8 02:19:56 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Killed this guy in the basment he was creppy. - Tue Dec  8 02:20:48 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Hope you find the rest of them. - Tue Dec  8 02:20:48 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ivel sup. - Tue Dec  8 02:20:48 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Who'd you kill? - Tue Dec  8 02:20:48 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Yeah we  are looking for a lead. - Tue Dec  8 02:21:39 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: On name kept coming up Nemsis. - Tue Dec  8 02:21:39 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: .. - Tue Dec  8 02:21:39 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Have you heard of it before? - Tue Dec  8 02:21:39 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ivel it was some creppy guy on a misiion. - Tue Dec  8 02:21:39 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Like it was either him or us. - Tue Dec  8 02:22:30 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Oh. - Tue Dec  8 02:22:30 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Weirdos. - Tue Dec  8 02:22:30 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Crazy. - Tue Dec  8 02:27:37 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: So Ivel hows working for the Hokuma going for you? - Tue Dec  8 02:27:37 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: It goes. - Tue Dec  8 02:34:27 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: I plan to take some time off and go to the Labirynth. - Tue Dec  8 02:35:18 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Tue Dec  8 02:50:40 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Yeah your dad said I coulndt go. - Tue Dec  8 02:50:40 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Becuase the village might need me. - Tue Dec  8 02:50:40 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Consequences of good deeds. - Tue Dec  8 03:00:54 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: All i see is paperwork in my futrue my advice Ivel stay genin long as you can. - Tue Dec  8 03:02:36 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Hehe. - Tue Dec  8 03:03:28 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Chuunin sounds good enough. - Tue Dec  8 03:03:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anyone seen Koji? - Tue Dec  8 03:16:16 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm.Koji. - Tue Dec  8 03:19:40 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Last i seen of him he was on the traning field. - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hi chikyu. - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Left him there with the only kid in Lighting school. - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: And the lastesst Entarnt into Earth school. - Tue Dec  8 03:20:32 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Thanks Sanoke, *she then turned to Momu* hey where you been! - Tue Dec  8 03:22:14 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Training with sanoke.. - Tue Dec  8 03:22:14 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..where a-are you going c-chikyu? - Tue Dec  8 03:23:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Tue Dec  8 03:25:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I was wondering if y-you wanted to spar. - Tue Dec  8 03:25:39 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Later. - Tue Dec  8 03:25:39 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Ahh, alright I guess, though I don't know where he ran off to.. - Tue Dec  8 03:26:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Tue Dec  8 03:27:21 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Lets go Asin, we'll ask Sanoke if you can help. - Tue Dec  8 03:35:02 2015
<br><br><font color=teal>*Asin(Thanatoz) says: Okay - Tue Dec  8 03:35:02 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Quiet day.. - Tue Dec  8 03:36:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hellloooo, peeopple./ - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys okay? - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Yup - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Mai(Fat Trel) says: Hm... - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: I guess. - Tue Dec  8 03:53:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Well you all are quiet as hell. - Tue Dec  8 03:54:40 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmmm. - Tue Dec  8 03:55:31 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Normal? - Tue Dec  8 03:56:22 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: iom fine. - Tue Dec  8 03:56:22 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Its looking like. - Tue Dec  8 03:57:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No one needs me for anything? - Tue Dec  8 03:57:13 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ill have to do opertion get rich by myslef. - Tue Dec  8 03:57:13 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Not unless you know some super cool jutsus I can learn~ - Tue Dec  8 03:58:04 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Whats with you guys. - Tue Dec  8 04:00:38 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Always wanan learn something new but can barley do what you do. - Tue Dec  8 04:00:38 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Where is the logic in that. - Tue Dec  8 04:00:38 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: I can do what I do just fine. - Tue Dec  8 04:01:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do what you do? - Tue Dec  8 04:04:54 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Oh my lighitng stuff. - Tue Dec  8 04:05:45 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Me....di....ocire. - Tue Dec  8 04:11:44 2015
<br><br><font color=teal>*Mai(Fat Trel) thinks: Where is he... - Tue Dec  8 04:11:44 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: .... Wha? - Tue Dec  8 04:12:35 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Be like me guys. - Tue Dec  8 04:12:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I don't understand. - Tue Dec  8 04:12:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What you all are saying. . At all. - Tue Dec  8 04:12:35 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: I've got the strongest fire ninjutsu! - Tue Dec  8 04:12:35 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Train, train, train. - Tue Dec  8 04:13:26 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Tue Dec  8 04:13:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Pfft. Izanami's stronger. - Tue Dec  8 04:13:26 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Or be born a genius. - Tue Dec  8 04:13:26 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Sike. - Tue Dec  8 04:13:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Definitely is. - Tue Dec  8 04:13:26 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: The lies you tell. - Tue Dec  8 04:13:26 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: hmm - Tue Dec  8 04:14:17 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: *Flips a coin* - Tue Dec  8 04:14:17 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: That sounds like a challenge. - Tue Dec  8 04:14:17 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Actually Boss I think Ivel would win. - Tue Dec  8 04:14:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: LEra's Katon. - Tue Dec  8 04:14:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Is probably stronger too. - Tue Dec  8 04:14:17 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hrm..? - Tue Dec  8 04:15:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Third place isn't so bad, though. kiddo. - Tue Dec  8 04:15:08 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Aunt Lera Needs to take over Earth school. - Tue Dec  8 04:15:08 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: She is way better at it than me. - Tue Dec  8 04:15:08 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh... - Tue Dec  8 04:15:08 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Sike. - Tue Dec  8 04:15:08 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Lera couldn't burn her way out of a paper bag. - Tue Dec  8 04:15:08 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Tue Dec  8 04:15:08 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Besides, my flames look cooler~ - Tue Dec  8 04:16:00 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I take exception to that... - Tue Dec  8 04:16:00 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Blah blah blah.  - Tue Dec  8 04:16:00 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Ooooooh that dude's about to get whooped by Auntie Lerie~ - Tue Dec  8 04:16:51 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You're lucky I don't care about provocation kid.. - Tue Dec  8 04:17:42 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Blah blah blah. - Tue Dec  8 04:17:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hahah! - Tue Dec  8 04:17:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Compared to Lera's and Izanami's.. - Tue Dec  8 04:17:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Your fire is lukewarm. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ice cold even! - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Guarantee it's better. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Two-hundred thousand ryo says it isn't. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yen* - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Three hundred. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Two-fifty. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Money - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: from where. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Is this money ocming from. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . Clearly my own pocket. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: This god damn lochness monster. Dressed up as sanoke, tryna get two fitty. - Tue Dec  8 04:18:33 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Omit - Tue Dec  8 04:19:24 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I been around here broke. - Tue Dec  8 04:19:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I wouldn't go around spinning village's funds. - Tue Dec  8 04:19:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: .. - Tue Dec  8 04:19:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Spending. <*Coughs*> - Tue Dec  8 04:19:24 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Sounds like an agni ka-..Fire competition is in order! - Tue Dec  8 04:19:24 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Tue Dec  8 04:20:16 2015
<br><br><font color=teal>*Mai(Fat Trel) says: .... - Tue Dec  8 04:20:16 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Can save it for the festvile. - Tue Dec  8 04:21:07 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Fire isn't even my speciality *yawn* - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Which is why you'd lose, see. Easy, now it's just me and Iza. - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Oh no, I didn't say I wasn't good at it. - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Just that its not my speciality. - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: If it's not your speciality then it's no point, you'd definitely lose. - Tue Dec  8 04:22:49 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: If you want to think like that *shrug* - Tue Dec  8 04:23:40 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: It's ok, Lera. We can't all be fire gods.  - Tue Dec  8 04:23:40 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You know well enough that I specialise in all of the elements. not just one. - Tue Dec  8 04:23:40 2015
<br><br><font color=teal>*Ivel Ryujin(B V L G A R I) says: Blah blah blah. But you aint a fire god. - Tue Dec  8 04:24:32 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ohh I wanan be the god of lighting. - Tue Dec  8 04:25:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Borin' day. - Tue Dec  8 04:27:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If anyone can do it, I'm sure you can. - Tue Dec  8 04:27:05 2015
<br><br><font color=teal>*Iwako(Punkamainia) says: Deduction from RPP TOMK - Tue Dec  8 04:38:11 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Tue Dec  8 04:46:43 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Its so clam around here. - Tue Dec  8 04:46:43 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: TO calm - Tue Dec  8 04:46:43 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Wait where those babies come from. - Tue Dec  8 04:46:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: 9Err. Mirai* - Tue Dec  8 04:50:59 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Sanoke we're done! - Tue Dec  8 04:57:48 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Tue Dec  8 04:59:31 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Oh wow look at the little ankle biters. - Tue Dec  8 05:10:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mine! - Tue Dec  8 05:19:08 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Cool. - Tue Dec  8 05:20:00 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Like will they get mini shells? - Tue Dec  8 05:20:00 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ohhh and mini shades. - Tue Dec  8 05:20:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . .  - Tue Dec  8 05:20:51 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That's a genius idea. - Tue Dec  8 05:20:51 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Oh geeze - Tue Dec  8 05:21:42 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ha I knew I was  genius. - Tue Dec  8 05:26:49 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Wow so looks like your gonna be super busy now Boss. - Tue Dec  8 05:27:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Hng. Already busy enough.. - Tue Dec  8 05:30:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hello everyone. - Tue Dec  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: CHILDREN?! - Tue Dec  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: They are babies! - Tue Dec  8 05:31:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh wow. - Tue Dec  8 05:32:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Time flies.. - Tue Dec  8 05:32:48 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Iza.. Look - Tue Dec  8 05:32:48 2015
<br><br><font color=teal>*Hokuma, Babi(JustTheTip) thinks: I know that you are not mother. I simply want your tits bitch. - Tue Dec  8 05:34:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Same. - Tue Dec  8 05:38:46 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Playin' with my baby. - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Chikyu Kasanari(TempusKing) says: Let it sleep, Sanoke... Jeez... you really need your mommy don't you dear. - Tue Dec  8 05:44:44 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: OI. - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Hokuma, Babi(JustTheTip) says: Gu--ahhhh~ - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Who wants to fight? - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Menia. . . - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Stop that shit. - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Nah nah abra. - Tue Dec  8 05:47:18 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 05:47:18 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I'm bored - Tue Dec  8 05:47:18 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Do I need to punish you? - Tue Dec  8 05:47:18 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Later. - Tue Dec  8 05:47:18 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 05:47:18 2015
