<br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) extends his hand anyway.* - Tue Dec  8 05:42:11 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: .... - Tue Dec  8 05:43:02 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: That looks painful. - Tue Dec  8 05:43:02 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Nothing happens, weird? He was himself? Fucking shocker.* - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Alright go in. - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) thinks: Better not poke me. - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) thinks: Little ass girl. - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Extend your hand. - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Menia. - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Do it. - Tue Dec  8 05:43:53 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Damn. I didn't know a fucking booty call would be so hard. - Tue Dec  8 05:44:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I swear to beans. . . .  - Tue Dec  8 05:44:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay, go ahead and go in.  - Tue Dec  8 05:45:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Thanks. - Tue Dec  8 05:45:36 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: To fucking warm here. - Tue Dec  8 05:45:36 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I'ma go fight someone. - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: OI. - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Hokuma, Babi(JustTheTip) says: Gu--ahhhh~ - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Who wants to fight? - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Menia. . . - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Stop that shit. - Tue Dec  8 05:46:27 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Nah nah abra. - Tue Dec  8 05:47:18 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 05:47:18 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I'm bored - Tue Dec  8 05:47:18 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Do I need to punish you? - Tue Dec  8 05:47:18 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Later. - Tue Dec  8 05:47:18 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 05:47:18 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) Suddenly did two hand seals.* - Tue Dec  8 05:47:18 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: Last time I checked, she listened. - Tue Dec  8 05:47:18 2015
<br><br><font color=yellow>*Kurina, Abraxas(Chaos Commander2015) being faster with seals, and having a good deal of reflexes, he'd dodge and finish it.* - Tue Dec  8 05:49:00 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Stop being silly. - Tue Dec  8 05:49:00 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Abra you wanna get the hands tonight? - Tue Dec  8 05:49:00 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 05:49:00 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: We're fighting. - Tue Dec  8 05:49:00 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Let's go. - Tue Dec  8 05:49:00 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: You're lame. - Tue Dec  8 05:49:52 2015
