<br><font color=teal>*Muhhamed Hassan(Ziare1) says: And wouldn't have endangered any. - Sun Nov  1 10:34:27 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He just enjoys killing. - Sun Nov  1 10:35:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So I'll make sure he suffers before he suffer some more in hell. - Sun Nov  1 10:35:18 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: AH! - Sun Nov  1 10:35:18 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Got eeem! - Sun Nov  1 10:35:18 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: -omit- - Sun Nov  1 10:35:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Sun Nov  1 10:35:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Eh. I'd just end him. But whatever gets the job done. - Sun Nov  1 10:36:09 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: You thought I was done?! HA! Dumb Asses! I praise the lord always! - Sun Nov  1 10:36:09 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) presses a hand against the defeated Demon.

A few moment's go by, before his soul is literally ripped out and stored away.* - Sun Nov  1 10:37:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: ENough of that.. - Sun Nov  1 10:37:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I don't care what he is. - Sun Nov  1 10:37:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No one lives with their head cut off. - Sun Nov  1 10:37:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Even demons die. - Sun Nov  1 10:37:52 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Put me back there on my body! So that I can properly kill you all! - Sun Nov  1 10:37:52 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Where's that Mizora bitch?! - Sun Nov  1 10:37:52 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: I'll kill her too! - Sun Nov  1 10:37:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: --- I'm unsure what to do. Should I seal him away? - Sun Nov  1 10:37:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Or do we keep him around for questioning? - Sun Nov  1 10:38:43 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: N-no.. - Sun Nov  1 10:38:43 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Sealing is a sin... - Sun Nov  1 10:38:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Leave him to the Jackels. - Sun Nov  1 10:38:43 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: YOU FILTHY SINNER! - Sun Nov  1 10:38:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: They'll get a nice free meal. - Sun Nov  1 10:38:43 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Hehmph...I'll never become a memory.. - Sun Nov  1 10:39:34 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: I'll be in your dreams.. - Sun Nov  1 10:39:34 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: You're in my world bitch! - Sun Nov  1 10:39:34 2015
