<br><font color=teal>*Higashi, Nori(Shawn45) says: Why? - Sun Nov  8 01:01:26 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Are you here by yourself? - Sun Nov  8 01:02:17 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Pretty much. . I kinda got lost coming here a few times when I first left Kumogakure. - Sun Nov  8 01:04:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Do you have a place to stay? - Sun Nov  8 01:07:24 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: .  . . Does the hospital count? - Sun Nov  8 01:09:58 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: That's a no. - Sun Nov  8 01:11:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: No. Would you be willing to stay with us? - Sun Nov  8 01:11:40 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Staying with us would have benifits. - Sun Nov  8 01:14:14 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Uhhh. . .Like? - Sun Nov  8 01:23:37 2015
<br><br><font color=teal>*Yumiko(Ekario) says: There's work. - Sun Nov  8 01:40:41 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hmm. . . Alright. - Sun Nov  8 01:59:28 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: So long as I get uh. . no one interrupting me in my, uh. . research. . Yeah. - Sun Nov  8 02:02:01 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: If that works. - Sun Nov  8 02:05:26 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Research..you mean the studying of the plants? - Sun Nov  8 02:07:08 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . Yeah. - Sun Nov  8 02:07:08 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Sure. - Sun Nov  8 02:08:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You'll have your space. - Sun Nov  8 02:08:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: There's no key. Officially we're not even supposed to be here. - Sun Nov  8 02:08:51 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) moved over to the door pressing it open. The inside was neat, but without any form of light source. There would appear to be no form of electricity visible within the house. The faint traces that weren't lit up by the outside would be kept up via candlelight. Without saying another word he'd make a gesture to her to come in, and do the same for himself.* - Sun Nov  8 02:09:42 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Eh. . How come you're not supposed to be here officially? - Sun Nov  8 02:17:23 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I left Konoha as a shinobi to follow my uncle to Kirigakure. - Sun Nov  8 02:20:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Now that he's dead I'm unsure how the hokage will take my departure. - Sun Nov  8 02:21:39 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: . . . I haven't seen him since he gave me the two missions. . So, I don't know.  - Sun Nov  8 02:22:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: That's why it's unofficial. - Sun Nov  8 02:22:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It's also not a place that we have paid for either. - Sun Nov  8 02:22:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We're squatting. - Sun Nov  8 02:22:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We have running water still, however. And food.  - Sun Nov  8 02:28:28 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hmm. . . Do you get bills coming here in regards to the water then? - Sun Nov  8 02:30:11 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Yes and no. This house used to belong to a man named Nozumi.  - Sun Nov  8 02:34:27 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The water was paid well in advance..for another month I'd wager. - Sun Nov  8 02:35:18 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The water bill was paid months in advance. About another month should be left I'd wager. - Sun Nov  8 02:36:09 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Electricity not so fortunate. - Sun Nov  8 02:36:09 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hm. .  How much money do you get? - Sun Nov  8 02:37:00 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *have - Sun Nov  8 02:37:00 2015
<br><br><font color=yellow>*Heiwa(PythonJedi) takes a turn away from Nori, the child himself stepping up to the counter. He'd reach down into a drawer and pull out a rather large wad of cash. It'd number in several tens of thousands in Yen. He'd toss that over to Nori.

"Enough." he states, allowing her to see through it if she wanted.* - Sun Nov  8 02:42:08 2015
<br><br><font color=teal>*Yumiko(Ekario) says: Hmm Nori was it? I could give you an important job right now. One that will pay one thousand but it's a continous job. - Sun Nov  8 02:50:40 2015
<br><br><font color=teal>*Yumiko(Ekario) says: We want you to speak to the Hokage everytime we need you to or desire you to. Not sure what he thinks about us being here but I rather not meet him unless I have to. - Sun Nov  8 02:53:13 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Well, the real question should be if he realized if he left in the first place. I don't really know who you are, however. - Sun Nov  8 02:58:20 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Aside from that. . I just need a few plants to be gathered. That's pretty much all I ask from you guys if you can help with that. - Sun Nov  8 03:12:00 2015
<br><br><font color=teal>*Yumiko(Ekario) says: A few plants huh? Alright then. - Sun Nov  8 03:13:42 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The same type you were talking of earlier? - Sun Nov  8 03:13:42 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Ehhh. . Yeah, and seven more. . I will give you pictures of them that were off of the uh book I was given. - Sun Nov  8 03:16:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Fine. Do you need help with any of the research? - Sun Nov  8 03:18:49 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Ehh, more or less. I only got pictures. - Sun Nov  8 03:33:20 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: With names, of course. - Sun Nov  8 03:34:11 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Didn't you say you worked with one of them? - Sun Nov  8 03:35:02 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Tried it in staunching blood loss? - Sun Nov  8 03:35:02 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And..smoking it? - Sun Nov  8 03:35:02 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Yeah. I had to put my own notes on my own experiments. - Sun Nov  8 03:36:44 2015
