<br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ehh? - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'm not stupid! - Tue Dec  8 12:35:12 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ask me any question and I bet I can answer it. - Tue Dec  8 12:35:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ......are ghosts real? - Tue Dec  8 12:36:03 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Yes. - Tue Dec  8 12:36:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: See? Stupid. - Tue Dec  8 12:36:54 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ehh? If ghosts weren't real, how do we explain our ability to remember the ones that die? Ghosts are example the spooky aspirations! They're the lingering essence of a freed soul! - Tue Dec  8 12:37:45 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: nodded* - Tue Dec  8 12:37:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....we remember because of memories in our -brains-. - Tue Dec  8 12:37:45 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: .......... - Tue Dec  8 12:37:45 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Our bain is only there to make us have a person on the inside of our head. - Tue Dec  8 12:39:28 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Nothing else. - Tue Dec  8 12:39:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ..... - Tue Dec  8 12:41:10 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Wow you are full on mental. - Tue Dec  8 12:41:10 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Do we not have a person in our head? - Tue Dec  8 12:42:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...no. - Tue Dec  8 12:42:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: So you don't talk to someone in your head!? - Tue Dec  8 12:42:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: .......... - Tue Dec  8 12:42:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Am I really stupid..? - Tue Dec  8 12:42:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Oh no! There goes the perso- - Tue Dec  8 12:43:44 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: NO! STOP- - Tue Dec  8 12:43:44 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: HELP! - Tue Dec  8 12:43:44 2015
