<br><font color=yellow>*Ai(Sennalove) wants to join him but ain't it a bitch, Ai can't fly.* - Tue Sep 01 21:59:53 2015
<br><br><font color=yellow>*Ai(Sennalove) was not into the fighting thing even if she heard the word bomb. The others were more capable to take create of such problem so she moves away from them, creating her distance while playing with a sheet of paper..Yes, she was playing with paper.* - Tue Sep 01 22:23:47 2015
<br><br><font color=yellow>*Ai(Sennalove) was still playing with her paper--She was almost finish making a paper bird!* - Tue Sep 01 22:35:44 2015
<br><br><font color=yellow>*Ai(Sennalove) rapes this nigga and give him them nightmares [OMIT]* - Tue Sep 01 23:28:38 2015
<br><br><font color=yellow>*Ai(Sennalove) shook her head no.* - Tue Sep 01 23:31:12 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: So...How much for a all nighter? [Omit] - Tue Sep 01 23:44:51 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: I'll pray, don't worry, show me the goods first though [Omit] - Tue Sep 01 23:45:42 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...? - Wed Oct  7 04:14:17 2015
<br><br><font color=teal>*Ai(Sennalove) says: ....Alot of new faces around. - Wed Oct  7 04:20:16 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Again, the coward runs. - Wed Oct  7 04:27:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Next time he won't be so lucky. - Wed Oct  7 04:27:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..Fucking bastard! - Wed Oct  7 04:28:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: How does this man enter the village and everyone stands by and allows him to walk around! - Wed Oct  7 04:28:48 2015
<br><br><font color=yellow>*Ai(Sennalove) remains still and silent, as much as she wanted to say, she only remembers a few faces from the pack. Instead of trying to talk with them-Assuming they're going to be a little anti-social, she made her way over to the one loud mouth shinobi she knows too well for some info. Pacing off, she made her way towards Yan with a sheet of paper in her hand as if she was playing with such, doing her normal habits basically. 

"Its been a while, what happened to the village while I was...'Sleeping'?"* - Wed Oct  7 04:33:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...We let people who have killed our shinobi in cold blood walk around. - Wed Oct  7 04:34:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That's what happened to this village! - Wed Oct  7 04:34:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's a fucking disgrace. - Wed Oct  7 04:34:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Flexus might have been a shinobi, but he was also only ten years old. - Wed Oct  7 04:35:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He was just a kid. - Wed Oct  7 04:35:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He's a fucking coward. If he hadn't killed Flexus from behind, the ninja would have been killed easily by my comrade. - Wed Oct  7 04:38:11 2015
<br><br><font color=teal>*Ai(Sennalove) says: ....Other than that?---Where is sensei? - Wed Oct  7 04:38:11 2015
<br><br><font color=teal>*Ai(Sennalove) says: .... - Wed Oct  7 04:39:53 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Someone here knows. - Wed Oct  7 04:39:53 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: No idea. - Wed Oct  7 04:39:53 2015
<br><br><font color=teal>*Ai(Sennalove) thinks: I swear I'm going to bind him.. - Wed Oct  7 04:40:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: (Wait up. i got Mirai's info. gonna log into her account to get her handled and ish - Wed Oct  7 04:42:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No idea who that guy even is. - Wed Oct  7 04:44:09 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... - Wed Oct  7 04:44:09 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yan. - Wed Oct  7 04:44:09 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You arent going to leave this village unless I give you the permission. - Wed Oct  7 04:45:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Then give it to me.  - Wed Oct  7 04:45:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you do, then youre considered a rougue. - Wed Oct  7 04:45:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No. - Wed Oct  7 04:45:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I need you for more important things. - Wed Oct  7 04:45:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I am going to kill that cowardly bastard. - Wed Oct  7 04:45:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you want to leave, you better had hope I die soon, - Wed Oct  7 04:45:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I will drag you back by myself. - Wed Oct  7 04:45:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ........Just give me a week. - Wed Oct  7 04:45:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Denied. - Wed Oct  7 04:45:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm done talking about this for today. - Wed Oct  7 04:45:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Then I want him to be banned from the village and to be arrested on sight.. - Wed Oct  7 04:45:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you need me for anything that happens in the village. - Wed Oct  7 04:45:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Done. - Wed Oct  7 04:45:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You have my extension. - Wed Oct  7 04:45:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He murdered our comrade. I will have his head for it. - Wed Oct  7 04:45:52 2015
