<br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Mon Nov  2 23:36:32 2015
<br><br><font color=teal>*Asso, Zaen(Wynokx) says: ...Where's the basement? - Mon Nov  2 23:38:14 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Follow Momura. - Mon Nov  2 23:39:05 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: She will take you there. - Mon Nov  2 23:39:05 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Either of you two interested? - Mon Nov  2 23:59:34 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: In? - Tue Nov  3 00:40:32 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: In? - Tue Nov  3 00:41:23 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah, interested in? - Tue Nov  3 00:41:23 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I spaced out. - Tue Nov  3 00:42:14 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Huh? - Tue Nov  3 00:43:05 2015
<br><br><font color=teal>*Asso, Zaen(Wynokx) says: Kyu...Want to help me with something? - Tue Nov  3 00:43:56 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Something, like? - Tue Nov  3 00:44:48 2015
<br><br><font color=teal>*Asso, Zaen(Wynokx) says: Just uhm...Y'know..Stand still and hold your hands up. - Tue Nov  3 00:44:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ...Uh, no. - Tue Nov  3 00:46:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'm not letting you hit me. - Tue Nov  3 00:46:30 2015
<br><br><font color=teal>*Asso, Zaen(Wynokx) says: ...Then block it, or counter it or something... - Tue Nov  3 00:47:21 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Everyone line up. - Tue Nov  3 00:54:11 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Lineeeee up. - Tue Nov  3 00:54:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Zaen step forward. - Tue Nov  3 00:55:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Turn to face your fellow shinobi. - Tue Nov  3 00:55:53 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I want you all to pay attention to him. - Tue Nov  3 00:56:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Take a good look. - Tue Nov  3 00:56:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: What he is wearing. - Tue Nov  3 00:56:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: How his hair is. - Tue Nov  3 00:56:44 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: His skin color everything. - Tue Nov  3 00:56:44 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mhm. - Tue Nov  3 00:57:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Is everyone looking? - Tue Nov  3 00:57:36 2015
<br><br><font color=teal>*Asso, Zaen(Wynokx) says: ... - Tue Nov  3 00:57:36 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: .... - Tue Nov  3 00:58:27 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah. - Tue Nov  3 00:58:27 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Why? - Tue Nov  3 00:58:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Tue Nov  3 00:59:18 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Mhmm.... - Tue Nov  3 01:01:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Show them what you can do Zaen. - Tue Nov  3 01:01:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Stick your bones. - Tue Nov  3 01:01:00 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Uh. - Tue Nov  3 01:01:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I can do it too, you didn't know? - Tue Nov  3 01:01:52 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Baen, myself and Zaen are from the same family. - Tue Nov  3 01:01:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I see...So white hair is bone-people. - Tue Nov  3 01:01:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: B-Bones are scary. - Tue Nov  3 01:01:52 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Just do it. - Tue Nov  3 01:02:43 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: This is important. - Tue Nov  3 01:02:43 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Like Baen? - Tue Nov  3 01:02:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: Oh wow I can do that to. - Tue Nov  3 01:03:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: Not that impressive. - Tue Nov  3 01:03:34 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Did everyone see? - Tue Nov  3 01:03:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Mmhmm. - Tue Nov  3 01:03:34 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I can't do that yet, give me a week or two. - Tue Nov  3 01:03:34 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'll be able too. - Tue Nov  3 01:03:34 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Aside from Kyubi and Zaen. - Tue Nov  3 01:03:34 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Is there anyone else that can do this? - Tue Nov  3 01:03:34 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . - Tue Nov  3 01:04:25 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I saw someone doing it, not out of use though. - Tue Nov  3 01:04:25 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: So three. - Tue Nov  3 01:05:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Very well. - Tue Nov  3 01:05:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: It would appear you three have been blessed with a very interesting kekkei genkai. - Tue Nov  3 01:05:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You all seem to be related one way or another. - Tue Nov  3 01:06:08 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah. But how is this a blessing? Isn't it like any other Kekkei Genkai, it's techincally special, but not really. - Tue Nov  3 01:06:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: How you may ask? - Tue Nov  3 01:06:59 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Zaen come here. - Tue Nov  3 01:06:59 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I want you all to pay close attention ok? - Tue Nov  3 01:07:50 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: This is a lesson for all. - Tue Nov  3 01:07:50 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: It's a very strong defensive and offensive. - Tue Nov  3 01:07:50 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I know that. - Tue Nov  3 01:07:50 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Since there have been complaints that I do not teach enough around here. - Tue Nov  3 01:07:50 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Turn around Zaen. - Tue Nov  3 01:07:50 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Face them. - Tue Nov  3 01:07:50 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Take off your shirt. - Tue Nov  3 01:08:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Expose your chest to them. - Tue Nov  3 01:08:41 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Give them the best view of your chest as you can - Tue Nov  3 01:08:41 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I don't wanna see that..ew.. - Tue Nov  3 01:08:41 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I know where this is going. - Tue Nov  3 01:09:32 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . . .  . - Tue Nov  3 01:10:24 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I wonder why we need to know this. - Tue Nov  3 01:13:48 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Uh, you do realize. These are certain dances? I've known all of this. - Tue Nov  3 01:15:31 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: We can't perform this unless taught. - Tue Nov  3 01:15:31 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: And Baen hasn't been around of lately. - Tue Nov  3 01:15:31 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ............... - Tue Nov  3 01:31:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ......................... - Tue Nov  3 01:31:44 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Eh, actually, nevermind. - Tue Nov  3 01:33:26 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ...... - Tue Nov  3 01:36:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I will make one thing clear. - Tue Nov  3 01:36:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I will -not- tolerate any attempts on my life. - Tue Nov  3 01:36:51 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: .............. - Tue Nov  3 01:36:51 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Surprisingly. - Tue Nov  3 01:36:51 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I am doing my best to leave a better future for you guys. - Tue Nov  3 01:36:51 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'm not all that beat up. - Tue Nov  3 01:36:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: These people are ridiculous. - Tue Nov  3 01:37:42 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Thane. - Tue Nov  3 01:37:42 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Go and get what is yours. - Tue Nov  3 01:37:42 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: If you can. - Tue Nov  3 01:37:42 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Mizukage, if I may ask. When'd he try to kill you? - Tue Nov  3 01:38:33 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I don't want his. - Tue Nov  3 01:39:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: It's likely useless. - Tue Nov  3 01:39:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Down at the gym. - Tue Nov  3 01:39:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: He shot a bone over his head and let his tounge slip. - Tue Nov  3 01:39:24 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I believe Suiton and Fuuton? - Tue Nov  3 01:40:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Hm - Tue Nov  3 01:40:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I have no need for Suiton. - Tue Nov  3 01:40:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Thanks anyways. - Tue Nov  3 01:40:16 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Starting tomorrow I will begin teaching each and everyone of you what I know. - Tue Nov  3 01:41:07 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: If you can't learn it then I apologize since my speciality lies withint Suiton and Katon. - Tue Nov  3 01:41:07 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Your missions will be carried out like usual. - Tue Nov  3 01:41:58 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Whoops. - Tue Nov  3 01:41:58 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) thinks: B-Blood everywhere. - Tue Nov  3 01:42:49 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Me and hanai...are...u-uhm..gonna go... - Tue Nov  3 01:42:49 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I don't really know why he's like that, it was techincally my revative that died, so. - Tue Nov  3 01:45:23 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Breathe. - Tue Nov  3 01:47:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Relax. - Tue Nov  3 01:47:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: It is all over. - Tue Nov  3 01:47:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Better? - Tue Nov  3 01:48:48 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yes..... - Tue Nov  3 01:49:39 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-May I-I be excused..f-for today? - Tue Nov  3 01:49:39 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Just wait a little longer Hanai. - Tue Nov  3 01:50:30 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I must speak with Momura and Kyubi. - Tue Nov  3 01:50:30 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hm, me? - Tue Nov  3 01:50:30 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Me..? - Tue Nov  3 01:51:21 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Mizukage. May I go? - Tue Nov  3 01:51:21 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: O-Ok.... - Tue Nov  3 01:52:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm..I guess..B-But what can you t-teach..? - Tue Nov  3 01:52:12 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) suddenly gave a small smirk and tipped his nose with his thumb. "That sounds perfect."* - Tue Nov  3 01:53:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Some taijutsu. - Tue Nov  3 01:53:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Genutsu. - Tue Nov  3 01:53:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Ninjutsu. - Tue Nov  3 01:53:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I don't really want Genjutsu, not my type. - Tue Nov  3 01:53:55 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You must learn genjutsu. - Tue Nov  3 01:55:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: G-Genjutsu? - Tue Nov  3 01:55:37 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well. . .if you're going to be teaching them. . . - Tue Nov  3 01:55:37 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mind if I join in? - Tue Nov  3 01:55:37 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I've never l-learned genjutsuu.. - Tue Nov  3 01:55:37 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: It is something that every shinobi needs. - Tue Nov  3 01:55:37 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Yes. - Tue Nov  3 01:55:37 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You will all be thought tomorrow. - Tue Nov  3 01:55:37 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I will announce but I expect you all to show up. - Tue Nov  3 01:55:37 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Taught* - Tue Nov  3 01:55:37 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Good. - Tue Nov  3 01:56:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mizukage-Senpai.. - Tue Nov  3 01:56:28 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: What is it MOmura? - Tue Nov  3 01:56:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well. . . - Tue Nov  3 01:56:28 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Can you help me p-plant crops and seeds l-later..? - Tue Nov  3 01:56:28 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: ...... - Tue Nov  3 01:56:28 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm? - Tue Nov  3 01:56:28 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Why? - Tue Nov  3 01:56:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 01:56:28 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: M-Mmm...... - Tue Nov  3 01:57:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I can h-help.... - Tue Nov  3 01:57:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-It's good for the u-uhm..village..And fun... - Tue Nov  3 01:57:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You can teach me then...B-But I need to get seeds and s-stuff.. - Tue Nov  3 01:57:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-So uhm.. - Tue Nov  3 01:57:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 01:57:20 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmmm. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I can p-plant them.... - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I do not know much about agriculture. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: But I can try. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: I-I know s-something about i-it... - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Anywho. If you're giving away information about others, should I also reveal myself Mizukage? - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll teach youuu...? - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: If you want. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nah. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: It is not required to do so. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: You are all now dismissed. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Also Hanai. - Tue Nov  3 01:58:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I expect you to show up from time to time to talk. - Tue Nov  3 01:59:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I-I wonder if I should show the m-mizukage my skills.? - Tue Nov  3 01:59:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: At least twice a day. - Tue Nov  3 01:59:02 2015
<br><br><font color=yellow>*Kyubishu(Dillion13) sat down on the bench, and snoozed.* - Tue Nov  3 01:59:02 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: S-She'd probably b-be disappointed.. - Tue Nov  3 01:59:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Sure. - Tue Nov  3 01:59:53 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Why do you want p-people to die..? - Tue Nov  3 01:59:53 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: O-Okay.... - Tue Nov  3 02:00:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Tue Nov  3 02:02:27 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . .  . - Tue Nov  3 02:05:00 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 02:06:43 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Calling others monsters isn't nice. - Tue Nov  3 02:06:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Stichy. - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: The name is Thaenan. - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ............ - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Or Thae. - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Whichever. - Tue Nov  3 02:07:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Tha-NaeNAE - Tue Nov  3 02:07:34 2015
