<br><font color=teal>*Ortho(DhatBoiNick) says: I've been funding for some repairs. - Fri Nov  6 04:15:08 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Or you can be smart and swim across? Or.. walk across? - Fri Nov  6 04:16:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: You're a shinobi.. - Fri Nov  6 04:16:00 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: Leaving a peasant girl to do your job. - Fri Nov  6 04:16:00 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) slowly shook his head. "Pitiful."* - Fri Nov  6 04:16:51 2015
<br><br><font color=teal>*Ume(TenaciousRiven) says: I've been waiting for hours. - Fri Nov  6 04:16:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Please tell me. . .I won't have to lead people like him. - Fri Nov  6 04:16:51 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) inched forward, exmaining the bridge each step the boy too.* - Fri Nov  6 04:18:33 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oi, stop. - Fri Nov  6 04:18:33 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: So you never went to Sunagakure with the rest of Kirigakure? - Fri Nov  6 04:19:24 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nah. After looking around in the village, I just became aware of everything and looked at the signs that we were supposed to head to Sunagakure. - Fri Nov  6 04:20:16 2015
<br><br><font color=teal>*Kyubishu(Dillion13) thinks: Do they think I'm a traitor or a spy? - Fri Nov  6 04:20:16 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh. So the person that killed the Mizukage was never caught? - Fri Nov  6 04:21:07 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I've got no clue. - Fri Nov  6 04:21:07 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: They have no lead? - Fri Nov  6 04:21:07 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: No idea. I wouldn't know, I'm just a Genin. Not really informed of all that stuff. - Fri Nov  6 04:21:58 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Thaenan, you know anything about The Mizukage's killer? - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nope. - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh, man. I was willing to pay a few million to anyone that could give me some information. - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But eh, you're not that guy. - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah, sorry. But seriously, are you like. Tryin' to bribe me? - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Bribe you? No. Hustle you for free information, yeah. - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: But hey, can you swim? - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Last I heard, Katsune killed the Mizukage. - Fri Nov  6 04:24:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: She was messing around with Index, then bam. - Fri Nov  6 04:24:32 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Killed the Mizukage dead. - Fri Nov  6 04:24:32 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Does it really matter if I can swim? I feel like it does though. Also, Katsune? Never heard the name. - Fri Nov  6 04:25:23 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh.. Oh well. - Fri Nov  6 04:26:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Well tell you what. - Fri Nov  6 04:26:14 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: If you don't know how to swim, I'll teach you an alternative. - Fri Nov  6 04:26:14 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: ............I feel like, I'm not gonna like this. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It's a technique called Sui- - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Eh? - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Why not? - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Because, I'm very warry of others. I don't really trust anyone. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Oh, alright. Nevermind then. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Nah, continue. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No point in teaching you. - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: No, no. Nevermind. - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: First come, first serve. - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: ... - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I'll have to learn to deal with it, if I am correct. You used to live in our village, right? - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I lived here for a few days. - Fri Nov  6 04:27:56 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (tryna burn down the bridge with him on it) - Fri Nov  6 04:28:48 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Ehh, maybe next time I'll teach you. - Fri Nov  6 04:28:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: So I have to rebuild that bitch later xD?) - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: (lol) - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Sure. I should probably head toward Sunagakure, anyway. It's gonna be a little trip from here. - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright, cool. Do me a favor when you get there. - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Mhm? - Fri Nov  6 04:29:39 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) steps aside for Kyubishu to walk. "When you get there, tell then that Katsune found out Kirie was getting involved with Index, then Katsune decided to kill the Mizukage."* - Fri Nov  6 04:30:30 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Straight west. - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: It's the big sandbox. - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Alright. I'm off. - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Also.. if they asked who told you this.. - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Yeah..? - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: ... - Fri Nov  6 04:32:12 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Tell them Seisuke did. - Fri Nov  6 04:33:04 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Seisuke, got it. - Fri Nov  6 04:33:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Let them know I came back from the Gezo Empire. - Fri Nov  6 04:33:04 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I was healed and what not. - Fri Nov  6 04:33:04 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: That was interesting. - Fri Nov  6 04:33:55 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Anywho. . . - Fri Nov  6 04:35:37 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Can we get this show on the road? - Fri Nov  6 04:35:37 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh? - Fri Nov  6 04:36:28 2015
<br><br><font color=teal>*Ume(TenaciousRiven) whispers: Going to go snoop, told that red head girl I didn't know you Ortho. - Fri Nov  6 04:36:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I see. - Fri Nov  6 04:36:28 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) whispers: What now? - Fri Nov  6 04:39:02 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) whispers: Lets go. - Fri Nov  6 04:40:44 2015
<br><br><font color=yellow>*Ortho(DhatBoiNick) paced forward.* - Fri Nov  6 04:40:44 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: You ever going to give me that explanation? - Fri Nov  6 04:41:36 2015
