<br><font color=teal>*Reguel(Airide) says: ... - Sun Nov  1 20:07:02 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: It's just, difficult.. Kilm.  - Sun Nov  1 20:10:27 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: You're just shy. - Sun Nov  1 20:10:27 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm. - Sun Nov  1 20:10:27 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: You need confidence. - Sun Nov  1 20:10:27 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Else i'll tell em for you. - Sun Nov  1 20:10:27 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: Don't tell them. - Sun Nov  1 20:11:18 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: I-I'll tell them..  - Sun Nov  1 20:12:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: I would never want Master to leave our kids behind like that. - Sun Nov  1 20:12:09 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: And they are family for me aswell. You know how important family is for me.  - Sun Nov  1 20:13:00 2015
<br><br><font color=teal>*Kilm(Vysasi) whispers: Aight, I'll be there near you for confidence. - Sun Nov  1 20:13:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: Mhh.. - Sun Nov  1 20:18:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: What does she want?... She doesn't study me.. - Sun Nov  1 20:26:40 2015
<br><br><font color=teal>*Reguel(Airide) thinks: Hmm? - Sun Nov  1 20:27:31 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: At least, he hasn't neglected you.. That's all that matters. - Sun Nov  1 20:33:29 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Sun Nov  1 20:33:29 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Something is wrong. - Sun Nov  1 20:33:29 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I have a bad feeling but alright. - Sun Nov  1 20:33:29 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Good luck Zenaki. - Sun Nov  1 20:34:20 2015
<br><br><font color=teal>*Reguel(Airide) says: ... - Sun Nov  1 20:34:20 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm. - Sun Nov  1 20:34:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: She's trying.. - Sun Nov  1 20:35:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey kilim. - Sun Nov  1 20:35:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Its been awhile since youve shown me something cool. - Sun Nov  1 20:36:03 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: . . . - Sun Nov  1 20:37:45 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: moving*  - Sun Nov  1 20:46:17 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey Testu. - Sun Nov  1 20:48:51 2015
<br><br><font color=teal>*Yuudai(Assassin241) thinks: .....Who uses that many y's....Nigguh he's gay. - Sun Nov  1 20:54:49 2015
<br><br><font color=teal>*Yuudai(Assassin241) thinks: omit - Sun Nov  1 20:54:49 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Well...ummmm Thank you. - Sun Nov  1 21:02:30 2015
<br><br><font color=teal>*Yuudai(Assassin241) thinks: ...90 yen? - Sun Nov  1 21:04:12 2015
<br><br><font color=teal>*Yuudai(Assassin241) thinks: Is it broken? - Sun Nov  1 21:04:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wow well Thanks........ - Sun Nov  1 21:04:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: So..Umm.. - Sun Nov  1 21:22:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah testu is this one of those times you ditch me for a girl? - Sun Nov  1 21:22:59 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: You can have him. - Sun Nov  1 21:22:59 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ... - Sun Nov  1 21:22:59 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Trilliam. - Sun Nov  1 21:22:59 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Come train with me. - Sun Nov  1 21:22:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ummm okay sure. - Sun Nov  1 21:22:59 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Ayo Ai. - Sun Nov  1 21:22:59 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: BRING THAT ASS HERE BOI! - Sun Nov  1 21:23:50 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: NO - Sun Nov  1 21:23:50 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: YOU CAN'T HAVE MY BOOTY! - Sun Nov  1 21:23:50 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: MY BOOTY BELONGS TO ME - Sun Nov  1 21:23:50 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: NOT ANYMORE - Sun Nov  1 21:23:50 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: THIS AIN'T REN OR TSUG! - Sun Nov  1 21:23:50 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: IDC! - Sun Nov  1 21:23:50 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: -Omit- - Sun Nov  1 21:23:50 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: YOU ALL THE SAME! - Sun Nov  1 21:23:50 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: TO ME! - Sun Nov  1 21:23:50 2015
