<br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I have been eager to get here. - Mon Oct  5 12:14:43 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Just enjoying time with you. - Mon Oct  5 12:16:25 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It's simple! - Mon Oct  5 12:36:03 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: My Byakugan - Mon Oct  5 12:36:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What. . ? - Mon Oct  5 12:40:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I don't get it.  - Mon Oct  5 12:40:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Oh.... - Mon Oct  5 12:42:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I forgot - Mon Oct  5 12:42:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Your eyes allow you to see chakra. - Mon Oct  5 12:42:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: .. - Mon Oct  5 12:42:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Nevermind. - Mon Oct  5 12:50:33 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: I am so confused right now. - Mon Oct  5 12:52:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Err. . But-- Y'know. . I'll just let it die. Even though I'm super curious right now. - Mon Oct  5 12:53:58 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You would never understand. - Mon Oct  5 12:55:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho. We were gonna get massages next, right? - Mon Oct  5 12:55:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: My Byakugan told me we would fall in love. - Mon Oct  5 12:55:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: -- I'm sure I won't. - Mon Oct  5 12:55:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: --- What, really? - Mon Oct  5 12:55:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Of course. - Mon Oct  5 12:56:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Is that the true extent of the Byakugan?! - Mon Oct  5 12:56:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wow, I didn't know it gave precognition. What else did it tell you? - Mon Oct  5 12:56:32 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It told me that we would have ten kids. - Mon Oct  5 12:59:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You're a late bloomer. - Mon Oct  5 12:59:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You're shy for now - Mon Oct  5 12:59:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) thinks: huehuehue - Mon Oct  5 12:59:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I wouldn't mind to be honest. - Mon Oct  5 13:05:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Wow. She's tough. - Mon Oct  5 13:05:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Me neither. Although, that must be way in the future. I barely worked up the nerve to stay in the pool. - Mon Oct  5 13:06:46 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hello! - Tue Oct  6 01:14:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Comunnnniiiiiiityyyyyy! - Tue Oct  6 01:22:20 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: shit - Tue Oct  6 01:23:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <@Trilliam*> Hey, do you need/ - Tue Oct  6 01:23:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Some hair dye? - Tue Oct  6 01:23:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Nope I like my hair color - Tue Oct  6 01:24:54 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: It brings out my face. - Tue Oct  6 01:24:54 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm not fun either. - Tue Oct  6 01:24:54 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? I dunno, you're pretty entertaining to be around. - Tue Oct  6 01:25:45 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Thank you love. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: She's cool with me in my book any one who doesnt like koji is fine with me. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Well Kat. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I keep telling tou all he's a homicedal mad man. - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Up for doing anything yet? Or still relaxing? - Tue Oct  6 01:26:36 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You're too soft for me to punch honestly. - Tue Oct  6 01:27:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: . . . - Tue Oct  6 01:27:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Even Kilm's done instantly when I punch him, and his body's harder than a kunai. - Tue Oct  6 01:27:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I see. - Tue Oct  6 01:27:28 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'm sorry for not being enough entertainment. - Tue Oct  6 01:28:19 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Not your fault, and I am sorry. - Tue Oct  6 01:28:19 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh, don't worry about it. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I guess it is true. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: FIght Him Sanoke fight him. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Just no point sparring unless I have a challenge. - Tue Oct  6 01:29:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I think I could take him. - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: You will see why i call him the White Eyed Devil. - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I should be able to defeat him, to be fair. - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: To be rank, really. - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What you think? - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Might have to take off this shell, though. - Tue Oct  6 01:30:01 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: And I guess unless it's sparring, it's not worth doing? - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I mean you could try to romance me but I get the feeling you'd fail horribly all over the place. - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Oh? - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Only the feeling? - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Mhmmmm. - Tue Oct  6 01:30:52 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Because I'm about 80% sure I'd fall horribly as well. - Tue Oct  6 01:31:44 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm you could try gramps doesn't just make anyone his left hand man. - Tue Oct  6 01:31:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You're back in the game, Tetsu? - Tue Oct  6 01:31:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I thought Kohaku made you retire. - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Who? - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The girl from Kiri. - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Eh. - Tue Oct  6 01:32:35 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: wiat if koji is gramps left hand and sesuki is his right which one has to scratch his balls. - Tue Oct  6 01:33:26 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Anyway. . . - Tue Oct  6 01:34:17 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Might hurt. - Tue Oct  6 01:41:07 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: You can sit though. - Tue Oct  6 01:41:58 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) whispers: What did you do today? - Tue Oct  6 01:42:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Nothing too important. I did a little training, trying to work on my earth release. - Tue Oct  6 01:42:49 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Guess his head injury means I can't punch him in the nuts with my gauntler-clad hand, can I? - Tue Oct  6 01:42:49 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wait you know earth justu which ones which one! - Tue Oct  6 01:43:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. None, I do have scrolls, though. - Tue Oct  6 01:43:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: AH.....Which one which one! - Tue Oct  6 01:43:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I haven't learned any cause elemental techniques are hard. - Tue Oct  6 01:44:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Basic shit. Mud Silhouette, Hiding Like a Mole. - Tue Oct  6 01:44:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. Haha, I ain't really an earth guru. - Tue Oct  6 01:45:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'm pretty shit when it comes to elemental stuff. - Tue Oct  6 01:45:23 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmmm....Thats not a good thing. - Tue Oct  6 01:45:23 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: It was, until people started telling cheesey jokes. - Tue Oct  6 01:46:14 2015
