<br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Fuckk.. I have nooothing.. - Mon Dec  7 09:02:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....stop you from what? - Mon Dec  7 09:03:08 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: What you just asked me to do. - Mon Dec  7 09:03:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...it...it reminded me... - Mon Dec  7 09:04:00 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) looked away.* - Mon Dec  7 09:04:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It looked like that thing you were doing... - Mon Dec  7 09:04:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Ahh, say no more.~ - Mon Dec  7 09:04:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: With uh.. the poison...and nakedness....and..togeth=--- - Mon Dec  7 09:04:00 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) groaned and closed her eyes as she turned bright red.* - Mon Dec  7 09:04:51 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Soon. Don't you worry yourself.~ - Mon Dec  7 09:04:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: U-uh...  - Mon Dec  7 09:05:42 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Are you really going to train while I'm gone? - Mon Dec  7 09:05:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Mhm. - Mon Dec  7 09:05:42 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I mean.. I'm going to half-ass it.. - Mon Dec  7 09:06:33 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: But yeah. - Mon Dec  7 09:06:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Okay. - Mon Dec  7 09:06:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Erg. - Mon Dec  7 09:06:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: D-do.... something you've wanted to do.......since... - Mon Dec  7 09:07:24 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) ran a finger in circles over the surface of the table and mumbled out, "you met me."* - Mon Dec  7 09:07:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm.. Since I met you, huh? - Mon Dec  7 09:08:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Not like I've done everything possible. - Mon Dec  7 09:09:07 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) looked up to him, she was nervous to know what it would be that he had wanted to do. When he simply kissed her --- romantically as fuck by the way--- she inhaled sharply through her nostrils and her eyes fluttered closed and her heart skipped a beat at the fact all he wanted was a kiss. When it broke she licked over her lips tasting his lips on her own and slowly opened her eyes with a hazy look of enjoyment. "That's all? A kiss? That's what you wanted most?"* - Mon Dec  7 09:12:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hmph. - Mon Dec  7 09:16:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I am really bad at this game. - Mon Dec  7 09:16:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Then let's skip to the fun part? - Mon Dec  7 09:17:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ---huh? - Mon Dec  7 09:17:39 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Forget about all this.. good girl, good boy stuff. - Mon Dec  7 09:17:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....what do you mean? - Mon Dec  7 09:18:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I have liquor in the door of the fridge.. We get that out and we 'really' have fun.. - Mon Dec  7 09:18:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... we can drink if you want but I like... your part of the game so far. - Mon Dec  7 09:18:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: We're going to continue playing, just the liquor is the frosting.~ - Mon Dec  7 09:19:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Sure sure, you can get it... and uhm.. let me think. - Mon Dec  7 09:19:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uhhhhhhhhhhhhhhhhhhh... how about, if you could force me to stay in Kumo... and not go out on my mission would you? - Mon Dec  7 09:20:12 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) had the white rum pushed in front of her, she sniffed it and then squinted and leaned her head away. "This smells like poison..." she had never drank before in her life. She went to roll the dice but didn't dink the alcohol.* - Mon Dec  7 09:25:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Ugh. - Mon Dec  7 09:26:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: We should make a new game. - Mon Dec  7 09:26:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You get to dare or ask things and I just ask you things. I like that better. - Mon Dec  7 09:27:02 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) leaned her head down on the table with a huff of frustration.* - Mon Dec  7 09:27:02 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright, sure. - Mon Dec  7 09:27:02 2015
