<br><font color=teal>*Rias(LionHunter) says: Whats happening? - Fri Nov  6 03:43:34 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Takeda. - Fri Nov  6 03:52:06 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Your youth is what is going to move you through this predicament. - Fri Nov  6 03:52:57 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: I've already arranged -everything- for you. - Fri Nov  6 03:52:57 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: You just need to enter and compete. - Fri Nov  6 03:52:57 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: You can stand there and activate those seals on your wrists. - Fri Nov  6 03:52:57 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: And you would be winning the exams. - Fri Nov  6 03:52:57 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: It's all fine, Takeda. - Fri Nov  6 03:54:40 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Calm down. - Fri Nov  6 03:54:40 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: I'll teach you a new technique if it means you will win. - Fri Nov  6 03:54:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Everyone I have met. - Fri Nov  6 03:56:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Thinks i'm going to die. - Fri Nov  6 03:56:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You haven't even told me what these seals do. - Fri Nov  6 03:57:13 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: They'll help. - Fri Nov  6 04:01:29 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Just point them at your opponent. - Fri Nov  6 04:01:29 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: And put chakra on them. - Fri Nov  6 04:01:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Helpful. - Fri Nov  6 04:03:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You know, you once told me your not cut out for this. - Fri Nov  6 04:04:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yet despite all this, you haven't asked me once if I wanted to go through with this. - Fri Nov  6 04:04:54 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: There's no real need to ask you. - Fri Nov  6 04:04:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm just your scapegoat, your way out. - Fri Nov  6 04:04:54 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: It's a free win. - Fri Nov  6 04:04:54 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Stop letting fear absorb you. - Fri Nov  6 04:05:45 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: You don't even know if you're fighting.  - Fri Nov  6 04:05:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's not even fear anymore, it's just anger. - Fri Nov  6 04:05:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I don't even want your job and yet your forcing it on me. - Fri Nov  6 04:06:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Can't wait till we have some kind of uprising or riot when people find out our perfectly good hokage is stepping down for a twelve year old. - Fri Nov  6 04:08:19 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Mmmm..... - Fri Nov  6 04:13:26 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: We'll see how it goes. - Fri Nov  6 04:13:26 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: I'm not a good Kage, Takeda. - Fri Nov  6 04:13:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well, you won't see how it goes. - Fri Nov  6 04:13:26 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You're just going to take off and leave me to wander in the dark. - Fri Nov  6 04:14:17 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Funnily enough, just like most of the people I meet. - Fri Nov  6 04:15:08 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Stop your babbling, Takeda. - Fri Nov  6 04:15:08 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: You're letting your emotions take ahold of you. - Fri Nov  6 04:15:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Maybe I want them to take hold of me. - Fri Nov  6 04:16:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Maybe I feel like being the real me once in a fucking while. - Fri Nov  6 04:16:51 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: . . . . .  - Fri Nov  6 04:17:42 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Sigh. - Fri Nov  6 04:17:42 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Sorry Zeus, I'm finding it real hard to by sympathetic to you when you drop this shit show on me. - Fri Nov  6 04:22:49 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Not like you even fucking care. - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I just wasted my time here. - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: . . . . . . - Fri Nov  6 04:23:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Fuck it, I said my piece. - Fri Nov  6 04:25:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: If you refuse to even hear me out, i'm done here. - Fri Nov  6 04:25:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Doesn't even matter if the private exam won't kill me, being Hokage sure will. - Fri Nov  6 04:26:14 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: . . . . . . . . . . - Fri Nov  6 04:27:05 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Takeda.  - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Come with me for a second. - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: I want to explain to you the reason why I'm having you do these exams. - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Should I even bother..? - Fri Nov  6 04:29:39 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Does it even matter at this point..? - Fri Nov  6 04:30:30 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Come. - Fri Nov  6 04:31:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? - Fri Nov  6 06:51:18 2015
<br><br><font color=teal>*Ziare(Meekee) says: Who are you? - Fri Nov  6 06:51:18 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: . . .  - Fri Nov  6 06:51:18 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I'm going to go make my rounds again. - Fri Nov  6 06:56:25 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right... - Fri Nov  6 06:56:25 2015
<br><br><font color=teal>*Ziare(Meekee) says: Are you like a vanguard? - Fri Nov  6 06:57:16 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: No, I'm a shinobi... - Fri Nov  6 06:57:16 2015
<br><br><font color=teal>*Ziare(Meekee) says: Obviously... - Fri Nov  6 06:57:16 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: There is no special rank that I possess. - Fri Nov  6 06:57:16 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I just do things differently. - Fri Nov  6 06:57:16 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Than most. - Fri Nov  6 06:58:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right... - Fri Nov  6 06:58:08 2015
<br><br><font color=teal>*Ziare(Meekee) says: Well have fun I guess. - Fri Nov  6 06:58:08 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Good day. - Fri Nov  6 06:58:59 2015
<br><br><font color=teal>*Ziare(Meekee) says: You awake? - Fri Nov  6 17:55:12 2015
<br><br><font color=yellow>*Rias(LionHunter) would yawn and stretch "Mmmhmm" she said as she rubbed her eyes* - Fri Nov  6 17:56:54 2015
<br><br><font color=teal>*Ziare(Meekee) says: Cool.. - Fri Nov  6 17:56:54 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hmmm.. - Fri Nov  6 17:59:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: Have you learned anything new? - Fri Nov  6 17:59:28 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im in the process of it - Fri Nov  6 17:59:28 2015
<br><br><font color=teal>*Ziare(Meekee) says: You should stop slacking. - Fri Nov  6 17:59:28 2015
<br><br><font color=teal>*Rias(LionHunter) says: You? Calling me slacking? your funny Z - Fri Nov  6 18:00:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: It must mean i'm serious. - Fri Nov  6 18:01:10 2015
<br><br><font color=teal>*Rias(LionHunter) says: And it makes you more attractive~ Oh! Have you talked to index? - Fri Nov  6 18:02:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Index? - Fri Nov  6 18:02:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Never heard of him? - Fri Nov  6 18:03:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: Nope. - Fri Nov  6 18:05:26 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ok well I will tell you later about what we did - Fri Nov  6 18:05:26 2015
<br><br><font color=teal>*Ziare(Meekee) says: Is it something I don't want to know? - Fri Nov  6 18:06:17 2015
<br><br><font color=teal>*Rias(LionHunter) says: But I tell you two everything~ - Fri Nov  6 18:11:24 2015
<br><br><font color=teal>*Rias(LionHunter) says: Of course its important - Fri Nov  6 18:12:16 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'd rather not know about your personal life. - Fri Nov  6 18:12:16 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: Its never important - Fri Nov  6 18:12:16 2015
<br><br><font color=teal>*Ziare(Meekee) says: If it's really important i'll listen. - Fri Nov  6 18:12:16 2015
<br><br><font color=teal>*Rias(LionHunter) says: You already know plenty~ - Fri Nov  6 18:12:16 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yes SUUUUUPER important - Fri Nov  6 18:13:07 2015
<br><br><font color=teal>*Ziare(Meekee) says: Alright. - Fri Nov  6 18:13:07 2015
<br><br><font color=teal>*Rias(LionHunter) thinks: If he falls for this this will be my first time telling him inf he doesnt want to know - Fri Nov  6 18:13:07 2015
<br><br><font color=teal>*Ziare(Meekee) says: Well are you gonna tell me? - Fri Nov  6 18:13:58 2015
<br><br><font color=teal>*Rias(LionHunter) says: About my date~ - Fri Nov  6 18:14:49 2015
<br><br><font color=teal>*Ziare(Meekee) says: Shut up. - Fri Nov  6 18:14:49 2015
<br><br><font color=teal>*Rias(LionHunter) says: Coooooome Z - Fri Nov  6 18:14:49 2015
<br><br><font color=teal>*Rias(LionHunter) says: ZZZZZZZZ - Fri Nov  6 18:14:49 2015
<br><br><font color=teal>*Ziare(Meekee) says: Shut up. - Fri Nov  6 18:14:49 2015
<br><br><font color=teal>*Rias(LionHunter) says: Please? - Fri Nov  6 18:15:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: Shut up. - Fri Nov  6 18:15:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: Fine -pouts- - Fri Nov  6 18:15:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: Practice you jutsu - Fri Nov  6 18:17:23 2015
<br><br><font color=yellow>*Rias(LionHunter) would pull out the new scroll she got and placed it on the table. She looked it over and read about the details of the scroll. It was a jutsu called sly mind effect, the jutsu was harder to learn then her other techniques. It mattered little to her as she could tough it out. She would preform the hand seals with ease and go ofter what it would do.

She would read the jutsu intensly and preform the hand seals again. She moulded the chakra but she never executed the jutsu. She would have to eventually find a target to use the jutsu on but that would most likely she would use it on J or Z. She recited the jutsu line for line and began to think of strategies to impliment with such a jutsu. "Maybe if I put them in a gen first it will be easier to put them in my jutsu..." she wondered.

Rias hugged her body and pushed her breast up. Her cleaveage would be in full view from her dress as she continued to read. <I wonder if I should get some glasses... I bet that would make me gorgous~> she said in her head getting distracted. These other jutsu would increase her efficancy and give her another option other than her signature technique.

She reached the end of the scroll. She learned the jutsu front and back on paper. The concept of the jutsu was simple but now she had to impliment it in battle.* - Fri Nov  6 18:54:56 2015
<br><br><font color=yellow>*Rias(LionHunter) would them try out her new genjutsu, she walked out side and stood by the door. She spying on a cute guy walking outside the plaza. She would form the hand seals and isolate him in the genjutsu. She succesfully hit him and stopped in his tracks. She was curious about what he was seeing. She would use her mind transfer to send her mind into his mind. 

As she entered his mind she would talk to him. She told him to relax and tell him what he saw. He told her about what happened and that he couldnt reach his destination. She would thank him and retreat back to her mind. She would then  release him with genjutsu kai and walk back inside. 

She then walked back to the desk and went to try her other move. She form pull out two shuriken, she would place one shuriken onto another. She would throw them at the wall. The shuriken hit the wall but the move wasnt hidden very well. "I guess I need more training" she said sighing* - Fri Nov  6 19:31:37 2015
<br><br><font color=yellow>*Rias(LionHunter) Would go through her jutsu once more. She would form several hand seals and activate her genjutsu. She wouldnt activate it becasue she had to to have a target.

She would go over the hand seals of all her jutsu one by one. The purpose of this was to increase her hand seal speed and the effeicencly of her jutsu going off. As long as she could finish the hand seald she could get ready for her combo.

She would look over her knowledge of her jutsu once more.* - Sat Nov  7 00:52:28 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Sat Nov  7 01:25:45 2015
<br><br><font color=teal>*Ziare(Meekee) says: You up? - Sat Nov  7 02:18:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hmm? - Sat Nov  7 02:21:13 2015
<br><br><font color=teal>*Ziare(Meekee) says: You wanna get somethign to eat? - Sat Nov  7 02:22:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: I dont want to train right now... I been training for HOURS; I would love to eat  though~ - Sat Nov  7 02:22:04 2015
<br><br><font color=teal>*Ziare(Meekee) says: Cool. - Sat Nov  7 02:22:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hello Nori. - Sat Nov  7 02:27:12 2015
<br><br><font color=yellow>*Rias(LionHunter) would order vegan noobles and green tea then look at the little children,"Oh my god! You two are so cute~~" she was amazed* - Sat Nov  7 02:27:12 2015
<br><br><font color=yellow>*Rias(LionHunter) Rias was tall woman by normal standards, standing 5'11'' and having a voluptuous figure. She had D cup sized breast and a big matching butt, her skin was naturally soft and glowing. She clearly didnt look like a fighter.* - Sat Nov  7 02:31:28 2015
<br><br><font color=yellow>*Rias(LionHunter) would lean her head agains Z, "So precious... I wish I had a kid... the would be soooo cute and fun~" she said as she perked up and looked toward her food. She leaned forward, her body jiggled. She would slowly surp on the noodles and turn her head towards Z. "Your right...I mean I can cook..." she would comment smilling. "You tasted it plently of times~"* - Sat Nov  7 02:45:07 2015
