<br><font color=teal>*Hideki(Assassin241) says: omit - Sun Oct  4 05:08:28 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .... - Sun Oct  4 05:09:20 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ....... - Sun Oct  4 05:09:20 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: What? - Sun Oct  4 05:09:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Sun Oct  4 05:09:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Tell you what? - Sun Oct  4 05:09:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ...What? - Sun Oct  4 05:09:20 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Nothing. - Sun Oct  4 05:09:20 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: What did you say? - Sun Oct  4 05:09:20 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki. - Sun Oct  4 05:09:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: S.T.O.P. - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see you've joined the world of men. - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: .... - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You've grown greatly. - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey, Niza-sama. - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: This... - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Niggaa.. - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Who is this? - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: This is Niza, Lyala. He's the Raikage. - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Stand proud with your newfound vigor. - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Newfound vigor? - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: What? - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Oh! - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Raikage?! - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Oh, wow. - Sun Oct  4 05:10:11 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: A pleasure to meet you, sir. - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: The pleasure is mine. - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: That statement never makes sense to me... - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hopefully Hideki has not hurt you, yes? - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: No. - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I beat him up. - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Two times. - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: In a spar. - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Mhm. - Sun Oct  4 05:11:02 2015
