<br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Whats up hun? - Fri Dec  4 21:50:43 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) leaps off of lera in a flip, landing on her feet as she'd turn towards lera.* - Fri Dec  4 21:51:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Spar - Fri Dec  4 21:51:34 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh? really? You know I can't beat you without Ninjutsu anymore.. - Fri Dec  4 21:51:34 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You've graduated from sparring lil' old me. - Fri Dec  4 21:51:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm still w-weak don't w-worry..! - Fri Dec  4 21:51:34 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Heh. - Fri Dec  4 21:51:34 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Shall I b-begin? - Fri Dec  4 21:51:34 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Eh, Go ahead. Sure why not. - Fri Dec  4 21:52:25 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) would've suddenly gotten into a running position as she'd disappear in a single moment, appearing next to lera, she was just moving pretty fast, that's all. She'd aim to suddenly ram her fist into the female's face, aiming to send her into the wall.* - Fri Dec  4 21:54:08 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) was pulled under the the ground as she'd be down so far that her knees were stuck. She'd stare at lera, she seemed to be playing with her, the female's face turning a bright red. 

"L-Lera..I wanna s-show you a n-ninjutsu technique..I m-made..but I c-can't show you.." She'd say depressingly...Before lashing her body out of the sand and pushing out, aiming to get out and punch lera in the face.* - Fri Dec  4 22:02:40 2015
<br><br><font color=yellow>*Momura(JustCallMeGnar) flew backwards as she'd roll on the ground, her butt sticking high in the air as she was upside down.

"T-There's...n-no soil...a-around..I-I need places like..u-uhm...k-konoha and k-kirigakure..to u-use it.."* - Fri Dec  4 22:05:13 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I see, I see... - Fri Dec  4 22:05:13 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Well, i'm good with earth; But I can't make soil. - Fri Dec  4 22:06:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: At least not quickly. - Fri Dec  4 22:06:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: That'd take time and effort. - Fri Dec  4 22:06:04 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Wanna go o-outside the v-village s-so I can show y-you? - Fri Dec  4 22:06:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Thats quite a distance to walk hun. - Fri Dec  4 22:06:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Sort of distance we need permission for. - Fri Dec  4 22:06:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I can just r-run. - Fri Dec  4 22:06:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Or we c-can fly.. - Fri Dec  4 22:06:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Or c-crawl under the g-ground.. - Fri Dec  4 22:06:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Heh, I'm good. But not that good. - Fri Dec  4 22:06:56 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I want to see it hun. - Fri Dec  4 22:07:47 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: But I can't go that far. - Fri Dec  4 22:08:38 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Fri Dec  4 22:08:38 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I've got a fiance to worry about y'know? - Fri Dec  4 22:08:38 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh yeah...m-me to. - Fri Dec  4 22:10:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai proposed t-to me. - Fri Dec  4 22:11:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Oh? Congratulations~ - Fri Dec  4 22:11:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: So young! - Fri Dec  4 22:11:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Oh wait no....I was having sex with Seisuke at that age...don't think I can talk. - Fri Dec  4 22:11:12 2015
