<br><font color=teal>*Asteroth(Lordlol45) says: Hrm? Good evening. - Thu Oct  8 19:00:28 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm? - Thu Oct  8 19:01:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Reguel who's eye did you steal? - Thu Oct  8 19:03:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Fucker. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Reguel(Airide) says: No one's. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Lying ass. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's okay though. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Reguel(Airide) says: And Misa he's talking about Hideki, although, that's more of an understatement. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I think he'd need a great deal of endurance for a Self-Transplant. - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: If he did, I'd be terrified.. - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Not someone I'd want to mess with. - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He's too much of a jerk to die... - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm sure. - Thu Oct  8 19:06:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: That's why you're doing them right now. - Thu Oct  8 19:06:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Like being a shit-head. - Thu Oct  8 19:06:27 2015
<br><br><font color=teal>*Reguel(Airide) says: Are you done? - Thu Oct  8 19:07:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No. - Thu Oct  8 19:07:18 2015
<br><br><font color=teal>*Reguel(Airide) says: Poor you, because I'm done listening to you. - Thu Oct  8 19:07:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Then why're still talking? - Thu Oct  8 19:07:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Sup, bro. - Thu Oct  8 19:09:52 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Hello. - Thu Oct  8 19:09:52 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: ---- - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I'--  - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: What do you mean in a way? - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: That's mean. - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's not mean... - Thu Oct  8 19:22:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: It is mean. - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Meanie. - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm not trying to be mean. You know-  - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'm your damn brother. - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Still being mean. - Thu Oct  8 19:23:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Okay, answer this. - Thu Oct  8 19:23:31 2015
