<br><font color=teal>*Engi, Ichiro(Master Roku) says: Get a cup. - Fri Nov 27 01:08:41 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Next time. - Fri Nov 27 01:09:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I-I'll buy one.. - Fri Nov 27 01:09:32 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: I didn't expect that..Not at all. - Fri Nov 27 01:09:32 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Hehe.~ - Fri Nov 27 01:10:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Oh man. - Fri Nov 27 01:10:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I hope your balls didn't invert from that hit. - Fri Nov 27 01:10:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: But anywho, what do I care? - Fri Nov 27 01:11:15 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'm not the one worrying about procreation in my future. - Fri Nov 27 01:11:15 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Heh. - Fri Nov 27 01:11:15 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Hey...That's better. - Fri Nov 27 01:11:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Fri Nov 27 01:11:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: This hurts like a bitch. - Fri Nov 27 01:12:06 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Maybe you'll learn. - Fri Nov 27 01:12:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: How to use your semen. - Fri Nov 27 01:12:57 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: To make your balls hard as steel. - Fri Nov 27 01:12:57 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Not everyone can secrete fluids from their body that hardens. - Fri Nov 27 01:13:48 2015
