<br><font color=teal>*Ari, Hanai(KenichiMD) says: Y-Yes? - Sat Nov  7 01:21:29 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: the school that everyone under the age of 14 have to go to. - Sat Nov  7 01:22:20 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: ...Whaat. - Sat Nov  7 01:22:20 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Let's go back to our h-house.. - Sat Nov  7 01:22:20 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: S-Sure. - Sat Nov  7 01:23:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Just Start going to class Ivel. - Sat Nov  7 01:24:54 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Man. I don't want to go to class. - Sat Nov  7 01:25:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Faliure to go results in gramps taking an arm off. - Sat Nov  7 01:26:36 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Soo... If i were you I'd go. - Sat Nov  7 01:26:36 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: An Arm? What... - Sat Nov  7 01:30:01 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeha Ivel just go to school bud. - Sat Nov  7 01:32:35 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Saves your limbs. - Sat Nov  7 01:32:35 2015
<br><br><font color=teal>*Dog(Osmanesanogo) says: Arooo - Sat Nov  7 01:32:35 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I agree classes are pretty boring! - Sat Nov  7 01:33:26 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: How old are you even? - Sat Nov  7 01:36:00 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: What classes she go to..Carrying a sword like that. - Sat Nov  7 01:36:51 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Im 12. - Sat Nov  7 01:37:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: everyone 14 and under has to go. - Sat Nov  7 01:38:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Its law. - Sat Nov  7 01:38:33 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Meh. - Sat Nov  7 01:39:24 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Sat Nov  7 01:43:40 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: So...anyone seen anything cool lately. - Sat Nov  7 01:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Depends on your definition of a cool. - Sat Nov  7 01:47:56 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: No...Not really...Although I did see the Kazekage..He's right there....Does that count? - Sat Nov  7 01:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I did see a cool technique utilized that one time. He kinda like. . teleported. - Sat Nov  7 01:47:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Into a Shadow. - Sat Nov  7 01:47:56 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Into a shadow? - Sat Nov  7 01:48:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yep. I'm unsure if it was teleportation or just high speeds. - Sat Nov  7 01:49:39 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmmm? - Sat Nov  7 01:49:39 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hmm. - Sat Nov  7 01:51:21 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Anyone want to pass on any Fire style techniques~ - Sat Nov  7 01:51:21 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: To a young and impressionable shinobi who is set to become the next ace of the village?~ - Sat Nov  7 01:52:12 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: About that....Koji...do you know about any squads being formed? - Sat Nov  7 01:53:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ivel no one uses fire. - Sat Nov  7 01:55:37 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Its all about earth and ligtning around these parts. - Sat Nov  7 01:55:37 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: ...I do! - Sat Nov  7 01:55:37 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Its not about you Ivel. - Sat Nov  7 01:57:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Naa but serosuily te only fire users are your side of the famialy. - Sat Nov  7 01:58:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Sat Nov  7 01:58:11 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Sat Nov  7 01:59:53 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Really? - Sat Nov  7 02:00:44 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You'd think with all the heat around here. - Sat Nov  7 02:00:44 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: How you think i feel only like 2 people in the vilalge can use lightning. - Sat Nov  7 02:02:27 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-It's really h-hot around here.. - Sat Nov  7 02:02:27 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: You get used to it. - Sat Nov  7 02:03:18 2015
