<br><font color=teal>*Kyubishu(Dillion13) says: You've got to be kidding me. - Sun Nov  1 21:50:17 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I am not. - Sun Nov  1 21:51:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I want you to learn that this village must remain clean. - Sun Nov  1 21:51:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I will not tolerate any littering going on. - Sun Nov  1 21:51:08 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I ask again. - Sun Nov  1 21:51:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Lady Mizukage.. - Sun Nov  1 21:52:00 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Who here has dumped trash in the pond? - Sun Nov  1 21:52:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I'll do push-ups for everyone.. - Sun Nov  1 21:52:00 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Hey. I'm not apart of this. - Sun Nov  1 21:52:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Why would you put a dead fish back into the water? - Sun Nov  1 21:52:51 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: If I lie as say I did, can this silly mess be done with? - Sun Nov  1 21:52:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Mizukage-Senpai..I'll do push-ups for everyone here, and all the punishments for them. - Sun Nov  1 21:55:24 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Just do the push ups already so we can be done with it. - Sun Nov  1 21:58:49 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: They're just push ups..why're they making such a big deal about that? - Sun Nov  1 22:01:23 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Listen - Sun Nov  1 22:03:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I do not want -anyone- to dump anything anywere other than trashcans. - Sun Nov  1 22:03:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Understood? - Sun Nov  1 22:03:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Yes M-Ma'am. - Sun Nov  1 22:03:56 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I mean it. - Sun Nov  1 22:04:48 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Next time I see or even find trash -anywhere- in the village. - Sun Nov  1 22:04:48 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Your asses will suffer. - Sun Nov  1 22:04:48 2015
<br><br><font color=teal>*Mana(Mirandawashere) thinks: This whole situation is pretty fishy... - Sun Nov  1 22:05:39 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Blame all of us for something that one person did, nice. - Sun Nov  1 22:05:39 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) thinks: *forcefully breaks into Mana's mind, and slaps her. He the walks back into his own head* - Sun Nov  1 22:05:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: So. . . - Sun Nov  1 22:09:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: By doing that you will be detered to litter. - Sun Nov  1 22:09:04 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Now you may stand up. - Sun Nov  1 22:09:55 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Who has not received their missions today. - Sun Nov  1 22:09:55 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Stands up, done and such. - Sun Nov  1 22:09:55 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Well... Anyways... is there anything else you have ot talk about with us-... ahhh missions... - Sun Nov  1 22:09:55 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I don't feel like it today. - Sun Nov  1 22:11:37 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Oh? That girl said she didn't feel like it? - Sun Nov  1 22:11:37 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Already like her. - Sun Nov  1 22:11:37 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I guess I haven't. - Sun Nov  1 22:14:11 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Very well. - Sun Nov  1 22:15:02 2015
