<br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Got em' - Thu Oct  8 18:47:40 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Asteroth-san. - Thu Oct  8 19:00:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm? Good evening. - Thu Oct  8 19:00:28 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm? - Thu Oct  8 19:01:20 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Your friend is doing better. - Thu Oct  8 19:03:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Just thought you should know. - Thu Oct  8 19:03:53 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ? - Thu Oct  8 19:03:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Reguel who's eye did you steal? - Thu Oct  8 19:03:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Fucker. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Reguel(Airide) says: No one's. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Lying ass. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: It's okay though. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Reguel(Airide) says: And Misa he's talking about Hideki, although, that's more of an understatement. - Thu Oct  8 19:04:44 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hideki isn't my friend.. - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I think he'd need a great deal of endurance for a Self-Transplant. - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: If he did, I'd be terrified.. - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Not someone I'd want to mess with. - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: He's too much of a jerk to die... - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: And how or why would that complete stranger think Hideki was my friend? - Thu Oct  8 19:05:36 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm sure. - Thu Oct  8 19:06:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: That's why you're doing them right now. - Thu Oct  8 19:06:27 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Like being a shit-head. - Thu Oct  8 19:06:27 2015
<br><br><font color=teal>*Reguel(Airide) says: Are you done? - Thu Oct  8 19:07:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: No. - Thu Oct  8 19:07:18 2015
<br><br><font color=teal>*Reguel(Airide) says: Poor you, because I'm done listening to you. - Thu Oct  8 19:07:18 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Then why're still talking? - Thu Oct  8 19:07:18 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Whos is he talking to... - Thu Oct  8 19:08:09 2015
