<br><font color=teal>*Alastor(LordxPatrick) says: Yes. - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Wed Oct  7 19:17:58 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ... - Wed Oct  7 19:17:58 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I think we should let Hassan dish out his punishment. - Wed Oct  7 19:26:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm..Where to? - Wed Oct  7 19:29:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The jail. - Wed Oct  7 19:31:37 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Might use him later on if I am allowed... Perfect..  - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If he was guilty....why would he come back and try to get away with it? - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I almost doubted myself. - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Can I come along, Master? - Wed Oct  7 19:35:02 2015
<br><br><font color=yellow>*Ryujin, Fujitora(Tre sanders) didn't really want to be apart of it, so he lazily pointed to the direction of the police , jail center place..It's been so long, so he nods his head to Zenaki , leading the way towards the Police HQ where they'd go down to the basement where all the cellers were held.. He spoke "Been so long since I came here..Though I doubt I have the authority to just walks in like this all casually..We farmers do not usually tangle with shinobi business." he waits for Zenaki to come along and for Tetsumi to meet them at the destination.* - Wed Oct  7 19:37:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? For what reason? - Wed Oct  7 19:56:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *shrug* Dunno. - Wed Oct  7 19:57:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: If you're concerned, maybe you could join her? - Wed Oct  7 19:57:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Not my concern anymore, my job's finished. - Wed Oct  7 19:57:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Who's ordes and who is at the gate? - Wed Oct  7 19:58:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Come, Zen.. - Wed Oct  7 19:58:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: The only one who would come here is Suitengu..  For me.. Hm.. - Wed Oct  7 19:58:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: We'll go, probably someone trying to get in. - Wed Oct  7 19:58:04 2015
