<br><font color=teal>*Asteroth(Lordlol45) says: Beat it. - Tue Nov  3 09:58:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Try not to hurt yourself practicing.~ - Tue Nov  3 10:00:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's easy, uguu.~ - Tue Nov  3 10:00:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I doubt you'll be able to pull it off, though.~ - Tue Nov  3 10:00:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahaha! - Tue Nov  3 10:00:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oooooh...~ - Wed Nov  4 04:09:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yura..yura..tooooo.~ - Wed Nov  4 04:09:10 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mizumi. - Wed Nov  4 04:16:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Retrieve my gem from theb affoon. - Wed Nov  4 04:16:51 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Sado? - Wed Nov  4 04:17:42 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Indeed. - Wed Nov  4 04:18:33 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Best Friend Sado. Can I see the gem? - Wed Nov  4 04:18:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Wed Nov  4 04:42:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No. - Wed Nov  4 04:42:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Not until she says, "Uguu". - Wed Nov  4 04:42:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I knew you were going to pull something like this.. - Wed Nov  4 04:42:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So difficult.~ - Wed Nov  4 04:43:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Wed Nov  4 05:05:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It may be time to kill you. - Wed Nov  4 05:05:29 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Ahahahaha Silly best friend Sado.. - Wed Nov  4 05:05:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Pf-..pfft! - Wed Nov  4 05:05:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can't do it.. - Wed Nov  4 05:05:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That'd ruin the trick. - Wed Nov  4 05:05:29 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: But did you enjoy it? - Wed Nov  4 05:05:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It was funny. - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just know, Mizumi-kun.. - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I like to repay tricks two fold.~ - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Suimu, Mizumi(LavenderTown) says: Was my audience entertained? - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's see what would be a good prank? - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Giving Suna a bounty would be pretty funny.. - Wed Nov  4 05:06:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shame..Fickle-chan.. - Wed Nov  4 05:14:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should really say it. - Wed Nov  4 05:14:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm... - Wed Nov  4 05:20:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If only you were more cooperative.. - Wed Nov  4 05:32:48 2015
<br><br><font color=yellow>*Asteroth(Lordlol45) nods with a smile.

The box is taken, the contents scanned. Once it's comfirmed, the gem is placed into her pocket.* - Wed Nov  4 05:54:59 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Thank you.. - Wed Nov  4 05:54:59 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: At least -some- people are helpful. - Wed Nov  4 05:54:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Wed Nov  4 06:03:31 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . .You didn't get it? - Wed Nov  4 06:10:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: That means you're useless a lot of time. - Wed Nov  4 06:10:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You were useless against the Baen guy. - Wed Nov  4 06:10:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm..? - Wed Nov  4 06:11:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Wed Nov  4 06:11:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is that so? - Wed Nov  4 06:11:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I-..I-..don't know what to say.. - Wed Nov  4 06:11:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What should I do? - Wed Nov  4 06:12:54 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Be more useful. - Wed Nov  4 06:12:54 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Easy. - Wed Nov  4 06:12:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Shall I start now? - Wed Nov  4 06:12:54 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mmm. Sure. - Wed Nov  4 06:16:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Meh.. - Wed Nov  4 06:18:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm lazy.. - Wed Nov  4 06:18:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: And this is why. - Wed Nov  4 06:19:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You're useless..\ - Wed Nov  4 06:19:44 2015
