<br><font color=teal>*Momura(JustCallMeGnar) says: I-I used to live in k-kirigakure. - Mon Dec  7 03:51:40 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: She was just being very mean. - Mon Dec  7 03:53:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I see.. - Mon Dec  7 03:54:14 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nobody here is very m-mean.. - Mon Dec  7 03:54:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You all have it covered? I'll be off then. You're welcomed to stay here for the meantime. But if you wish to be here for extended periods of time. - Mon Dec  7 03:55:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You'll need to register as a citizen. - Mon Dec  7 03:55:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh. - Mon Dec  7 03:55:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sanoke-san. - Mon Dec  7 03:55:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Can we t-train for a bit? - Mon Dec  7 03:55:05 2015
<br><br><font color=teal>*Watanabe, Fujiko(Lil Neicey) says: Understood. - Mon Dec  7 03:55:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? In a second. Going to go do something. - Mon Dec  7 03:55:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh..just c-call me to your o-office please. - Mon Dec  7 03:55:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Right. - Mon Dec  7 03:56:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Speak up - Mon Dec  7 03:56:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: dont be a bitch. - Mon Dec  7 03:56:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Mon Dec  7 03:56:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No problem. - Mon Dec  7 04:01:55 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Wanna go to my house o-or my r-restaurant? - Mon Dec  7 04:02:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Or something. - Mon Dec  7 04:02:46 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-You can take a shower. - Mon Dec  7 04:02:46 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I'm relaxing. - Mon Dec  7 04:04:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Me too. - Mon Dec  7 04:04:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Not like I can do anything. - Mon Dec  7 04:04:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You keep treating me like a child. - Mon Dec  7 04:04:28 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So sure. - Mon Dec  7 04:05:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Take me home now! - Mon Dec  7 04:06:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm? - Mon Dec  7 04:14:43 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Oh hi, Marco. - Mon Dec  7 04:14:43 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hi. - Mon Dec  7 04:17:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Dont mean to sound like a pest but uh.. - Mon Dec  7 04:18:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How's my order coming? - Mon Dec  7 04:18:08 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Nearly done. - Mon Dec  7 04:32:38 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm, thank you.~ - Mon Dec  7 04:32:38 2015
