<br><font color=teal>*Index(Jjking217) says: Well...A series of odd questions. - Sat Nov  7 14:35:05 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Go ahead... - Sat Nov  7 14:35:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Do you produce Saliva? You don't produce waste due to not eating do you?  Do you -need- oxygen to survive?  Is it possible for you to get sick? - Sat Nov  7 14:36:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: None of those, but... I'm unsure about the ill part... I don't know if I can or not. - Sat Nov  7 14:37:39 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: if you havent had issues with it... i honestly wouldn't waste my time on that - Sat Nov  7 14:38:30 2015
<br><br><font color=teal>*Index(Jjking217) says: I see. - Sat Nov  7 14:39:21 2015
<br><br><font color=teal>*Index(Jjking217) says: Could you tell me about this persona? - Sat Nov  7 14:40:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: My persona doesn't become me, I'm faking it. - Sat Nov  7 14:40:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It's pretend. - Sat Nov  7 14:40:12 2015
<br><br><font color=teal>*Index(Jjking217) says: I know. - Sat Nov  7 14:40:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I am very good at mimicking behavior. - Sat Nov  7 14:40:12 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I can become you. - Sat Nov  7 14:41:04 2015
<br><br><font color=teal>*Index(Jjking217) says: But I'm curious as to how far you've thought into this persona?--- - Sat Nov  7 14:41:04 2015
<br><br><font color=teal>*Index(Jjking217) says: Really? - Sat Nov  7 14:41:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes. - Sat Nov  7 14:41:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: There are several people I'm capable of becoming. - Sat Nov  7 14:41:04 2015
<br><br><font color=teal>*Index(Jjking217) says: 'Several'? - Sat Nov  7 14:41:04 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I can become you, Ortho, Sanoke, Chikyu, Thaenan, and Nina. - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm... - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: That ability must have limitations then? - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: I would've thought. - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: You could mimic Lera. - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: You did see her. - Sat Nov  7 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: But those people are those who've touched you right? - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Index(Jjking217) says: Sanoke touched your cheek. - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I have not touched Lera. - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Index(Jjking217) says: Chikyu Hugged you? - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Yes. - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Index(Jjking217) says: If you copy someone, do you gain their abilities? - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: No. - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) thinks: Not yet. - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Index(Jjking217) says: Hm.. - Sat Nov  7 14:42:46 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: But I attain their chakra signature. - Sat Nov  7 14:43:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Are you able to simultaneously, copy two peopl--- - Sat Nov  7 14:43:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Wow. - Sat Nov  7 14:43:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Do you mean be two people at the same time? - Sat Nov  7 14:44:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Yeah. - Sat Nov  7 14:45:20 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I don't think so...but how would that even work? - Sat Nov  7 14:46:11 2015
<br><br><font color=teal>*Index(Jjking217) says: No clue. - Sat Nov  7 14:47:02 2015
