<br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo - Sat Oct  3 16:09:23 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo. - Sat Oct  3 16:52:03 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hello, Kirie. - Sat Oct  3 16:52:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How are you feeling? - Sat Oct  3 16:52:03 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Getting better? - Sat Oct  3 16:52:03 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Sat Oct  3 16:52:54 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Blue..? - Sat Oct  3 16:53:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Thats good. - Sat Oct  3 16:53:45 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I can see you are looking better aswell.  - Sat Oct  3 16:53:45 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oi. - Sat Oct  3 16:54:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Umm? - Sat Oct  3 16:54:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hrm. - Sat Oct  3 16:54:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What is your name? - Sat Oct  3 16:54:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ..Zenaki.. Why? - Sat Oct  3 16:54:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I wanted to ask you something. - Sat Oct  3 16:55:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Uh.. Sure. - Sat Oct  3 16:55:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: What's it? - Sat Oct  3 16:55:28 2015
<br><br><font color=teal>*Durn(Vysasi) says: Good. - Sat Oct  3 16:58:01 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Hm, fine. - Sat Oct  3 16:59:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well then. - Sat Oct  3 17:00:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Muhhamed-san isn't awake. - Sat Oct  3 17:00:35 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So? - Sat Oct  3 17:01:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I had to speak with him is all. - Sat Oct  3 17:01:26 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* - Sat Oct  3 17:01:26 2015
<br><br><font color=teal>*Lera(Bailey42) says: Sensei is always dozing off somewhere... - Sat Oct  3 17:01:26 2015
<br><br><font color=teal>*Keiko(Shimizu3598) says: Perfectly fine. - Sat Oct  3 17:03:08 2015
