<br><font color=teal>*Index(Jjking217) says: Lord Kazekage. - Fri Oct 30 23:08:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What? - Fri Oct 30 23:13:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey gramps did you but my order in? - Fri Oct 30 23:14:46 2015
<br><br><font color=teal>*Index(Jjking217) says: You said earlier you were going to handle the situation regarding Saeza's death, Right? - Fri Oct 30 23:14:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yeah. - Fri Oct 30 23:14:46 2015
<br><br><font color=teal>*Index(Jjking217) says: I know you hate this request, But I'd like to tell you what happened, But I'd rather do it away from the interjection of peers. - Fri Oct 30 23:15:37 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't care if you tell them later. - Fri Oct 30 23:15:37 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Fri Oct 30 23:16:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I want to tag along, I was told of what happened personally. - Fri Oct 30 23:16:28 2015
<br><br><font color=teal>*Index(Jjking217) says: It isn't my place to ask, But I feel the need to. - Fri Oct 30 23:16:28 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Or rather,I would like to tag along. - Fri Oct 30 23:16:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Kilm, If you weren't there, Your information isn't the the most reliable. If I was a cop, I wouldn't even interrogate you. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I appreciate it though. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: No,I just want to hear more about it. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Not give information. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Because, I was told of what happened. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: By you know who. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Index(Jjking217) says: I'll tell you myself. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Fri Oct 30 23:17:20 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hi Index. - Fri Oct 30 23:18:11 2015
<br><br><font color=teal>*Index(Jjking217) says: Hey, Nina. - Fri Oct 30 23:19:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I've been getting better, you know. - Fri Oct 30 23:20:44 2015
<br><br><font color=teal>*Index(Jjking217) says: That's good. - Fri Oct 30 23:22:27 2015
<br><br><font color=teal>*Index(Jjking217) says: Up for some catching up? - Fri Oct 30 23:22:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Sure thing. - Fri Oct 30 23:22:27 2015
<br><br><font color=teal>*Index(Jjking217) says: You hungry? - Fri Oct 30 23:22:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Not really. - Fri Oct 30 23:23:18 2015
<br><br><font color=teal>*Index(Jjking217) says: I would ask you to grab a drink, But you don't look hardly the drinking age. - Fri Oct 30 23:23:18 2015
<br><br><font color=teal>*Index(Jjking217) says: But, I do plan on getting me something to eat, So even if you don't intend to, care to tag along so we can talk? - Fri Oct 30 23:23:18 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mhm, sure. - Fri Oct 30 23:25:00 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: .... - Fri Oct 30 23:25:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Would tag along but it seems private. Have fun you two. - Fri Oct 30 23:25:00 2015
<br><br><font color=teal>*Index(Jjking217) says: Not neccessarily private. - Fri Oct 30 23:25:52 2015
<br><br><font color=teal>*Index(Jjking217) says: But one student to another. - Fri Oct 30 23:25:52 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: .. . Borin'. - Fri Oct 30 23:48:03 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Who penetrating Tets?? -omit- - Fri Oct 30 23:52:19 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: This line though. - Fri Oct 30 23:54:52 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Yeah, haha. - Fri Oct 30 23:55:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hm, I might go back to bed. - Fri Oct 30 23:56:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hassen, any missions? - Fri Oct 30 23:56:35 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Enjoy your day then Ai - Fri Oct 30 23:56:35 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I will..Just need to sleep a little, ya know? - Fri Oct 30 23:57:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I understand - Fri Oct 30 23:58:17 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yo ! - Thu Nov  5 11:29:55 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) He was staring at the Uchiha symbol, but he didn't know what was that symbol for. He didn't even what was the place the he was standing infront of him. Then a boy wearing all black holding a katana came by, he was glad that he found someone he could talk to or even ask him some questions about the village, he then rushed toward the dude, grabbing his hands to shake hands with him, more like forcing him to shake hands, then he looked at him and started to smile " Hi . . Thank god I found you . . Because you see . . I am lost ! " * - Thu Nov  5 13:06:20 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I see. - Thu Nov  5 13:10:36 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) thinks:  . . . Is  he scared ? - Thu Nov  5 13:11:28 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: ARE YOU SURE ?! - Thu Nov  5 13:12:19 2015
<br><br><font color=teal>*Kurt(Zygman) says: Mhm. - Thu Nov  5 13:12:19 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Okay. - Thu Nov  5 13:14:01 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Jeeez . . You ain't friendly at all ! - Thu Nov  5 13:14:01 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Hello . . guys ! - Thu Nov  5 17:59:02 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . - Thu Nov  5 17:59:53 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Anyone of you knows Kilm ? - Thu Nov  5 17:59:53 2015
<br><br><font color=teal>*Shin(Yaori) says: I do - Thu Nov  5 18:00:44 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: REALLY ?! - Thu Nov  5 18:00:44 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Where is he ? - Thu Nov  5 18:00:44 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . - Thu Nov  5 18:00:44 2015
<br><br><font color=teal>*Shin(Yaori) says: Who is he to you? - Thu Nov  5 18:00:44 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: My brother . . . - Thu Nov  5 18:00:44 2015
<br><br><font color=teal>*Shin(Yaori) says: I see . . . - Thu Nov  5 18:00:44 2015
<br><br><font color=teal>*Shin(Yaori) says: He's away on a mission - Thu Nov  5 18:00:44 2015
<br><br><font color=teal>*Shin(Yaori) says: He won't be back for a long time - Thu Nov  5 18:01:36 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Whaaat ~ - Thu Nov  5 18:01:36 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: He didn't tell me. - Thu Nov  5 18:01:36 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Awwwww. - Thu Nov  5 18:01:36 2015
<br><br><font color=teal>*Shin(Yaori) says: Yeah - Thu Nov  5 18:01:36 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Why wont he be back for a long time . . >? - Thu Nov  5 18:02:27 2015
<br><br><font color=teal>*Shin(Yaori) says: It's a high ranked mission - Thu Nov  5 18:02:27 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Is he on another S-Rank mission ? - Thu Nov  5 18:02:27 2015
<br><br><font color=teal>*Shin(Yaori) says: Even higher ranked - Thu Nov  5 18:02:27 2015
<br><br><font color=teal>*Shin(Yaori) says: So high, you wouldn't believe me if I told you - Thu Nov  5 18:02:27 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Wooow ! - Thu Nov  5 18:02:27 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Tell me tell me !! - Thu Nov  5 18:02:27 2015
<br><br><font color=teal>*Shin(Yaori) says: Maybe another time - Thu Nov  5 18:03:18 2015
<br><br><font color=teal>*Shin(Yaori) says: I don't wanna get in trouble - Thu Nov  5 18:03:18 2015
<br><br><font color=teal>*Shin(Yaori) says: If you're Kilm's brother - Thu Nov  5 18:03:18 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Shuuush ! you wont get in trouble. - Thu Nov  5 18:03:18 2015
<br><br><font color=teal>*Shin(Yaori) says: That makes you Zole right? - Thu Nov  5 18:03:18 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yes. - Thu Nov  5 18:03:18 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: I am zole ! - Thu Nov  5 18:03:18 2015
<br><br><font color=teal>*Shin(Yaori) says: Sorry, I can't tell ya - Thu Nov  5 18:04:09 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Cooome ooon !! - Thu Nov  5 18:04:09 2015
<br><br><font color=yellow>*Zole(-The Creepy SoulHunter-) Follows him.
* - Thu Nov  5 18:04:09 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Come on ! - Thu Nov  5 18:05:00 2015
<br><br><font color=teal>*Shin(Yaori) says: No way kid - Thu Nov  5 18:05:52 2015
