<br><font color=teal>*Heiwa(PythonJedi) says: Mm. Closer, stand beside me. - Tue Dec  1 03:15:50 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The three of you are on a mission. I've been seperated from the group. - Tue Dec  1 03:16:41 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: What does Heiwa have planned? - Tue Dec  1 03:16:41 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You see the faint outline of a rogue shinobi infront of you.  - Tue Dec  1 03:17:32 2015
<br><br><font color=teal>*Meinu, Sekitsui(TheButtNekkidBandit) says: ... - Tue Dec  1 03:17:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You have one minute to get into position. - Tue Dec  1 03:17:32 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Protect Nori, disable Tengoku, however you choose to play it. - Tue Dec  1 03:18:24 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: Oi.~ A mock mission encounter? - Tue Dec  1 03:18:24 2015
<br><br><font color=teal>*Tengoku(Punka) thinks: This is gonna be over rather quickly. I'll try to last as long as I could against them. - Tue Dec  1 03:19:15 2015
<br><br><font color=teal>*Tengoku(Punka) says: I'll just say this. - Tue Dec  1 03:19:15 2015
<br><br><font color=teal>*Tengoku(Punka) says: If I tap you, let's say you've been assassinated. - Tue Dec  1 03:20:06 2015
<br><br><font color=teal>*Tengoku(Punka) says: Just for the sake of the training. - Tue Dec  1 03:20:06 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Have one better. - Tue Dec  1 03:20:06 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Wait, what? - Tue Dec  1 03:21:48 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: I can still uh. . Defend myself though. . Right? - Tue Dec  1 03:22:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: ...Interesting. - Tue Dec  1 03:24:22 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) had nodded for now, looking around idly just to see if thee was something she could use as a means to get out of the situation without much thought to it. It was then, she realized that not just Sekitsui had moved infront of her and the mist had enshrouded the area. Her arms were brought upwards as the veil of mist obscurred her vision.

She took note on where she was currently and had begun to just lightly remove a small tag. There was a bit of thought on wondering if this was a good idea or not since it was just a training simulation, but why not spice things up. . Right? She placed it on the ground before trying to move further back.* - Tue Dec  1 03:32:54 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) thinks: Why did I do that if I can't see? - Tue Dec  1 03:46:33 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) had begun to snap her fingers for the most part, just keeping up the pace of going back and away from the direction that Sekitsui might have spotted her at. She would have used Shunshin, but then again, that mgiht have been a problem for her when it came to jumping at the tree.

Quickly sprinting eastwards, she would kneel a bit, lunging upwards as she launched herself into the nearby tree. Upon moving into the bushes of the tree, her hands quickly motioned into the backpouch, fumbling and taking out a tag and two moderately sized spheres that fit into her palm entirely.

She placed the tag on the branch she was on currently and motioned her foot over it so that it would be out of sight when the moment had risen.* - Tue Dec  1 04:18:59 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) is just. . being cute and hiding. . .You know?* - Tue Dec  1 04:54:49 2015
<br><br><font color=yellow>*Higashi, Nori(Shawn45) was still hiding in the tree. . Lalalala. . She wasn't taking any chances. She was already in position damnit!* - Tue Dec  1 05:19:34 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: If this was on me would any of you be the wiser? - Tue Dec  1 05:34:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: The technique itself could hinder you in many ways. - Tue Dec  1 05:34:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Be careful with that jutsu, Yumiko. - Tue Dec  1 05:35:47 2015
