<br><font color=yellow>*Sabo(Chevy Impalla) maintained his stable state, retaining his visage on the area ahead of himself before beginning to produce another extension of his chakra in the space of air before him. Sabo was easily applying his chakra as he pushed out the weapon. The only problem he found was his inability to shape the weapon into the tool he wished for. His failure to amplify the technique enough to form a perfect blade upset him, and therefore he simply reduced his chakra, leaving just the kunai in hand now.* - Thu Oct  8 11:17:07 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) remained persistent and pushed forth another burst of chakra, letting it extend from himself and his kunai onwards. With the simply ninja tool as his base of weapon, he found his chakra maintaining a stable path forward. The elongated blade of chakra remaining useful. Yet, he attempted to apply a sharpness to this chakra and simply found himself failing to gain the results he'd hoped for, leaving him to return what chakra he could to his own body in that instant.* - Thu Oct  8 11:22:14 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) allowed himself to access his chakra flow again, finding it incredibly difficult to even apply the basic shape and form of a katana as he'd wish. Envisioning his own, original blade, Monohoshi Zao, he found the chakra warping itself somewhat, shifting in the direction a normal katana would retain, but eventually losing shape. A simply nod as he noticed his progress, but afterwards removing his chakra from the kunai.* - Thu Oct  8 11:24:48 2015
<br><br><font color=yellow>*Sabo(Chevy Impalla) casually acquires some popcorn and watches his favorite show.* - Thu Oct  8 23:18:11 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Psst. - Thu Oct  8 23:25:00 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Sword-guy. - Thu Oct  8 23:25:00 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Wanna see a magic trick? - Thu Oct  8 23:25:00 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: .... - Thu Oct  8 23:25:00 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Well? - Thu Oct  8 23:25:52 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Continue. - Thu Oct  8 23:26:43 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: And I'll sever your thumbs. - Thu Oct  8 23:26:43 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: With a piece of paper. - Thu Oct  8 23:26:43 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Hm. - Thu Oct  8 23:26:43 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Does nobody like magic tricks..? - Thu Oct  8 23:26:43 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: with indestructible genes - Thu Oct  8 23:27:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Sabo. - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Takeda. - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) thinks: So that guy's name is sab-o. - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Have you seen Suitengu around? - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) thinks: And he is..Takeda...hmmm. - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: He's dead. - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Died yesterday. - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I haven't seen him in like a we- - Thu Oct  8 23:28:25 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Suitengu's dead, yep. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Magic tricks aren't as youthful as training. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: .......................................................... - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ............. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Now then. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: Magic tricks are amazing. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I think it's about time for me to go. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: There's only one way to settle this. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: SUMO MATCH - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Training is amazing! - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Can I buy your cloak? - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: .... - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You want to buy my cloak? - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Understood. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Passed away within Sunagakure. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye'. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: But can you pull things out of a hat? - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Two ways. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) says: I bet not. - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: ? - Thu Oct  8 23:29:16 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You take off your pants and put it over your head. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Or. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You pay one million yen. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: ...Bwahahaha. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: So I can go with the first option? - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) thinks: Fuck, he's hilarious. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Go for it. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Your underwear included. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Alright. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Alright. - Thu Oct  8 23:30:08 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Wasn't buried. - Thu Oct  8 23:30:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I couldn't recover the body. - Thu Oct  8 23:30:59 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: You gonna give me the cloak first? - Thu Oct  8 23:30:59 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So his body is in Suna? - Thu Oct  8 23:30:59 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Yes. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: No. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Torn to shreds. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Take me there. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You gotta put your pants on your head first. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: I can't. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: How do I know you'll pull through? - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Kaori(JustCallMeGromp) thinks: They must be jealous of my magic trick. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Unless you want to die. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why? - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: By my laughter. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Why would they kill me? - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I think you aren't going to give it to me.. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Because they're not very friendly to outsiders at the moment. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: Then that's okay. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Nah, fuck that. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: I would've. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: Otherwise, I would've had the body. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: -- - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: But you're too prideful. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Wait. - Thu Oct  8 23:31:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: They'd kill a twelve year old boy that wants to retrieve his friends body? - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: I'll do it. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: .... - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You won't. - Thu Oct  8 23:32:41 2015
<br><br><font color=teal>*Taka, Shinjin(Psychic_Warrior) says: You don't have the balls. - Thu Oct  8 23:32:41 2015
