<br><font color=teal>*Max(Roxas The Hokage) thinks: hehe. .  works everytime - Fri Oct  9 09:14:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'll take you on then.. - Fri Oct  9 09:14:40 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Hehe. . Of cour- - Fri Oct  9 09:15:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: A simple farmer like myself...It'd be a good exercise.. - Fri Oct  9 09:16:22 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: . . .  - Fri Oct  9 09:16:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Ah but I haven't finished my business here kind farmer. - Fri Oct  9 09:16:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Would you wait a little longer for such a challenge? - Fri Oct  9 09:16:22 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: O. . Oh what a shame! I am all out of Katana! You bought very last one, and I'd need time to smith a new one. .  - Fri Oct  9 09:17:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oh...How disappointing... - Fri Oct  9 09:17:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh?..How about an enhancement rather..Once I've won.. - Fri Oct  9 09:17:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: This blade..With the edge and durability of a diamond.. - Fri Oct  9 09:18:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Enhancement... - Fri Oct  9 09:18:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: As a treat to my victory.. - Fri Oct  9 09:18:04 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm...So be it. - Fri Oct  9 09:19:47 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'll think on that though, Blacksmith. - Fri Oct  9 09:19:47 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: . . eh. . hehe. .  - Fri Oct  9 09:27:28 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: S. . Sure. .  - Fri Oct  9 09:27:28 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: But as I said! I am regretably without a weapon. .  - Fri Oct  9 09:27:28 2015
<br><br><font color=teal>*Reguel(Airide) says: You have your fist. - Fri Oct  9 09:28:19 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh no worries..Use the katana y' sold me.. - Fri Oct  9 09:28:19 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: . . Ah . .. .  - Fri Oct  9 09:28:19 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: Right. .  - Fri Oct  9 09:28:19 2015
<br><br><font color=teal>*Max(Roxas The Hokage) says: I. . I shall do so. .  - Fri Oct  9 09:28:19 2015
<br><br><font color=teal>*Reguel(Airide) says: Yes shout more. - Fri Oct  9 09:39:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Fukiko...Can't forget this name... - Fri Oct  9 09:58:11 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Hm..Maybe I should distribute the seven----SIX NOW...Swords to the great leaders of each village..Eh... - Fri Oct  9 09:59:02 2015
