<br><font color=teal>*Hideki(Assassin241) says: THERES - Sun Oct  4 05:57:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Niza. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Can you please. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: PLEASE. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Put me and Reguel in an arena. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Why do you dislike him so much? - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: He's done nothing to you. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Before I slap you slap my dick against your jaw region with so much strength you develop a fucking over-bite! - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He needs to show some damn respect. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Respect is not given, but earned. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Just stay calm.... Hideki. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fuck you Kuro. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Act like a respectable individual and then respect will come. You're too emotional right now, and treading down a dark path. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You don't know anything. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Meditate and find inner peace. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fuck - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Kuro. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You've changed a lot since the death of Hanabi.  - Sun Oct  4 06:01:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thats not what changed me. - Sun Oct  4 06:01:23 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You're digging a hole for yourself. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fight me. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right now. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I will not. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Cause your a puss. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: No, because there's no reason to fight. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You're acting like a child right now, longing for attention. - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Think not of yourself, but of those that remain. You still have family on this world. - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Think of Heiwa. - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Sigh, I can't really calm down Hideki so I'll just stand back then. - Sun Oct  4 06:03:56 2015
<br><br><font color=teal>*Reguel(Airide) says: You had a chance to strike me. - Sun Oct  4 06:05:39 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Today.. Has been an interesting day. - Sun Oct  4 06:09:55 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Well, I should let Hideki relax and I am on my way.  - Sun Oct  4 06:10:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Sun Oct  4 06:12:28 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: She acts so innocent.. - Sun Oct  4 06:12:28 2015
