<br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I took some time off. With the Kazekage's permission, o' course. - Tue Dec  8 06:13:45 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Tue Dec  8 06:14:36 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: U-Uhuh.. - Tue Dec  8 06:15:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ....Anyone could predict that, though - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Of course her baby will be healthy, if she's lived a healthy life. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Silly. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Y-Yea. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: That is not always the case. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Call it merchant's intuition. - Tue Dec  8 06:16:19 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I've got the right stuff to guarentee you to have a perfect birth. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I'm ifne. - Tue Dec  8 06:17:10 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-It's fine m-mitsu. - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I don't need anything. - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: No, I'm not trying to scam anyone. - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: What would I get out of scamming someone?  - Tue Dec  8 06:18:01 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: M-Money. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Yes, but bad rep. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: And I'm not about to get bad rep. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: .... - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I'm a man with honor. - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So, Chikyu, how you been? - Tue Dec  8 06:18:52 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: So. - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Hm? - Tue Dec  8 06:21:26 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: How're you? - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Alright I guess, you? - Tue Dec  8 06:24:00 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I'm good. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Sorry I ain't been around. - Tue Dec  8 06:24:51 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch, - Tue Dec  8 06:25:42 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Only been looking for you. No big deal. - Tue Dec  8 06:25:42 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Yeah Yeah. - Tue Dec  8 06:25:42 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Mhm. - Tue Dec  8 06:26:33 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: So. - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: How've you been? - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Alright. . .you? - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Bored. - Tue Dec  8 06:27:24 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I almost got pregnant. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: So that was fun. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: This purple haired guy slept with me then left me. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Ya'know. - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: You talking shit about me? - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Kidding. - Tue Dec  8 06:28:16 2015
<br><br><font color=yellow>*Menia(JustCallMeGromp) patted his head.* - Tue Dec  8 06:28:16 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: She's still here. - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: You say it you get it, abra. - Tue Dec  8 06:29:07 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Really? - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Yep. - Tue Dec  8 06:29:58 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Tch. Bullshit. - Tue Dec  8 06:30:49 2015
<br><br><font color=yellow>*Menia(JustCallMeGromp) grabbed under his pants tightly.

"IS IT?"* - Tue Dec  8 06:30:49 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Hm. - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I can just - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Punch you there? - Tue Dec  8 06:34:14 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . .Why? - Tue Dec  8 06:35:05 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Cuz you're being annoying. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: I just missed my babe. - Tue Dec  8 06:35:56 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Damn. - Tue Dec  8 06:35:56 2015
<br><br><font color=yellow>*Menia(JustCallMeGromp) snuggled against his side.* - Tue Dec  8 06:36:48 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Yeah Yeahh. - Tue Dec  8 06:36:48 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: I'm not? - Tue Dec  8 06:38:30 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Fine. - Tue Dec  8 06:38:30 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: Hmph/ - Tue Dec  8 06:40:12 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Tue Dec  8 06:47:02 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: . . . - Tue Dec  8 06:47:02 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: So. . . - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: So. - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Wanna fuck. - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Yes? No? - Tue Dec  8 06:53:52 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . .Of course? - Tue Dec  8 06:53:52 2015
<br><br><font color=teal>*Menia(JustCallMeGromp) says: Ight. - Tue Dec  8 06:53:52 2015
