<br><font color=teal>*Ryuusei(TenaciousDeeznuts) thinks: That ass though. - Sat Dec  5 21:54:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Dec  5 21:55:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Dec  5 22:02:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Honestly.. - Sat Dec  5 22:03:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't understand what's up with you kids.. - Sat Dec  5 22:03:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If anything, you all should be training. - Sat Dec  5 22:04:48 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: Yeah, probably... - Sat Dec  5 22:04:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..still.. - Sat Dec  5 22:05:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Sat Dec  5 22:09:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Listen, guys.. - Sat Dec  5 22:09:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're going to need to get along for the long haul. - Sat Dec  5 22:10:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So..do hang out for a while. Try to get to know one another. - Sat Dec  5 22:10:46 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: Hrm? Yeah.... I'm aware, of course. That's why I'm trying..! - Sat Dec  5 22:10:46 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: But... alas. - Sat Dec  5 22:10:46 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: What's her problem..? - Sat Dec  5 22:13:20 2015
<br><br><font color=yellow>*Shizan, Nigen(Un-Holybond) His gaze had redirected itself towards Amaya, there had been something peculiar that he couldn't shake off. A smirk plastered on his face before speaking up once more towards her, 

"Hello, Miss. I haven't ever seen you before. Well..it is a pretty big place.." he chuckled lightly while scratching his cheek with only his index finger.* - Sat Dec  5 22:15:02 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: Hrm? Ah..! - Sat Dec  5 22:16:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Dec  5 22:17:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh, hey Osda. - Sat Dec  5 22:17:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: That face.. - Sat Dec  5 22:17:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Dec  5 22:17:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah, greetings. - Sat Dec  5 22:17:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Anything new happening with Kumogakure? - Sat Dec  5 22:18:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Mmm. . .No. - Sat Dec  5 22:18:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Well. .  - Sat Dec  5 22:18:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Some chick bit off my shoulder. - Sat Dec  5 22:18:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: But then healed it. - Sat Dec  5 22:18:27 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: So there're vampires in the village that was originally mine. I'm glad I didn't stay there. - Sat Dec  5 22:19:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: This whore is the former Raikage. The one that disrespected Zeus... - Sat Dec  5 22:19:18 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Sat Dec  5 22:19:18 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Oh, the former is here. . She's nicknamed the whore. - Sat Dec  5 22:20:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Tch...they're still alive.. - Sat Dec  5 22:20:09 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) thinks: Damn.... - Sat Dec  5 22:20:09 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) thinks: ....She's beautiful!~ - Sat Dec  5 22:20:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah, Z-sama. - Sat Dec  5 22:21:00 2015
<br><br><font color=teal>*Ziare(Meekee) says: Call me Ziare. - Sat Dec  5 22:21:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's no need to worry. It seems that Konohagakure is just becoming more popular. - Sat Dec  5 22:21:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Z-sama..I could never do that. - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: As long as the crime is down. - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I just came here to ask for teachings. If you bunch are willing to provide for me. - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: And it's a sign of disrespect by not doing so. - Sat Dec  5 22:21:52 2015
