<br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alright men, to my office. - Fri Oct  2 02:39:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: So, let me heal the rest? It's only a small burn.. - Fri Oct  2 03:11:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yo. - Fri Oct  2 03:12:25 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I'm fine, Fujitora.. - Fri Oct  2 03:12:25 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Fine. - Fri Oct  2 03:14:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Kirigakure is too boring. - Fri Oct  2 03:14:59 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Surprised you came to Suna of all places though...Konoha is much closer. - Fri Oct  2 03:14:59 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: If I wanted to decrese my chances of survival I would go there. - Fri Oct  2 03:15:50 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hassan does not want me here. - Fri Oct  2 03:16:41 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So yay me. - Fri Oct  2 03:16:41 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Back to boredom. - Fri Oct  2 03:16:41 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Eh? - Fri Oct  2 03:16:41 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well, damn..What did you do? - Fri Oct  2 03:18:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hassan does not want me here. - Fri Oct  2 03:18:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Nothing - Fri Oct  2 03:18:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I came here without telling Koeki - Fri Oct  2 03:18:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Since she also powernaps - Fri Oct  2 03:18:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Ah.. - Fri Oct  2 03:18:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Fri Oct  2 03:20:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well that is conflicting, anywho..This here is my wife Berith. - Fri Oct  2 03:20:57 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Hiya. - Fri Oct  2 03:21:48 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Kukukukukukuku - Fri Oct  2 03:22:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Welp, Berith it's time we go eat someplace, maybe home? - Fri Oct  2 03:23:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hello Fujitoras wife. - Fri Oct  2 03:23:31 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Is this one of the girls you were with? - Fri Oct  2 03:23:31 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Fuji? - Fri Oct  2 03:23:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No, no. - Fri Oct  2 03:24:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Oh she knows then? - Fri Oct  2 03:24:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Kirie has always only been a friend. - Fri Oct  2 03:24:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Fri Oct  2 03:24:22 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Ah. - Fri Oct  2 03:24:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He is the reason my leg broke in three places. - Fri Oct  2 03:24:22 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Oh. - Fri Oct  2 03:24:22 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I'm sorry to hear that.. - Fri Oct  2 03:24:22 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: That sounded....Dirty... - Fri Oct  2 03:24:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It is fine now. - Fri Oct  2 03:24:22 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: That sounded dirty, by the way. - Fri Oct  2 03:24:22 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I got used to it you kno? - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Did you two have sex? - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It just- - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What? - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No! - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: No no. - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: It's fine, I know he had sex with other girls. - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It was a trap. - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Oh do you? - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Kukukuku - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: .... - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: S-she says this so casually... - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: How many girls to be exact? - Fri Oct  2 03:25:13 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I only know one. - Fri Oct  2 03:26:04 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Did he have more? - Fri Oct  2 03:26:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Can I get a general description - Fri Oct  2 03:26:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ? - Fri Oct  2 03:26:04 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Zenaki, is her name. - Fri Oct  2 03:26:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Ah. - Fri Oct  2 03:26:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Dman. - Fri Oct  2 03:26:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: I'm...Right here... - Fri Oct  2 03:26:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: Damn.. - Fri Oct  2 03:26:04 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hehe then you are well informed. - Fri Oct  2 03:26:56 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Mhm. - Fri Oct  2 03:26:56 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: He doesn't have to lie to me. - Fri Oct  2 03:26:56 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: I understand if he had sex with other women. - Fri Oct  2 03:26:56 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: He seems like he is about to crap himself. - Fri Oct  2 03:26:56 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: Haha. - Fri Oct  2 03:26:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ..... - Fri Oct  2 03:26:56 2015
<br><br><font color=teal>*Berith(BoyUmbreon) says: That's Fujitora for ya. - Fri Oct  2 03:26:56 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ................ - Fri Oct  2 03:27:47 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: WHAT?! - Fri Oct  2 03:27:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Just calling it how I see it. - Fri Oct  2 03:27:47 2015
