<br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Mm... - Tue Dec  1 22:57:42 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Welcome back. - Tue Dec  1 22:58:33 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: From dream land? Thanks, hehe. - Tue Dec  1 23:19:02 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: How have ya been? - Tue Dec  1 23:19:02 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Good. What about you? - Tue Dec  1 23:19:53 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Much better.~ - Tue Dec  1 23:21:36 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Fags. - Tue Dec  1 23:23:18 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: Who? - Tue Dec  1 23:24:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaa? - Tue Dec  1 23:24:09 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Wanna go home? There's nothing going on here. - Tue Dec  1 23:29:16 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Sure.~ - Tue Dec  1 23:29:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Tue Dec  1 23:34:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: This is a lively bunch. - Tue Dec  1 23:35:15 2015
<br><br><font color=yellow>*Ryutou, Ai(Sennalove) held Mizora's hand and dip!* - Tue Dec  1 23:38:40 2015
<br><br><font color=yellow>*Ryutou, Ai(Sennalove) rests the girl on top of her as she nuzzles into her neck.

"What have ya been doing lately?~"* - Tue Dec  1 23:45:29 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Mmm... -trying- to train... otherwise doing nothing. - Tue Dec  1 23:45:29 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: How did that go? - Tue Dec  1 23:46:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: I was still woozy from last night, it was -really- brief. - Tue Dec  1 23:51:28 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I see. - Tue Dec  1 23:51:28 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: At least you believe me now when I say it'll hurt a little. - Tue Dec  1 23:53:10 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Yeah.. - Tue Dec  1 23:57:26 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: After that pain, how was it? - Tue Dec  1 23:57:26 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Unbelievable. - Tue Dec  1 23:59:08 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Lovely, I'm glad ya enjoy yourself. - Wed Dec  2 00:00:51 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You'll be leading next time. - Wed Dec  2 00:00:51 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Hn? - Wed Dec  2 00:01:42 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You heard me. - Wed Dec  2 00:05:58 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: If you insist.. - Wed Dec  2 00:08:32 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You'll like it. - Wed Dec  2 00:11:05 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: That and you'll go going at the rate you want. - Wed Dec  2 00:11:05 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Mm... - Wed Dec  2 00:11:05 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hm? - Wed Dec  2 00:11:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: You're so warm.. - Wed Dec  2 00:12:48 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Heh.~ - Wed Dec  2 00:14:30 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Meeeow.~ - Wed Dec  2 00:40:06 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Gonna be my cheer leader on the sidelines during the exam? - Wed Dec  2 00:40:57 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Mhm. - Wed Dec  2 00:40:57 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hopefully I don't disappear you. - Wed Dec  2 00:43:31 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: I'm sure you won't. - Wed Dec  2 00:43:31 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I hope so. - Wed Dec  2 00:45:13 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hm.. - Wed Dec  2 01:12:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Mmm? - Wed Dec  2 01:14:14 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I'll need to create some more training friendly tags... - Wed Dec  2 01:15:05 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Then again.. - Wed Dec  2 01:19:21 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Then again what? - Wed Dec  2 01:19:21 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Suna Shinobis are tough. - Wed Dec  2 01:20:12 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: True. - Wed Dec  2 01:20:12 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I should be careful just in case. - Wed Dec  2 01:21:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Don't want Sanoke to charge me for murder. - Wed Dec  2 01:21:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: I rather not leave your side. - Wed Dec  2 01:21:04 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Mm.. - Wed Dec  2 01:25:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Thinking about something? - Wed Dec  2 01:27:02 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: No. - Wed Dec  2 01:34:43 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Alright. - Wed Dec  2 01:50:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Why ya so quiet? - Wed Dec  2 01:57:45 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Hm? - Wed Dec  2 02:09:42 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Ya haven't said much. - Wed Dec  2 02:10:33 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: The most I've been doing is drifting in and out of sleep.. - Wed Dec  2 02:10:33 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Oh? I see. - Wed Dec  2 02:10:33 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Sleep well.~ - Wed Dec  2 02:10:33 2015
<br><br><font color=yellow>*Ryutou, Ai(Sennalove) rests her on the bed. Ai kisses her sleeping Princess's forehead before she heads out.* - Wed Dec  2 02:22:30 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: S'up kiddo. - Wed Dec  2 02:27:37 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I'm bored. - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Out of my mind... - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Like... - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I wanna learn something new. - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I got a thrist of knowlesge. - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Hey Ai. - Wed Dec  2 02:31:02 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Haven't been able to talk with ya for a while, how have ya been? - Wed Dec  2 02:31:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I wish I could help you Trill. - Wed Dec  2 02:31:02 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Pretty good, I've learned to walk on walls and water! - Wed Dec  2 02:32:44 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Its so much fun. - Wed Dec  2 02:32:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Nice! - Wed Dec  2 02:32:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Do you know how to move super fast? - Wed Dec  2 02:33:36 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Nope! - Wed Dec  2 02:34:27 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Want to know how to? - Wed Dec  2 02:34:27 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Sure, if you want to. - Wed Dec  2 02:35:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I wish I could help you out Trill. - Wed Dec  2 02:35:18 2015
<br><br><font color=yellow>*Ryutou, Ai(Sennalove) hands her a scroll.* - Wed Dec  2 02:35:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But ninjutsu isn't my thing. - Wed Dec  2 02:35:18 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: (Under me - Wed Dec  2 02:36:09 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Hm? Good morning. - Wed Dec  2 02:41:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Morning. - Wed Dec  2 02:42:08 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) whispers: Morning. - Wed Dec  2 02:42:08 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Sleep well? - Wed Dec  2 02:42:08 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) whispers: Mhm. - Wed Dec  2 02:42:59 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) whispers: Lovely.~ - Wed Dec  2 02:43:50 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Wed Dec  2 02:50:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ..? - Wed Dec  2 02:51:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: got a thirst for deez nuts - Wed Dec  2 02:53:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  2 02:53:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What about you? - Wed Dec  2 02:53:13 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Who are you looking for? - Wed Dec  2 02:54:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Depends, who are you looking for? - Wed Dec  2 02:54:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: hmm. - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm looking for the Old Man. Where he's living at now. - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: The old man? - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Old man, Hassan? - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hassan? - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I am Hassan. - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah. - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: No you're not kid. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: He died. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Lord Muhammed is gone. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I get he retired. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Dude I am Hassan. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm asking where is he living now? Sanoke told me the Old Man retired and left. - Wed Dec  2 02:56:38 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: We just told you. He's dead. - Wed Dec  2 02:56:38 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: My name is Trillaim Q Hassan. - Wed Dec  2 02:56:38 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Edge. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Edge? Really? - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: He didn't die to Edge. He left and died shortly after his leave. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Wow, that's a shock. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ah. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Also, don't be rude to people that are from the same nation you want information from. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Tell it to him. As far as I know, budding into other people's business is also rude. - Wed Dec  2 03:00:03 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: No. I'm telling it to -you- and -you- only. - Wed Dec  2 03:00:03 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Wed Dec  2 03:00:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Wed Dec  2 03:00:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So this is how the village the Old Man brought back from the dead is.  Meh. - Wed Dec  2 03:00:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll just make this short and sweet. - Wed Dec  2 03:00:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: There's two other people I'm looking for. One I just have a name. The other, is an old friend of mine. - Wed Dec  2 03:01:45 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll start with the friend. Kyushibu. Seen him around lately? - Wed Dec  2 03:01:45 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Dead. - Wed Dec  2 03:01:45 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: -omit- - Wed Dec  2 03:02:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We've already told you. - Wed Dec  2 03:02:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We don't know where that person is. - Wed Dec  2 03:02:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) thinks: Realiam////Make Galagus eat him now fool rip his fucking intesnt out and make a chain from it boy. - Wed Dec  2 03:03:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I figured he might of turned up around here. - Wed Dec  2 03:03:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: He is. - Wed Dec  2 03:04:19 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) thinks: I will tell you again Realiam shut the hell up. - Wed Dec  2 03:04:19 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What about a red head? Short hair, alright body, looked like a strawberry with all the red she wore. - Wed Dec  2 03:05:10 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Wed Dec  2 03:05:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...Red head? Momu? - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: What does her physique have to do with this? - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Everything. - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Looking like a strawberry... - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm looking for her. I'll call her Strawberry-Chan. - Wed Dec  2 03:06:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: For what reason? - Wed Dec  2 03:06:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She caught my attention. She made my eyes sparkle. - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: She should be sleeping. - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: -- - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Find her on your own if you're into her. - Wed Dec  2 03:07:44 2015
