<br><font color=teal>*Zenaki(Kumaki) says: Hm.. - Thu Oct  8 16:59:18 2015
<br><br><font color=teal>*Zenaki(Kumaki) whispers: I got enough medical supplies.. I will stay with master. - Thu Oct  8 17:04:25 2015
<br><br><font color=teal>*Shin(Yaori) thinks: I don't understand, but you do as you must. Just know, it won't be possible for us to exist without you - Thu Oct  8 17:20:38 2015
<br><br><font color=teal>*Shin(Yaori) thinks: This is going to be imppossible - Thu Oct  8 17:20:38 2015
<br><br><font color=teal>*Shin(Yaori) says: Thank you for your time - Thu Oct  8 17:22:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmhm.. - Thu Oct  8 17:22:20 2015
<br><br><font color=teal>*Shin(Yaori) says: I have training to do, so I'll be off - Thu Oct  8 17:22:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Sure. - Thu Oct  8 17:22:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yo. - Thu Oct  8 17:31:44 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Zenaki. - Thu Oct  8 17:32:35 2015
<br><br><font color=teal>*Lera(Bailey42) says: Pops? - Thu Oct  8 17:38:33 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: What's up? - Thu Oct  8 17:39:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Two things Lera has brought concerns about the whereabouts of Seiisuke,. - Thu Oct  8 17:40:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: And, second I need the mission reqs to be altered. Two of my members have opposite TZ. - Thu Oct  8 17:41:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -OMIT- - Thu Oct  8 17:41:07 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Seisuke. - Thu Oct  8 17:41:58 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He should be in the village, - Thu Oct  8 17:41:58 2015
