<br><font color=teal>*Ketsuki(SephirothSage) says: !? - Sat Oct 31 01:26:11 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's nothing. - Sat Oct 31 01:26:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: Takeda. - Sat Oct 31 01:26:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: We can't do anything. - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: A'right then... I'm headed out to the training field, I think. - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: Can I tag along? - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Peace out for now, yeah? - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Hrm? Sure, if you want.  - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: Cool. - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah I will too. - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I'm gonna be practicing some Jutsu, and working on my control- that was the plan, anyway... Mrm. - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Kyushiki(Maruka) thinks: Nope. Not getting jumped today. - Sat Oct 31 02:02:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yo, Big man, - Sat Oct 31 02:46:24 2015
<br><br><font color=teal>*Minimasa(JustCallMeGnar) says: ... - Sat Oct 31 03:22:14 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: ? - Sat Oct 31 03:23:05 2015
<br><br><font color=teal>*Minimasa(JustCallMeGnar) says: .. - Sat Oct 31 03:23:56 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: -omit- - Sat Oct 31 03:23:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: Not a lot of people are around, huh? - Sat Oct 31 22:35:56 2015
<br><br><font color=teal>*Ziare(Meekee) says: Huh? - Sun Nov  1 04:01:55 2015
<br><br><font color=teal>*Ziare(Meekee) says: You're here? - Sun Nov  1 04:01:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hello Kyu. - Mon Nov  2 02:17:23 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Sup. - Mon Nov  2 02:17:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Not much, just relaxing for a bit. - Mon Nov  2 02:17:23 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Seems we have another new face around here. - Mon Nov  2 02:20:48 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Mhm. - Mon Nov  2 02:21:39 2015
<br><br><font color=teal>*Koh(KureB) says: Greetings... - Mon Nov  2 02:24:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hello. - Mon Nov  2 02:25:55 2015
<br><br><font color=teal>*Ziare(Meekee) says: Man i'm bored. - Mon Nov  2 02:43:50 2015
<br><br><font color=teal>*Koh(KureB) says: Same here, friend. - Mon Nov  2 02:43:50 2015
<br><br><font color=teal>*Koh(KureB) says: So, who knows where all the excitement is hiding? - Mon Nov  2 02:49:48 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Not here apparently...heh. - Mon Nov  2 02:51:31 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yep.. - Mon Nov  2 02:59:12 2015
<br><br><font color=teal>*Koh(KureB) says: Nobody has anything to do? - Mon Nov  2 03:14:33 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well, I would be training but i've trained a lot today. - Mon Nov  2 03:14:33 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: So i'm just kinda relaxing for a bit at the moment. - Mon Nov  2 03:15:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: A new face. - Mon Nov  2 03:30:46 2015
<br><br><font color=teal>*Ziare(Meekee) says: Doesn't exactly look friendly either. - Mon Nov  2 03:30:46 2015
<br><br><font color=teal>*Totsuka, Amaterasu(Tsundere-san) says: Eh? - Mon Nov  2 03:31:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: She isn't new. - Mon Nov  2 03:31:37 2015
