<br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 02:28:54 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) grabs Bryson's hand, and holds out his arm. She then punches his elbow hard enough to shatter stone.* - Tue Dec  1 02:29:45 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: -omit- - Tue Dec  1 02:30:36 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: fagboy - Tue Dec  1 02:33:10 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: omit - Tue Dec  1 02:33:10 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Sure will. - Tue Dec  1 02:34:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Thanks again for the mission. - Tue Dec  1 02:34:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No problemo. Also, not sure if you heard the announcement. - Tue Dec  1 02:34:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But if you have any ideas or events you'd want sponsor. See me. - Tue Dec  1 02:34:52 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) nods her head, and throws out a thumbs up. "I got the perfect one! Maid Cafe!"* - Tue Dec  1 02:34:52 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... - Tue Dec  1 02:34:52 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Church! - Tue Dec  1 02:35:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 02:35:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Maid Cafe? - Tue Dec  1 02:36:35 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: .... - Tue Dec  1 02:36:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Tilts head to side*> What's that? - Tue Dec  1 02:37:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 02:38:17 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Tue Dec  1 02:39:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Maid cafe? - Tue Dec  1 02:39:08 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) wraps an arm around Sanoke's neck, and holds up a picture of a girl in a maid's dress. Shes of course fallen over, and her skirts raffled up to her panties. "I heard about it from my dad, about foreign servants that wear frilly dresses when they work. He wouldn't tell me more then that, but I manage to ring some more information from the Caravans, who gave me this. Seems like they wait hand and foot, looking cute and serving your every wish food wise." She gave a happy blushing smile. "Hehe! Think of it!" She then begins to whisper 

"All the cute girls of Sunagakure wearing maid costumes, and helping out a festival like feast. And of course." She bumps a few times into Sanoke's sides. "The kazekage can get a special seat, and be served by his dear Mirai."* - Tue Dec  1 02:41:42 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) begins to blow steam out her nose, her free arm pumping in front of her. "ITS EVERY MANS DREAM!"* - Tue Dec  1 02:42:33 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: I've a-always wanted a maid o-outfit.. - Tue Dec  1 02:45:07 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Watermelons! - Tue Dec  1 02:51:56 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) looks over to Momura. "Hey! Momura can your chef cook up some fancy foreign dishes, as well?"* - Tue Dec  1 02:52:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea! - Tue Dec  1 02:52:48 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) held her hand out in front of both her and Sanoke. "Think of it! A first person view of the life of the foreigners. A whole new world brought to Sunagakure. People will come for the sight of the maids, and then stay for the delicious food they might never have a chance to ever taste! We can set up a bunch of tables for people to pay seats for, and then you can have your own throne at the top of it all where Mirai will be by your side serving you the entire time. All the while, we can all look upon the girls working *Whispers* and their accidents. *flashing the picture*  All in a glorious happy party setting!"* - Tue Dec  1 02:56:12 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: .... - Tue Dec  1 02:57:04 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) through a thumbs up. "I'll get it all done by tomorrow." She says flashing him a grin.* - Tue Dec  1 03:03:53 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anyone else? - Tue Dec  1 03:04:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Guess not. - Tue Dec  1 03:17:32 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm, - Tue Dec  1 03:19:15 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Wait. - Tue Dec  1 03:19:15 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: What are we talking about? - Tue Dec  1 03:20:06 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Events for Sunagakure to host. - Tue Dec  1 03:20:06 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: Shouldn't we be focusing on reparations? - Tue Dec  1 03:20:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yes. I have to keep the village lively. - Tue Dec  1 03:20:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: They're going fine. - Tue Dec  1 03:20:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We're just about done. - Tue Dec  1 03:20:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: S-Swimsuit contest.. - Tue Dec  1 03:20:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) whispers: S-Swinsuit contest..uhm..t-tournament..yes.. - Tue Dec  1 03:21:48 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I agree with the swim suit contest!  - Tue Dec  1 03:22:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yes. - Tue Dec  1 03:22:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I already have o-one from kirigakure.. - Tue Dec  1 03:22:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Do you wanna c-come see it..c-chikyu? - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There was one in Kirigakure? - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nooo. - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I j-just bought one..i-it was on sale.. - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: We could also have a bunch of mini-contests in with the swimsuit. Like smashing watermelons, and stuff like that! And sure, I love to see. - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yeaa. - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright, c-come on chikyu.. - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, that'd be cool. But the villagers are dull sometimes. - Tue Dec  1 03:24:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh. - Tue Dec  1 03:24:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'd hope it wouldn't just be you guys jonining. - Tue Dec  1 03:24:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: joining* - Tue Dec  1 03:24:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well..uhm..t-think about it.. - Tue Dec  1 03:24:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Let me go change.. - Tue Dec  1 03:24:22 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Sure...*Takes off the usual sword and armguards* - Tue Dec  1 03:25:13 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Does it look g-good? - Tue Dec  1 03:26:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-It was r-really cheap.. - Tue Dec  1 03:26:56 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) turn to give Momura a smile, only to quickly fall backwards. Nose bleeding wildly across her face. * - Tue Dec  1 03:26:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-Is something w-wrong? - Tue Dec  1 03:27:47 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) looked at the oncoming breasts. A smile going across her face, that was very worrisome. "You...look amazing."* - Tue Dec  1 03:28:38 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: R-Really? - Tue Dec  1 03:28:38 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Do you wanna s-see the back? - Tue Dec  1 03:28:38 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Ughh..Yeah. - Tue Dec  1 03:29:29 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) just leaned back and enjoy the view. The single string going across her back and only partially protecting the back view. A hand coming up, to hold the growing blush across Chikyu cheeks. "You..You look great. But, does Hanai really let you go out and wear that... Its a bit revealing."* - Tue Dec  1 03:32:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well I've never s-shown him.. - Tue Dec  1 03:32:54 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I bought it and n-never wore it.. - Tue Dec  1 03:32:54 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: You... you definately wear it for him tonight! - Tue Dec  1 03:33:45 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) watched the strings tension reach its limit, as it tried to hold back the girls shaking chest. Chikyu's head merely shook side to side, watching the movement. 

"Uuhhhhhh... NO of course, you don't look fat."* - Tue Dec  1 03:34:36 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Are you sure..? - Tue Dec  1 03:34:36 2015
<br><br><font color=yellow>*Chikyu Kasanari(Crimson Cresent) nods. "You look amazingly sexy in that."* - Tue Dec  1 03:35:28 2015
