<br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Oct 31 02:01:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro-kun, I did like the bloodlust you were emitting. - Sat Oct 31 02:02:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Were you actually trying to kill me? - Sat Oct 31 02:02:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Possibly. - Sat Oct 31 02:06:17 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Ooo yay. - Sat Oct 31 02:06:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm. - Sat Oct 31 02:09:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good..good.. - Sat Oct 31 02:09:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I might be able to get off to that.. - Sat Oct 31 02:10:33 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Oct 31 02:11:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What do you mean..? - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's like I said it.. - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's a time for being a priest, and then there's a time for pleasure. - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Oct 31 02:21:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're judging me.. - Sat Oct 31 02:21:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Such a shame.. - Sat Oct 31 02:22:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I expect that from the Old Hag.. - Sat Oct 31 02:22:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  1 00:38:49 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What is it? - Sun Nov  1 00:40:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sun Nov  1 00:40:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nothing I was just getting this technique down.. - Sun Nov  1 00:40:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Oh? The one I gave you? - Sun Nov  1 00:41:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes. - Sun Nov  1 00:41:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Here give me another one. - Sun Nov  1 00:41:23 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sun Nov  1 00:41:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on..come on.. - Sun Nov  1 00:43:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't be stingy.. - Sun Nov  1 00:43:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm? Let me see what you can do with it later. - Sun Nov  1 00:43:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ........ - Sun Nov  1 00:43:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: If it's significant, I'll be willing to share more. - Sun Nov  1 00:43:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really.. - Sun Nov  1 00:43:56 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) observed the presence of Sin as he arrived within Amegakure. An ominous feeling came over Ichiro, and this one made him feel as though he was meant to bow and allow this man to overpower him. His stern face seemed to make no changes though, although his eyes showed the obvious sign of his willpower beginning to falter. Regardless, he attempted to keep linked to it as he moved closer to his Queen, assuming a defensive pose in the case that these men became aggressors. Silence came over him though as he waited.* - Sun Nov  1 00:50:46 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: I look for man name Niger. - Sun Nov  1 00:51:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ..... - Sun Nov  1 00:51:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ................ - Sun Nov  1 00:51:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .................... - Sun Nov  1 00:51:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ................... - Sun Nov  1 00:51:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Tch.. - Sun Nov  1 00:51:37 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Fifty men. - Sun Nov  1 00:51:37 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Come wok for you. - Sun Nov  1 00:51:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fifty..eh? - Sun Nov  1 00:51:37 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Lich King say. - Sun Nov  1 00:52:28 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Give Niger. - Sun Nov  1 00:52:28 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Niger good. - Sun Nov  1 00:52:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's a lot of men for this.."Niger".. - Sun Nov  1 00:52:28 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Say Niger can use. - Sun Nov  1 00:52:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sun Nov  1 00:52:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ........... - Sun Nov  1 00:52:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I see.. - Sun Nov  1 00:52:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Niger.... - Sun Nov  1 00:52:28 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Where Niger? - Sun Nov  1 00:52:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well then, I am who you seek. - Sun Nov  1 00:53:20 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Oh, you Niger? - Sun Nov  1 00:53:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes.. - Sun Nov  1 00:53:20 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Hi Niger. - Sun Nov  1 00:53:20 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Here men. - Sun Nov  1 00:53:20 2015
