<br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) fondles evil Samurai* - Fri Dec  4 21:09:45 2015
<br><br><font color=yellow>*Ryujin, Marrisa [Ghost](Roxas The Hokage) pauses then continues her assult! Letter her hands crawly all over the swordswomen's body through her clothes!* - Fri Dec  4 21:13:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You look like you are working hard over there Mitsu. - Fri Dec  4 21:14:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Nrn.. Yeah. - Fri Dec  4 21:14:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How the hell? - Fri Dec  4 21:16:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Auntie you floating. - Fri Dec  4 21:16:35 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: How the hell? - Fri Dec  4 21:16:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hn? - Fri Dec  4 21:16:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah. - Fri Dec  4 21:16:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Its a thing I can do. - Fri Dec  4 21:17:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I wanna float. - Fri Dec  4 21:17:26 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ...Put your hand on my shoulder. - Fri Dec  4 21:17:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers:  (( kevinb302@gmail.com - Fri Dec  4 21:19:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) whispers: (( Should come up Sage Person - Fri Dec  4 21:19:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Holy shit. . . I am floating. . .  - Fri Dec  4 21:19:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: This is amazing!!!!! - Fri Dec  4 21:20:51 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Eh...? - Fri Dec  4 21:20:51 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Its a Doton technique. - Fri Dec  4 21:20:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Really? - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mhm. - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I can do Doton. - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Its quite advanced. - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damnit. .  . - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Gravity manipulation. - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Not easy to do. - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Look Nami, I can fly! - Fri Dec  4 21:21:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hahahahaahahaha - Fri Dec  4 21:21:42 2015
