<br><font color=yellow>*Yukimura, Seisuke(Jjking218) took it back handing her another.* - Thu Oct  1 02:05:26 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Time for a rematch. *nod* - Thu Oct  1 02:06:17 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Seems like it's my win Hmmm~? - Thu Oct  1 02:11:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: I feel cheated. - Thu Oct  1 02:11:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) thinks: You win some...you lose some...then there are several ocasion where you get cheated like this. - Thu Oct  1 02:12:16 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) wondered if he could tease Kirie she definately didn't seem like one who was easily flustered as he spoke "What can I do, What can I do~?"* - Thu Oct  1 02:12:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Anything within the rules we have established - Thu Oct  1 02:12:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Alrighty then. - Thu Oct  1 02:12:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sit on my lap. - Thu Oct  1 02:12:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: *nod* - Thu Oct  1 02:12:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: Will she be flustered? - Thu Oct  1 02:13:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: Will I win? - Thu Oct  1 02:13:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) thinks: Naw she'll back out of course. - Thu Oct  1 02:13:07 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) blinked as she actually moved to sit on his lap, he actually wasn't expecting this, and ended up becomming flustered himself. "H-Hm? How so?"* - Thu Oct  1 02:13:58 2015
<br><br><font color=yellow>*Yukimura, Seisuke(Jjking218) looked away he hadn't thought of it "I...I'll try my best then...Rematch?" He offered, aimimg to change the subject, since he wasn't good with staying calm when such topics were bought forth.* - Thu Oct  1 02:15:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Fuck. - Thu Oct  1 02:25:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well. - Thu Oct  1 02:25:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What do you think I should ask of you~? - Thu Oct  1 02:25:55 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Tch, - Thu Oct  1 02:26:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: You already know the answer - Thu Oct  1 02:26:46 2015
